Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 9 Version 2
Data type: Precipitation depth
Time series type: Partial duration
Project area: Southeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 34.203100 Degree
Longitude: -87.181400 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,13,15,18,21,24,27,30,35,38
10-min:, 16,18,22,26,31,35,40,44,51,56
15-min:, 20,22,27,31,38,43,48,54,62,69
30-min:, 28,32,39,45,54,62,69,77,89,98
60-min:, 37,42,51,59,70,79,88,98,112,122
2-hr:, 47,53,63,72,86,96,107,119,135,147
3-hr:, 53,60,71,81,96,107,119,131,148,161
6-hr:, 65,73,88,100,117,130,144,159,178,193
12-hr:, 79,90,107,123,145,162,179,198,222,242
24-hr:, 93,107,129,148,175,197,218,241,272,296
2-day:, 108,124,150,172,203,228,254,280,315,343
3-day:, 118,134,161,184,217,243,269,297,335,365
4-day:, 127,143,170,193,226,253,280,309,347,378
7-day:, 151,167,195,218,251,278,305,334,373,403
10-day:, 172,189,217,241,275,302,329,358,396,426
20-day:, 232,252,286,313,351,379,408,437,474,503
30-day:, 284,309,348,379,421,452,482,511,547,574
45-day:, 353,384,432,469,517,551,582,611,646,669
60-day:, 415,452,508,551,604,640,672,701,734,753

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 13,15,18,21,26,30,35,40,47,53
10-min:, 19,22,26,31,38,44,51,59,69,77
15-min:, 23,26,32,37,47,54,62,72,85,95
30-min:, 33,38,46,54,67,77,89,103,121,135
60-min:, 44,50,61,70,86,99,113,130,152,169
2-hr:, 54,62,74,86,105,120,137,156,182,202
3-hr:, 62,70,83,96,116,132,151,171,199,220
6-hr:, 75,85,102,116,141,160,182,206,238,262
12-hr:, 91,103,124,143,174,197,224,254,295,325
24-hr:, 107,122,148,171,209,238,272,308,358,395
2-day:, 123,141,171,197,241,275,313,356,413,456
3-day:, 134,152,183,210,256,291,331,376,437,483
4-day:, 143,161,193,220,267,302,344,390,452,499
7-day:, 169,188,219,247,294,330,372,419,482,529
10-day:, 192,211,244,272,320,357,400,447,509,557
20-day:, 257,280,318,350,403,444,490,540,604,653
30-day:, 314,341,386,423,481,525,574,627,692,742
45-day:, 389,423,477,521,586,635,689,745,811,862
60-day:, 456,497,560,609,681,735,792,851,917,967

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,19,21,22,24,26
10-min:, 14,16,19,22,25,28,30,32,36,38
15-min:, 17,19,23,27,31,34,37,40,44,47
30-min:, 24,28,33,38,45,49,53,57,62,66
60-min:, 32,36,44,50,57,63,68,72,78,83
2-hr:, 40,45,54,62,70,77,83,88,95,101
3-hr:, 46,51,61,69,79,86,92,97,105,111
6-hr:, 56,64,76,85,97,105,113,118,128,135
12-hr:, 69,78,93,106,121,132,141,149,161,170
24-hr:, 82,93,113,129,147,161,173,183,199,210
2-day:, 95,109,131,150,172,188,202,215,233,247
3-day:, 104,118,142,161,184,201,216,229,249,264
4-day:, 112,126,150,169,193,210,226,239,259,275
7-day:, 134,148,172,192,215,233,247,260,280,296
10-day:, 153,168,193,213,236,253,268,280,299,314
20-day:, 207,225,254,277,302,320,334,345,362,374
30-day:, 255,276,311,337,363,382,395,404,419,430
45-day:, 318,345,387,419,446,467,479,486,497,505
60-day:, 374,407,456,492,521,543,555,559,566,571

Date/time (GMT):  Thu Jul 16 15:40:22 2026
pyRunTime:  0.0246126651763916
