Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 9 Version 2
Data type: Precipitation depth
Time series type: Partial duration
Project area: Southeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 34.360600 Degree
Longitude: -87.928300 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,12,15,17,21,24,27,30,35,38
10-min:, 16,18,22,25,30,34,39,44,51,56
15-min:, 19,22,26,31,37,42,48,53,62,69
30-min:, 28,32,38,44,53,61,69,77,90,99
60-min:, 38,42,51,58,69,78,87,97,111,123
2-hr:, 47,53,63,72,85,95,106,118,133,146
3-hr:, 54,61,72,82,95,106,118,129,145,158
6-hr:, 66,74,89,101,117,131,144,158,177,191
12-hr:, 79,90,108,124,146,164,182,201,227,247
24-hr:, 93,107,130,150,178,202,225,251,285,313
2-day:, 109,125,152,176,210,237,266,295,336,368
3-day:, 121,138,167,192,228,257,286,317,359,392
4-day:, 131,149,179,205,241,270,299,330,372,404
7-day:, 158,176,207,232,269,297,326,356,396,427
10-day:, 179,199,231,257,294,323,352,382,422,452
20-day:, 240,264,304,336,379,412,444,476,518,549
30-day:, 293,322,369,406,456,492,527,561,603,634
45-day:, 363,399,456,501,557,597,634,669,709,737
60-day:, 425,469,534,584,646,688,726,759,796,819

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 13,15,19,22,27,32,37,43,51,58
10-min:, 20,22,27,32,40,46,54,63,75,85
15-min:, 24,27,33,38,49,57,66,77,92,103
30-min:, 35,40,48,56,71,82,95,111,133,150
60-min:, 47,53,64,73,91,105,121,140,165,184
2-hr:, 58,66,78,90,111,126,145,166,195,216
3-hr:, 66,74,88,101,123,139,159,181,210,232
6-hr:, 80,90,108,123,149,169,192,218,252,277
12-hr:, 95,108,130,150,184,210,240,274,320,354
24-hr:, 110,127,154,179,223,255,294,337,396,441
2-day:, 128,147,179,208,259,297,342,392,460,512
3-day:, 141,161,196,226,279,318,365,417,487,540
4-day:, 152,173,208,239,292,332,379,431,501,554
7-day:, 181,202,238,269,322,362,408,459,527,578
10-day:, 205,227,264,296,350,390,437,488,556,607
20-day:, 271,298,344,382,443,489,542,598,671,726
30-day:, 328,361,415,459,527,579,636,697,773,830
45-day:, 404,445,510,561,638,695,757,822,898,956
60-day:, 471,519,593,652,733,795,860,925,999,1056

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,18,19,20,23,24
10-min:, 13,14,17,20,23,26,28,30,33,36
15-min:, 15,17,21,24,28,31,34,37,41,44
30-min:, 22,25,30,35,41,45,49,53,59,63
60-min:, 30,34,40,46,53,58,63,67,73,78
2-hr:, 38,43,51,58,66,72,77,81,88,93
3-hr:, 44,49,58,66,74,80,85,90,96,102
6-hr:, 54,61,72,82,92,100,106,111,119,125
12-hr:, 65,74,89,102,116,126,135,143,155,163
24-hr:, 78,89,108,124,143,157,169,180,196,209
2-day:, 92,106,128,147,170,187,202,215,234,249
3-day:, 103,117,142,162,186,204,219,232,252,267
4-day:, 112,127,152,173,197,215,230,242,262,277
7-day:, 136,151,177,198,221,239,253,264,282,295
10-day:, 155,172,199,220,243,261,274,285,302,315
20-day:, 210,231,264,290,316,336,349,359,375,387
30-day:, 257,283,323,354,382,403,417,425,439,450
45-day:, 321,353,402,438,469,492,504,509,520,527
60-day:, 378,416,472,513,545,569,580,581,586,589

Date/time (GMT):  Thu Jul 16 15:42:33 2026
pyRunTime:  0.027341127395629883
