station_id,station_name,state,latitude,longitude,duration,duration_hours,ari_years,estimate_mm,lower_90_mm,upper_90_mm,confidence_width_mm,lower_difference_mm,upper_difference_mm
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-day,240.0,1.0,174.0,146.0,205.0,59.0,28.0,31.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-day,240.0,2.0,194.0,163.0,229.0,66.0,31.0,35.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-day,240.0,5.0,231.0,193.0,274.0,81.0,38.0,43.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-day,240.0,10.0,266.0,222.0,317.0,95.0,44.0,51.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-day,240.0,25.0,321.0,263.0,403.0,140.0,58.0,82.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-day,240.0,50.0,369.0,294.0,468.0,174.0,75.0,99.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-day,240.0,100.0,421.0,325.0,548.0,223.0,96.0,127.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-day,240.0,200.0,478.0,356.0,640.0,284.0,122.0,162.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-day,240.0,500.0,561.0,403.0,772.0,369.0,158.0,211.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-day,240.0,1000.0,629.0,438.0,872.0,434.0,191.0,243.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-min,0.16666666666666666,1.0,19.0,15.0,24.0,9.0,4.0,5.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-min,0.16666666666666666,2.0,22.0,18.0,27.0,9.0,4.0,5.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-min,0.16666666666666666,5.0,27.0,21.0,33.0,12.0,6.0,6.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-min,0.16666666666666666,10.0,30.0,24.0,38.0,14.0,6.0,8.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-min,0.16666666666666666,25.0,35.0,27.0,45.0,18.0,8.0,10.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-min,0.16666666666666666,50.0,39.0,29.0,51.0,22.0,10.0,12.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-min,0.16666666666666666,100.0,42.0,31.0,57.0,26.0,11.0,15.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-min,0.16666666666666666,200.0,46.0,32.0,64.0,32.0,14.0,18.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-min,0.16666666666666666,500.0,50.0,34.0,72.0,38.0,16.0,22.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,10-min,0.16666666666666666,1000.0,54.0,36.0,78.0,42.0,18.0,24.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,12-hr,12.0,1.0,82.0,68.0,100.0,32.0,14.0,18.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,12-hr,12.0,2.0,97.0,80.0,118.0,38.0,17.0,21.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,12-hr,12.0,5.0,123.0,101.0,151.0,50.0,22.0,28.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,12-hr,12.0,10.0,148.0,120.0,181.0,61.0,28.0,33.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,12-hr,12.0,25.0,184.0,147.0,238.0,91.0,37.0,54.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,12-hr,12.0,50.0,216.0,168.0,281.0,113.0,48.0,65.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,12-hr,12.0,100.0,249.0,188.0,334.0,146.0,61.0,85.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,12-hr,12.0,200.0,286.0,207.0,393.0,186.0,79.0,107.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,12-hr,12.0,500.0,338.0,236.0,478.0,242.0,102.0,140.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,12-hr,12.0,1000.0,380.0,257.0,542.0,285.0,123.0,162.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,15-min,0.25,1.0,23.0,19.0,29.0,10.0,4.0,6.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,15-min,0.25,2.0,27.0,22.0,33.0,11.0,5.0,6.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,15-min,0.25,5.0,32.0,26.0,40.0,14.0,6.0,8.0
01-0008,ABBEVILLE,AL,31.5703,-85.2483,15-min,0.25,10.0,37.0,29.0,46.0,17.0,8.0,9.0
