Station ID,State,Station name,Latitude,Longitude,Post-merge station ID,Co-located station ID,Base duration,Source of data,Period of record,Elevation (ft)
01-0008,AL,ABBEVILLE,31.5703,-85.2483,,,1-day; 1-hour,NCDC,7/1948-8/2010; 6/1948-12/2010,456
01-0063,AL,ADDISON,34.2031,-87.1814,,,1-day; 1-hour; 15-min,NCDC,3/1938-10/2011; 6/1948-12/2010; 10/1976-12/2010,766
01-0140,AL,ALBERTA,32.2322,-87.4106,,,1-day; 1-hour; 15-min,NCDC,10/1940-10/2011; 9/1963-12/2010; 5/1971-12/2010,175
01-0148,AL,ALBERTVILLE 2 SE,34.2333,-86.1667,01-0957,,1-day,NCDC,1/1908-3/1977,1142
01-0178,AL,ALICEVILLE,33.1272,-88.155,,,1-day,NCDC,3/1934-7/2011,195
01-0184,AL,ALICEVILLE L&D,33.21,-88.2878,,,1-day,NCDC,2/1940-8/2010,165
01-0252,AL,ANDALUSIA 3 W,31.3067,-86.5222,,,1-day; 1-hour; 15-min,NCDC,10/1912-8/2011; 6/1948-12/2010; 3/1980-12/2010,250
01-0272,AL,ANNISTON METRO AP,33.5872,-85.8556,,,1-day,NCDC,3/1903-10/2010,594
01-0338,AL,ARLEY 1 S,34.0667,-87.2333,,,1-day,NCDC,3/1938-10/1983,745
01-0369,AL,ASHLAND 3 ENE,33.2942,-85.7789,,,1-day; 1-hour; 15-min,NCDC,3/1940-10/2011; 6/1948-12/2010; 8/1972-12/2010,1022
01-0377,AL,ASHVILLE 4 W,33.85,-86.3333,,,1-day,NCDC,5/1895-2/1973,591
01-0390,AL,ATHENS,34.7772,-86.9511,,,1-day,NCDC,5/1941-10/2011,680
01-0395,AL,ATHENS 2,34.8,-86.9833,01-0390,,1-day,NCDC,10/1955-6/1991,720
01-0402,AL,ATMORE,31.1819,-87.4389,,,1-day; 1-hour; 15-min,NCDC,3/1940-10/2011; 6/1948-12/2010; 10/1983-12/2010,300
01-0422,AL,AUBURN,32.6,-85.5,01-0430,,1-day,NCDC,1/1893-12/1970,732
01-0425,AL,AUBURN #2,32.5992,-85.4653,,,1-day; 1-hour,NCDC,1/1893-10/2011; 6/1948-12/2010,545
01-0427,AL,AUBURN AG RSCH STN 10,32.6,-85.4833,01-0425,,1-hour,NCDC,6/1948-8/1962,702
01-0430,AL,AUBURN AGRONOMY FARM,32.6,-85.5,01-0425,,1-day; 1-hour,NCDC,1/1976-4/1996; 2/1979-6/1996,652
01-0440,AL,AUTAUGAVILLE 3 N,32.4706,-86.68,,,1-day,NCDC,10/1940-9/2001,200
01-0505,AL,BANKHEAD L&D,33.4528,-87.3572,,,1-day,NCDC,8/1930-10/2011,280
01-0546,AL,BARTON,34.7167,-87.8667,01-1819,,1-day,NCDC,1/1949-4/1953,459
01-0583,AL,BAY MINETTE,30.8839,-87.7853,,,1-day,NCDC,11/1913-10/2011,271
01-0616,AL,BEATRICE,31.7222,-87.2119,,,1-day,NCDC,12/1941-11/2000,178
01-0655,AL,BELLE MINA 2 N,34.6908,-86.8825,,,1-day,NCDC,1/1950-10/2011,600
01-0748,AL,BERRY 3 NW,33.6944,-87.6497,,,1-day; 1-hour,NCDC,2/1940-10/2011; 6/1948-12/2010,504
01-0757,AL,BESSEMER 3 SSW,33.3667,-87.0167,01-0764,,1-day,NCDC,10/1954-1/1975,541
01-0764,AL,BESSEMER 3 WSW,33.3953,-87.0078,,,1-day,NCDC,10/1954-10/2011,445
01-0823,AL,BILLINGSLEY 3 NE,32.6731,-86.6653,,,1-day,NCDC,12/1938-10/2011,445
01-0829,AL,BIRMINGHAM WSFO,33.4667,-86.8333,,,1-day,NCDC,4/1893-12/1989,744
01-0831,AL,BIRMINGHAM AP ASOS,33.5656,-86.745,,,1-day; 1-hour,NCDC,1/1930-10/2010; 6/1948-12/2010,615
01-0836,AL,BIRMINGHAM,33.5333,-86.8333,01-4996,,1-day,NCDC,4/1893-10/1953,702
01-0957,AL,BOAZ,34.2008,-86.1633,,,1-day; 1-hour,NCDC,1/1908-7/2011; 6/1948-12/2010,1070
01-1069,AL,BRANTLEY,31.5833,-86.2667,,,1-day,NCDC,7/1930-1/1982,269
01-1080,AL,BREWTON 3 ENE,31.1408,-87.0483,,,1-day,NCDC,4/1977-10/2011,160
01-1084,AL,BREWTON 3 SSE,31.0581,-87.0547,,,1-day,NCDC,2/1926-10/2011,85
01-1099,AL,BRIDGEPORT 5 NW,34.9786,-85.8008,,,1-day,NCDC,9/1896-10/2011,670
01-1143,AL,BROOKWOOD,33.2536,-87.2936,,,1-day,NCDC,6/1960-10/2010,515
01-1178,AL,BRUNDIDGE,31.7056,-85.8369,,,1-day,NCDC,7/1930-10/2011,455
01-1288,AL,CALERA,33.1106,-86.7461,,,1-day,NCDC,9/1900-10/2011,530
01-1300,AL,CAMDEN 3 NNW,32.0333,-87.3167,01-1301,,1-day,NCDC,6/1908-8/1961,112
01-1301,AL,CAMDEN 3 NW,32.0289,-87.3167,,,1-day,NCDC,6/1908-12/2001,235
01-1324,AL,CAMP HILL 2NW,32.8236,-85.6561,,,1-day,NCDC,12/1900-10/2011,680
01-1377,AL,CARBON HILL,33.8925,-87.5283,,,1-day,NCDC,3/1938-10/2011,430
01-1520,AL,CENTREVILLE,32.95,-87.1333,,,1-day,NCDC,12/1916-9/1973,220
01-1525,AL,CENTREVILLE 6 SW,32.8661,-87.2383,,,1-day,NCDC,12/1974-8/2010,450
01-1566,AL,CHATOM,31.4714,-88.2503,,,1-day,NCDC,9/1949-8/2011,285
01-1615,AL,CHILDERSBURG,33.2833,-86.3667,01-1620,,1-day,NCDC,1/1891-3/1968,479
01-1620,AL,CHILDERSBURG WTR PL,33.285,-86.3431,,,1-day,NCDC,1/1891-10/2011,418
01-1690,AL,CLAIBORNE L&D,31.6147,-87.5503,,,1-day,NCDC,10/1952-10/2011,50
01-1694,AL,CLANTON,32.82,-86.6522,,,1-day,NCDC,2/1893-10/2011,610
01-1725,AL,CLAYTON,31.8844,-85.4789,,,1-day,NCDC,11/1928-10/2011,500
01-1799,AL,COCHRANE 2 E,33.0833,-88.2333,01-2141,,1-day,NCDC,11/1909-12/1956,151
01-1803,AL,CODEN,30.3878,-88.2281,,,1-day,NCDC,10/1956-10/2011,12
01-1807,AL,COFFEE SPRINGS 2 NW,31.1833,-85.9333,,,1-day,NCDC,9/1923-12/1983,250
01-1819,AL,COLBERT STEAM PLT,34.75,-87.85,,,1-day; 1-hour,NCDC,1/1949-12/1980; 11/1951-12/1980,469
01-1849,AL,COLLINSVILLE,34.25,-85.8833,,,1-day,NCDC,3/1938-10/1977,751
01-1940,AL,CORDOVA 2 ENE,33.75,-87.15,,,1-day,NCDC,2/1901-7/1991,320
