station_id,station_name,latitude,longitude,raw_file,status,request_url,rows_parsed,error
01-0008,ABBEVILLE,31.5703,-85.2483,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0008_pds_frequency.csv,failed,https://hdsc.nws.noaa.gov/cgi-bin/new/fe_text.csv?lat=31.570300&lon=-85.248300&data=depth&units=metric&series=pds,0,"ValueError: The NOAA response was recognized, but no duration and recurrence-interval records were parsed."
01-0063,ADDISON,34.2031,-87.1814,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0063_pds_frequency.csv,failed,https://hdsc.nws.noaa.gov/cgi-bin/new/fe_text.csv?lat=34.203100&lon=-87.181400&data=depth&units=metric&series=pds,0,"ValueError: The NOAA response was recognized, but no duration and recurrence-interval records were parsed."
01-0140,ALBERTA,32.2322,-87.4106,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0140_pds_frequency.csv,failed,https://hdsc.nws.noaa.gov/cgi-bin/new/fe_text.csv?lat=32.232200&lon=-87.410600&data=depth&units=metric&series=pds,0,"ValueError: The NOAA response was recognized, but no duration and recurrence-interval records were parsed."
01-0148,ALBERTVILLE 2 SE,34.2333,-86.1667,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0148_pds_frequency.csv,failed,https://hdsc.nws.noaa.gov/cgi-bin/new/fe_text.csv?lat=34.233300&lon=-86.166700&data=depth&units=metric&series=pds,0,"ValueError: The NOAA response was recognized, but no duration and recurrence-interval records were parsed."
01-0178,ALICEVILLE,33.1272,-88.155,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0178_pds_frequency.csv,failed,https://hdsc.nws.noaa.gov/cgi-bin/new/fe_text.csv?lat=33.127200&lon=-88.155000&data=depth&units=metric&series=pds,0,"ValueError: The NOAA response was recognized, but no duration and recurrence-interval records were parsed."
01-0184,ALICEVILLE L&D,33.21,-88.2878,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0184_pds_frequency.csv,failed,https://hdsc.nws.noaa.gov/cgi-bin/new/fe_text.csv?lat=33.210000&lon=-88.287800&data=depth&units=metric&series=pds,0,"ValueError: The NOAA response was recognized, but no duration and recurrence-interval records were parsed."
01-0252,ANDALUSIA 3 W,31.3067,-86.5222,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0252_pds_frequency.csv,failed,https://hdsc.nws.noaa.gov/cgi-bin/new/fe_text.csv?lat=31.306700&lon=-86.522200&data=depth&units=metric&series=pds,0,"ValueError: The NOAA response was recognized, but no duration and recurrence-interval records were parsed."
01-0272,ANNISTON METRO AP,33.5872,-85.8556,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0272_pds_frequency.csv,failed,https://hdsc.nws.noaa.gov/cgi-bin/new/fe_text.csv?lat=33.587200&lon=-85.855600&data=depth&units=metric&series=pds,0,"ValueError: The NOAA response was recognized, but no duration and recurrence-interval records were parsed."
01-0338,ARLEY 1 S,34.0667,-87.2333,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0338_pds_frequency.csv,failed,https://hdsc.nws.noaa.gov/cgi-bin/new/fe_text.csv?lat=34.066700&lon=-87.233300&data=depth&units=metric&series=pds,0,"ValueError: The NOAA response was recognized, but no duration and recurrence-interval records were parsed."
01-0369,ASHLAND 3 ENE,33.2942,-85.7789,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0369_pds_frequency.csv,failed,https://hdsc.nws.noaa.gov/cgi-bin/new/fe_text.csv?lat=33.294200&lon=-85.778900&data=depth&units=metric&series=pds,0,"ValueError: The NOAA response was recognized, but no duration and recurrence-interval records were parsed."
01-0377,ASHVILLE 4 W,33.85,-86.3333,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0377_pds_frequency.csv,failed,https://hdsc.nws.noaa.gov/cgi-bin/new/fe_text.csv?lat=33.850000&lon=-86.333300&data=depth&units=metric&series=pds,0,"ValueError: The NOAA response was recognized, but no duration and recurrence-interval records were parsed."
01-0390,ATHENS,34.7772,-86.9511,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0390_pds_frequency.csv,failed,https://hdsc.nws.noaa.gov/cgi-bin/new/fe_text.csv?lat=34.777200&lon=-86.951100&data=depth&units=metric&series=pds,0,"ValueError: The NOAA response was recognized, but no duration and recurrence-interval records were parsed."
01-0395,ATHENS 2,34.8,-86.9833,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\raw_noaa_responses\01-0395_pds_frequency.csv,failed,https://hdsc.nws.noaa.gov/cgi-bin/new/fe_text.csv?lat=34.800000&lon=-86.983300&data=depth&units=metric&series=pds,0,"ValueError: The NOAA response was recognized, but no duration and recurrence-interval records were parsed."
