station_id,station_name,parsed_rows,expected_rows,complete
01-0008,ABBEVILLE,570,570,True
01-0063,ADDISON,570,570,True
01-0140,ALBERTA,570,570,True
01-0148,ALBERTVILLE 2 SE,570,570,True
01-0178,ALICEVILLE,570,570,True
01-0184,ALICEVILLE L&D,570,570,True
01-0252,ANDALUSIA 3 W,570,570,True
01-0272,ANNISTON METRO AP,570,570,True
01-0338,ARLEY 1 S,570,570,True
01-0369,ASHLAND 3 ENE,570,570,True
01-0377,ASHVILLE 4 W,570,570,True
01-0390,ATHENS,570,570,True
01-0395,ATHENS 2,570,570,True
01-0402,ATMORE,570,570,True
01-0422,AUBURN,570,570,True
01-0425,AUBURN #2,570,570,True
01-0427,AUBURN AG RSCH STN 10,570,570,True
01-0430,AUBURN AGRONOMY FARM,570,570,True
01-0440,AUTAUGAVILLE 3 N,570,570,True
01-0505,BANKHEAD L&D,570,570,True
01-0546,BARTON,570,570,True
01-0583,BAY MINETTE,570,570,True
01-0616,BEATRICE,570,570,True
01-0655,BELLE MINA 2 N,570,570,True
01-0748,BERRY 3 NW,570,570,True
01-0757,BESSEMER 3 SSW,570,570,True
01-0764,BESSEMER 3 WSW,570,570,True
01-0823,BILLINGSLEY 3 NE,570,570,True
01-0829,BIRMINGHAM WSFO,570,570,True
01-0831,BIRMINGHAM AP ASOS,570,570,True
01-0836,BIRMINGHAM,570,570,True
01-0957,BOAZ,570,570,True
01-1069,BRANTLEY,570,570,True
01-1080,BREWTON 3 ENE,570,570,True
01-1084,BREWTON 3 SSE,570,570,True
01-1099,BRIDGEPORT 5 NW,570,570,True
01-1143,BROOKWOOD,570,570,True
01-1178,BRUNDIDGE,570,570,True
01-1288,CALERA,570,570,True
01-1300,CAMDEN 3 NNW,570,570,True
01-1301,CAMDEN 3 NW,570,570,True
01-1324,CAMP HILL 2NW,570,570,True
01-1377,CARBON HILL,570,570,True
01-1520,CENTREVILLE,570,570,True
01-1525,CENTREVILLE 6 SW,570,570,True
01-1566,CHATOM,570,570,True
01-1615,CHILDERSBURG,570,570,True
01-1620,CHILDERSBURG WTR PL,570,570,True
01-1690,CLAIBORNE L&D,570,570,True
01-1694,CLANTON,570,570,True
01-1725,CLAYTON,570,570,True
01-1799,COCHRANE 2 E,570,570,True
01-1803,CODEN,570,570,True
01-1807,COFFEE SPRINGS 2 NW,570,570,True
01-1819,COLBERT STEAM PLT,570,570,True
01-1849,COLLINSVILLE,570,570,True
01-1940,CORDOVA 2 ENE,570,570,True
01-2079,CUBA,570,570,True
01-2119,DADEVILLE,570,570,True
01-2124,DADEVILLE 2,570,570,True
01-2141,DANCY 4 N,570,570,True
01-2172,DAUPHIN ISLAND #2,570,570,True
01-2188,DAYTON 1 N,570,570,True
01-2207,DECATUR,570,570,True
01-2240,DEMOPOLIS LOCK 4,570,570,True
01-2245,DEMOPOLIS L&D,570,570,True
01-2350,DORA,570,570,True
01-2372,DOTHAN FAA AP,570,570,True
01-2377,DOTHAN,570,570,True
01-2577,ELBA,570,570,True
01-2632,ELROD,570,570,True
01-2670,ENTERPRISE,570,570,True
01-2675,ENTERPRISE 2 W,570,570,True
01-2727,EUFAULA,570,570,True
01-2730,EUFAULA WILDLIFE REF,570,570,True
01-2742,WARRIOR L&D,570,570,True
01-2758,EVERGREEN,570,570,True
01-2763,EVERGREEN FAA AP,570,570,True
01-2813,FAIRHOPE 2 NE,570,570,True
01-2840,FALKVILLE 1 E,570,570,True
01-2883,FAYETTE,570,570,True
01-2971,FLORENCE,570,570,True
01-2976,FLORENCE AT LOCK,570,570,True
01-3024,FT DEPOSIT,570,570,True
01-3035,FT MORGAN,570,570,True
01-3043,FT PAYNE,570,570,True
01-3105,FRISCO CITY 3 SSW,570,570,True
01-3151,GADSDEN,570,570,True
01-3154,GADSDEN,570,570,True
01-3160,GAINESVILLE LOCK,570,570,True
01-3200,GARDEN CITY,570,570,True
01-3251,GENEVA #2,570,570,True
01-3255,GENEVA,570,570,True
01-3271,GEORGIANA,570,570,True
