State,Station name,Station ID,Post-merge station ID,Co-located station ID,Base duration,Source of data,Latitude,Longitude,Elevation (ft),Period of record
AL,ABBEVILLE                ,01-0008, ,,1-day,NCDC,31.5703,-85.2483,456,7/1948-8/2010
AL,ABBEVILLE                ,01-0008, ,,1-hour,NCDC,31.5703,-85.2483,456,6/1948-12/2010
AL,ADDISON                  ,01-0063, ,,1-day,NCDC,34.2031,-87.1814,766,3/1938-10/2011
AL,ADDISON                  ,01-0063, ,,1-hour,NCDC,34.2031,-87.1814,766,6/1948-12/2010
AL,ADDISON                  ,01-0063, ,,15-min,NCDC,34.2031,-87.1814,766,10/1976-12/2010
AL,ALBERTA                  ,01-0140, ,,1-day,NCDC,32.2322,-87.4106,175,10/1940-10/2011
AL,ALBERTA                  ,01-0140, ,,1-hour,NCDC,32.2322,-87.4106,175,9/1963-12/2010
AL,ALBERTA                  ,01-0140, ,,15-min,NCDC,32.2322,-87.4106,175,5/1971-12/2010
AL,ALBERTVILLE 2 SE         ,01-0148,01-0957,,1-day,NCDC,34.2333,-86.1667,1142,1/1908-3/1977
AL,ALICEVILLE               ,01-0178, ,,1-day,NCDC,33.1272,-88.1550,195,3/1934-7/2011
AL,ALICEVILLE L&D           ,01-0184, ,,1-day,NCDC,33.2100,-88.2878,165,2/1940-8/2010
AL,ANDALUSIA 3 W            ,01-0252, ,,1-day,NCDC,31.3067,-86.5222,250,10/1912-8/2011
AL,ANDALUSIA 3 W            ,01-0252, ,,1-hour,NCDC,31.3067,-86.5222,250,6/1948-12/2010
AL,ANDALUSIA 3 W            ,01-0252, ,,15-min,NCDC,31.3067,-86.5222,250,3/1980-12/2010
AL,ANNISTON METRO AP        ,01-0272, ,,1-day,NCDC,33.5872,-85.8556,594,3/1903-10/2010
AL,ARLEY 1 S                ,01-0338, ,,1-day,NCDC,34.0667,-87.2333,745,3/1938-10/1983
AL,ASHLAND 3 ENE            ,01-0369, ,,1-day,NCDC,33.2942,-85.7789,1022,3/1940-10/2011
AL,ASHLAND 3 ENE            ,01-0369, ,,1-hour,NCDC,33.2942,-85.7789,1022,6/1948-12/2010
AL,ASHLAND 3 ENE            ,01-0369, ,,15-min,NCDC,33.2942,-85.7789,1022,8/1972-12/2010
