catalog_event_id,huc12,primary_peak_time_utc,storm_type,storm_name,month,month_name,season
AL-RF-19790304-0001,031401060201,1979-03-04 06:00:00+00:00,Convective candidate,,3,Mar,Spring
AL-RF-19790304-0001,031401060202,1979-03-04 06:00:00+00:00,Convective candidate,,3,Mar,Spring
AL-RF-19790304-0001,031401060203,1979-03-04 06:00:00+00:00,Convective candidate,,3,Mar,Spring
AL-RF-19790304-0001,031401060501,1979-03-04 06:00:00+00:00,Convective candidate,,3,Mar,Spring
AL-RF-19790304-0001,031401060503,1979-03-04 06:00:00+00:00,Convective candidate,,3,Mar,Spring
AL-RF-19790304-0001,031401060703,1979-03-04 06:00:00+00:00,Convective candidate,,3,Mar,Spring
AL-RF-19790304-0001,031401070103,1979-03-04 06:00:00+00:00,Convective candidate,,3,Mar,Spring
AL-RF-19790304-0001,031401070104,1979-03-04 06:00:00+00:00,Convective candidate,,3,Mar,Spring
AL-RF-19790304-0001,031401070201,1979-03-04 06:00:00+00:00,Convective candidate,,3,Mar,Spring
AL-RF-19790304-0001,031401070202,1979-03-04 06:00:00+00:00,Convective candidate,,3,Mar,Spring
AL-RF-19790304-0001,031401070203,1979-03-04 06:00:00+00:00,Convective candidate,,3,Mar,Spring
AL-RF-19790304-0001,031401070204,1979-03-04 06:00:00+00:00,Convective candidate,,3,Mar,Spring
AL-RF-19790304-0001,031401070205,1979-03-04 06:00:00+00:00,Convective candidate,,3,Mar,Spring
AL-RF-19790304-0001,031401070300,1979-03-04 06:00:00+00:00,Convective candidate,,3,Mar,Spring
AL-RF-19790304-0001,031501050101,1979-03-04 06:00:00+00:00,Convective candidate,,3,Mar,Spring
AL-RF-19790304-0001,031501050106,1979-03-04 06:00:00+00:00,Convective candidate,,3,Mar,Spring
AL-RF-19790304-0001,031501050204,1979-03-04 06:00:00+00:00,Convective candidate,,3,Mar,Spring
AL-RF-19790304-0001,031501050206,1979-03-04 06:00:00+00:00,Convective candidate,,3,Mar,Spring
AL-RF-19790304-0001,031501050207,1979-03-04 06:00:00+00:00,Convective candidate,,3,Mar,Spring
AL-RF-19790304-0001,031501050301,1979-03-04 06:00:00+00:00,Convective candidate,,3,Mar,Spring
AL-RF-19790304-0001,031501050302,1979-03-04 06:00:00+00:00,Convective candidate,,3,Mar,Spring
