huc12_a,huc12_b
031300020601,031501080904
031300020601,031300020602
031300020601,031501080905
031300020601,031501080802
031300020602,031300020802
031300020602,031300020603
031300020602,031501080904
031300020603,031300020803
031300020603,031300020802
031300020802,031300020806
031300020802,031300020803
031300020802,031300020804
031300020802,031501090301
031300020802,031501080904
031300020803,031300020806
031300020804,031300020806
031300020804,031300020805
031300020804,031501090304
031300020804,031501090301
031300020805,031300020901
031300020805,031300020903
031300020805,031300020808
031300020805,031300020806
031300020805,031501090304
031300020806,031300020808
031300020808,031300020903
031300020901,031300020902
031300020901,031501090204
031300020901,031501090203
031300020901,031300020903
031300020901,031501090304
031300020902,031300021104
031300020902,031501090201
031300020902,031501090204
031300020902,031300021105
031300020902,031300020903
031300020903,031300021105
031300020903,031300020908
031300020903,031300020907
031300020907,031300021105
031300020907,031300020908
031300020908,031300021109
031300020908,031300021105
031300021104,031501100102
031300021104,031501090503
031300021104,031300021107
031300021104,031501090501
031300021104,031501090202
031300021104,031501090201
031300021104,031300021105
031300021105,031300021108
031300021105,031300021107
031300021105,031300021109
031300021106,031501100202
031300021106,031501100102
031300021106,031300030401
031300021106,031300021301
031300021106,031300021108
031300021106,031300021107
031300021107,031501100102
031300021107,031300021108
031300021108,031300021301
031300021108,031300021302
031300021108,031300021109
031300021109,031300021302
031300021301,031300030402
031300021301,031300030401
031300021301,031300021306
031300021301,031300021302
031300021302,031300021306
031300021306,031300030403
031300021306,031300030304
031300021306,031300030301
031300021306,031300030402
031300030301,031300030305
031300030301,031300030403
031300030301,031300030304
031300030304,031300030306
031300030304,031300030305
031300030305,031300030306
031300030305,031300030403
031300030306,031300030602
031300030306,031300030505
031300030306,031300030403
031300030401,031300030503
031300030401,031300030501
031300030401,031300030502
031300030401,031501100202
031300030401,031300030402
031300030402,031300030503
031300030402,031300030403
031300030403,031300030505
031300030403,031300030504
031300030403,031300030503
031300030501,031300030801
031300030501,031300030503
031300030501,031300030502
031300030501,031501100203
031300030501,031501100201
031300030501,031501100202
031300030502,031300030503
031300030503,031300030803
031300030503,031300030802
031300030503,031300030801
031300030503,031300030504
031300030504,031300030802
031300030504,031300030505
031300030505,031300030802
031300030505,031300030605
031300030505,031300030602
031300030602,031300030606
031300030602,031300030605
031300030605,031300030606
031300030605,031300030802
031300030606,031300030804
031300030606,031300030802
031300030801,031300031102
031300030801,031300030803
031300030801,031501100203
031300030802,031300030804
031300030802,031300030803
031300030803,031300030904
031300030803,031300031103
031300030803,031300030804
031300030803,031300031102
031300030804,031300030904
031300030804,031300030903
031300030903,031300030905
031300030903,031300030904
031300030904,031300030905
031300030904,031300031103
031300030905,031300031302
031300030905,031300031205
031300030905,031300031103
031300031001,031300031203
031300031001,031300031003
031300031001,031300031202
031300031001,031402020201
031300031001,031300031002
031300031002,031501100703
031300031002,031300031003
031300031002,031402020201
031300031002,031501100601
031300031002,031300031101
031300031002,031501100502
031300031002,031501100205
031300031002,031501100203
031300031003,031300031203
031300031003,031300031205
031300031003,031300031204
031300031003,031300031101
031300031003,031300031103
031300031003,031300031102
031300031101,031300031102
031300031101,031501100203
031300031102,031300031103
031300031102,031501100203
031300031103,031300031205
031300031201,031402020102
031300031201,031402020101
031300031201,031402020205
031300031201,031300031203
031300031201,031300031202
031300031201,031402020201
031300031202,031300031203
031300031202,031402020201
031300031203,031402020102
031300031203,031300031306
031300031203,031300031304
031300031203,031300031301
031300031203,031300031204
031300031204,031300031301
031300031204,031300031205
031300031205,031300031302
031300031205,031300031301
031300031301,031300031303
031300031301,031300031307
031300031301,031300031306
031300031301,031300031302
031300031302,031300031303
031300031303,031300031313
031300031303,031300031307
031300031304,031300031305
031300031304,031402020102
031300031304,031300031306
031300031305,031402010401
031300031305,031402010101
031300031305,031300031309
031300031305,031402020102
031300031305,031300031306
031300031306,031300031309
031300031306,031300031307
031300031307,031300031313
031300031307,031300031310
031300031307,031300031309
031300031308,031402010102
031300031308,031300031312
031300031308,031402010101
031300031308,031300031310
031300031308,031300031309
031300031309,031402010101
031300031309,031300031310
031300031310,031300031312
031300031310,031300031313
031300031311,031300040302
031300031311,031300031600
031300031311,031402010102
031300031311,031300031312
031300031311,031300031313
031300031312,031300040302
031300031312,031402010102
031300031312,031300031313
031300031313,031300031600
031300031600,031300040304
031300031600,031300040104
031300031600,031300040302
031300040104,031300040206
031300040104,031300040304
031300040104,031300040403
031300040206,031300040501
031300040206,031300040405
031300040206,031300040403
031300040301,031300040304
031300040301,031402010202
031300040301,031300040303
031300040301,031402010201
031300040301,031402010104
031300040301,031300040302
031300040302,031300040304
031300040302,031402010104
031300040302,031402010102
031300040303,031300040401
