huc12,duration_hours,historical_max_mm,historical_max_ratio_to_2yr,historical_max_lower_ari,historical_max_ratio_to_100yr,qualifying_event_count,latest_event_time_utc,event_count_ge_2yr,event_count_ge_5yr,event_count_ge_10yr,event_count_ge_25yr,event_count_ge_50yr,event_count_ge_100yr
031300020601,3,68.112548828125,1.2244765996051017,5.0,0.5525130457325532,8,2019-10-06 00:00:00+00:00,8,1,0,0,0,0
031300020601,6,88.97789764404297,1.3072963078410544,5.0,0.6032588615949843,15,2025-05-26 09:00:00+00:00,15,3,0,0,0,0
031300020601,24,144.239990234375,1.4310062112891893,10.0,0.717989766397392,12,2021-12-30 21:00:00+00:00,12,3,1,0,0,0
031300020601,72,223.69467163085938,1.7435880613490842,25.0,0.8883760424897408,8,2017-01-23 00:00:00+00:00,8,4,2,1,0,0
031300020602,1,45.078041076660156,1.118867371490037,2.0,0.5196215201626497,3,2025-05-26 05:00:00+00:00,3,0,0,0,0,0
031300020602,3,70.03668212890625,1.2535931160681981,5.0,0.5715720148598883,9,2019-10-06 01:00:00+00:00,9,2,0,0,0,0
031300020602,6,91.20284271240234,1.3333849001547189,5.0,0.6208863616937185,14,2025-05-26 09:00:00+00:00,14,4,0,0,0,0
031300020602,24,137.89305114746094,1.3600929058497933,5.0,0.6839489158043769,12,2021-08-17 15:00:00+00:00,12,3,0,0,0,0
031300020602,72,226.40243530273438,1.757809428592426,25.0,0.898291518069722,10,2017-01-22 23:00:00+00:00,10,5,2,2,0,0
031300020603,1,48.444244384765625,1.201194379795053,2.0,0.5606900672812765,2,2019-10-06 00:00:00+00:00,2,0,0,0,0,0
031300020603,3,72.44570922851562,1.2957133276529187,5.0,0.5949138313539325,7,2019-10-06 01:00:00+00:00,7,2,0,0,0,0
031300020603,6,89.26207733154297,1.303789276978726,5.0,0.610195724564645,16,2025-05-26 09:00:00+00:00,16,5,0,0,0,0
031300020603,24,131.42584228515625,1.2946503533720322,5.0,0.6507210774097535,17,2024-02-12 22:00:00+00:00,17,4,0,0,0,0
031300020603,72,220.42034912109375,1.71265731710793,25.0,0.8764184116281859,9,2023-03-27 13:00:00+00:00,9,4,2,1,0,0
031300020802,1,46.947975158691406,1.153505654767765,2.0,0.5450331450342195,2,2009-10-12 14:00:00+00:00,2,0,0,0,0,0
031300020802,3,78.65042114257812,1.392353641551004,5.0,0.6499650539378682,6,2009-10-12 16:00:00+00:00,6,1,0,0,0,0
031300020802,6,91.02508544921875,1.315534050552295,5.0,0.6247210945405067,11,2017-01-21 17:00:00+00:00,11,4,0,0,0,0
031300020802,24,149.05076599121094,1.4527301729393718,10.0,0.7332413279977309,13,2024-02-12 20:00:00+00:00,13,5,1,0,0,0
031300020802,72,211.3300323486328,1.625902515509247,25.0,0.8337897309535193,12,2024-09-27 11:00:00+00:00,12,5,3,1,0,0
031300020803,1,45.431549072265625,1.119481435353677,2.0,0.5299461241477355,4,2020-08-31 00:00:00+00:00,4,0,0,0,0,0
031300020803,3,79.57598114013672,1.415054817560422,10.0,0.6620316244835384,8,2015-06-09 23:00:00+00:00,8,1,1,0,0,0
031300020803,6,89.76984405517578,1.3032810573792077,5.0,0.6192047154176614,13,2024-03-09 04:00:00+00:00,13,4,0,0,0,0
031300020803,24,157.3401336669922,1.5383182405621656,10.0,0.7748771460438313,14,2024-02-12 21:00:00+00:00,14,4,3,0,0,0
031300020803,72,208.08193969726562,1.6082936472080114,25.0,0.8254087505428331,12,2024-09-27 11:00:00+00:00,12,5,3,1,0,0
031300020804,1,55.717594146728516,1.3549074677555317,5.0,0.6529192946386989,3,2017-08-11 01:00:00+00:00,3,1,0,0,0,0
031300020804,3,103.02422332763672,1.8029669878930963,25.0,0.8638677024628183,11,2023-03-26 13:00:00+00:00,11,2,2,1,0,0
031300020804,6,115.91014862060547,1.6565025127798476,25.0,0.802567957962683,12,2024-03-09 04:00:00+00:00,12,4,2,1,0,0
031300020804,24,169.7283935546875,1.6397362874982282,25.0,0.8276824000247369,15,2024-02-12 21:00:00+00:00,15,3,2,1,0,0
031300020804,72,203.3687744140625,1.554665099022324,10.0,0.7971299861374385,12,2024-09-27 11:00:00+00:00,12,5,4,0,0,0
031300020805,1,48.71519470214844,1.1748304995264205,2.0,0.5760105624775819,1,2005-07-07 03:00:00+00:00,1,0,0,0,0,0
031300020805,3,77.05184173583984,1.33846622758419,5.0,0.6548733339238698,6,2013-07-03 15:00:00+00:00,6,2,0,0,0,0
031300020805,6,128.250244140625,1.8213283850445934,25.0,0.8949034028354307,9,2024-03-09 04:00:00+00:00,9,2,2,1,0,0
031300020805,24,155.3099365234375,1.4940992933195034,10.0,0.7512240647813997,14,2024-02-12 21:00:00+00:00,14,4,2,0,0,0
031300020805,72,217.9650421142578,1.6623013732736793,25.0,0.8490354009189176,11,2024-09-27 11:00:00+00:00,11,7,2,1,0,0
