archive_path,archive_name,stem,region,ari_years,duration_token,duration_hours,statistic,series,parsed,size_mb
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se1000yr03da.zip,se1000yr03da.zip,se1000yr03da,se,1000,03d,72,expected,pds,True,1.826909065246582
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se1000yr03ha.zip,se1000yr03ha.zip,se1000yr03ha,se,1000,03h,3,expected,pds,True,1.5334081649780273
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se1000yr06ha.zip,se1000yr06ha.zip,se1000yr06ha,se,1000,06h,6,expected,pds,True,1.6485366821289062
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se1000yr24ha.zip,se1000yr24ha.zip,se1000yr24ha,se,1000,24h,24,expected,pds,True,1.762232780456543
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se1000yr60ma.zip,se1000yr60ma.zip,se1000yr60ma,se,1000,60m,1,expected,pds,True,1.2244930267333984
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se100yr03da.zip,se100yr03da.zip,se100yr03da,se,100,03d,72,expected,pds,True,1.623124122619629
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se100yr03ha.zip,se100yr03ha.zip,se100yr03ha,se,100,03h,3,expected,pds,True,1.2514657974243164
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se100yr06ha.zip,se100yr06ha.zip,se100yr06ha,se,100,06h,6,expected,pds,True,1.3634662628173828
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se100yr24ha.zip,se100yr24ha.zip,se100yr24ha,se,100,24h,24,expected,pds,True,1.5516414642333984
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se100yr60ma.zip,se100yr60ma.zip,se100yr60ma,se,100,60m,1,expected,pds,True,0.9659261703491211
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se10yr03da.zip,se10yr03da.zip,se10yr03da,se,10,03d,72,expected,pds,True,1.3312997817993164
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se10yr03ha.zip,se10yr03ha.zip,se10yr03ha,se,10,03h,3,expected,pds,True,0.9660816192626953
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se10yr06ha.zip,se10yr06ha.zip,se10yr06ha,se,10,06h,6,expected,pds,True,1.0623197555541992
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se10yr24ha.zip,se10yr24ha.zip,se10yr24ha,se,10,24h,24,expected,pds,True,1.2422409057617188
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se10yr60ma.zip,se10yr60ma.zip,se10yr60ma,se,10,60m,1,expected,pds,True,0.7483034133911133
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se1yr03da.zip,se1yr03da.zip,se1yr03da,se,1,03d,72,expected,pds,True,0.9907426834106445
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se1yr03ha.zip,se1yr03ha.zip,se1yr03ha,se,1,03h,3,expected,pds,True,0.7286148071289062
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se1yr06ha.zip,se1yr06ha.zip,se1yr06ha,se,1,06h,6,expected,pds,True,0.7790842056274414
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se1yr24ha.zip,se1yr24ha.zip,se1yr24ha,se,1,24h,24,expected,pds,True,0.8731746673583984
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se1yr60ma.zip,se1yr60ma.zip,se1yr60ma,se,1,60m,1,expected,pds,True,0.5847158432006836
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se200yr03da.zip,se200yr03da.zip,se200yr03da,se,200,03d,72,expected,pds,True,1.684591293334961
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se200yr03ha.zip,se200yr03ha.zip,se200yr03ha,se,200,03h,3,expected,pds,True,1.3364276885986328
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se200yr06ha.zip,se200yr06ha.zip,se200yr06ha,se,200,06h,6,expected,pds,True,1.4654569625854492
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se200yr24ha.zip,se200yr24ha.zip,se200yr24ha,se,200,24h,24,expected,pds,True,1.6446037292480469
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se200yr60ma.zip,se200yr60ma.zip,se200yr60ma,se,200,60m,1,expected,pds,True,1.0392332077026367
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se25yr03da.zip,se25yr03da.zip,se25yr03da,se,25,03d,72,expected,pds,True,1.4641790390014648
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se25yr03ha.zip,se25yr03ha.zip,se25yr03ha,se,25,03h,3,expected,pds,True,1.0828590393066406
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se25yr06ha.zip,se25yr06ha.zip,se25yr06ha,se,25,06h,6,expected,pds,True,1.180882453918457
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se25yr24ha.zip,se25yr24ha.zip,se25yr24ha,se,25,24h,24,expected,pds,True,1.3811206817626953
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se25yr60ma.zip,se25yr60ma.zip,se25yr60ma,se,25,60m,1,expected,pds,True,0.8320722579956055
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se2yr03da.zip,se2yr03da.zip,se2yr03da,se,2,03d,72,expected,pds,True,1.0731935501098633
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se2yr03ha.zip,se2yr03ha.zip,se2yr03ha,se,2,03h,3,expected,pds,True,0.7656984329223633
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se2yr06ha.zip,se2yr06ha.zip,se2yr06ha,se,2,06h,6,expected,pds,True,0.84014892578125
D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se2yr24ha.zip,se2yr24ha.zip,se2yr24ha,se,2,24h,24,expected,pds,True,0.9736471176147461
