source_raster,equal_area_raster,duration_hours,ari_years,target_crs,target_resolution_m
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se1yr60ma\se1yr60ma.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se1yr60ma_epsg5070_1km.tif,1,1,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se2yr60ma\se2yr60ma.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se2yr60ma_epsg5070_1km.tif,1,2,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se5yr60ma\se5yr60ma.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se5yr60ma_epsg5070_1km.tif,1,5,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se10yr60ma\se10yr60ma.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se10yr60ma_epsg5070_1km.tif,1,10,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se25yr60ma\se25yr60ma.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se25yr60ma_epsg5070_1km.tif,1,25,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se50yr60ma\se50yr60ma.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se50yr60ma_epsg5070_1km.tif,1,50,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se100yr60ma\se100yr60ma.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se100yr60ma_epsg5070_1km.tif,1,100,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se200yr60ma\se200yr60ma.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se200yr60ma_epsg5070_1km.tif,1,200,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se500yr60ma\se500yr60ma.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se500yr60ma_epsg5070_1km.tif,1,500,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se1000yr60ma\se1000yr60ma.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se1000yr60ma_epsg5070_1km.tif,1,1000,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se1yr03ha\se1yr03ha.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se1yr03ha_epsg5070_1km.tif,3,1,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se2yr03ha\se2yr03ha.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se2yr03ha_epsg5070_1km.tif,3,2,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se5yr03ha\se5yr03ha.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se5yr03ha_epsg5070_1km.tif,3,5,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se10yr03ha\se10yr03ha.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se10yr03ha_epsg5070_1km.tif,3,10,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se25yr03ha\se25yr03ha.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se25yr03ha_epsg5070_1km.tif,3,25,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se50yr03ha\se50yr03ha.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se50yr03ha_epsg5070_1km.tif,3,50,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se100yr03ha\se100yr03ha.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se100yr03ha_epsg5070_1km.tif,3,100,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se200yr03ha\se200yr03ha.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se200yr03ha_epsg5070_1km.tif,3,200,EPSG:5070,1000.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se500yr03ha\se500yr03ha.asc,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02b_atlas_reprojected\se500yr03ha_epsg5070_1km.tif,3,500,EPSG:5070,1000.0
