duration_hours,ari_years,filename,url,local_path
1,1,se1yr60ma.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se1yr60ma.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se1yr60ma.zip
1,2,se2yr60ma.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se2yr60ma.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se2yr60ma.zip
1,5,se5yr60ma.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se5yr60ma.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se5yr60ma.zip
1,10,se10yr60ma.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se10yr60ma.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se10yr60ma.zip
1,25,se25yr60ma.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se25yr60ma.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se25yr60ma.zip
1,50,se50yr60ma.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se50yr60ma.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se50yr60ma.zip
1,100,se100yr60ma.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se100yr60ma.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se100yr60ma.zip
1,200,se200yr60ma.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se200yr60ma.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se200yr60ma.zip
1,500,se500yr60ma.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se500yr60ma.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se500yr60ma.zip
1,1000,se1000yr60ma.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se1000yr60ma.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se1000yr60ma.zip
3,1,se1yr03ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se1yr03ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se1yr03ha.zip
3,2,se2yr03ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se2yr03ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se2yr03ha.zip
3,5,se5yr03ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se5yr03ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se5yr03ha.zip
3,10,se10yr03ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se10yr03ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se10yr03ha.zip
3,25,se25yr03ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se25yr03ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se25yr03ha.zip
3,50,se50yr03ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se50yr03ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se50yr03ha.zip
3,100,se100yr03ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se100yr03ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se100yr03ha.zip
3,200,se200yr03ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se200yr03ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se200yr03ha.zip
3,500,se500yr03ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se500yr03ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se500yr03ha.zip
3,1000,se1000yr03ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se1000yr03ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se1000yr03ha.zip
6,1,se1yr06ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se1yr06ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se1yr06ha.zip
6,2,se2yr06ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se2yr06ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se2yr06ha.zip
6,5,se5yr06ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se5yr06ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se5yr06ha.zip
6,10,se10yr06ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se10yr06ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se10yr06ha.zip
6,25,se25yr06ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se25yr06ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se25yr06ha.zip
6,50,se50yr06ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se50yr06ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se50yr06ha.zip
6,100,se100yr06ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se100yr06ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se100yr06ha.zip
6,200,se200yr06ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se200yr06ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se200yr06ha.zip
6,500,se500yr06ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se500yr06ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se500yr06ha.zip
6,1000,se1000yr06ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se1000yr06ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se1000yr06ha.zip
24,1,se1yr24ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se1yr24ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se1yr24ha.zip
24,2,se2yr24ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se2yr24ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se2yr24ha.zip
24,5,se5yr24ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se5yr24ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se5yr24ha.zip
24,10,se10yr24ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se10yr24ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se10yr24ha.zip
24,25,se25yr24ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se25yr24ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se25yr24ha.zip
24,50,se50yr24ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se50yr24ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se50yr24ha.zip
24,100,se100yr24ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se100yr24ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se100yr24ha.zip
24,200,se200yr24ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se200yr24ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se200yr24ha.zip
24,500,se500yr24ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se500yr24ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se500yr24ha.zip
24,1000,se1000yr24ha.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se1000yr24ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se1000yr24ha.zip
72,1,se1yr03da.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se1yr03da.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se1yr03da.zip
72,2,se2yr03da.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se2yr03da.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se2yr03da.zip
72,5,se5yr03da.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se5yr03da.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se5yr03da.zip
72,10,se10yr03da.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se10yr03da.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se10yr03da.zip
72,25,se25yr03da.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se25yr03da.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se25yr03da.zip
72,50,se50yr03da.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se50yr03da.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se50yr03da.zip
72,100,se100yr03da.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se100yr03da.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se100yr03da.zip
72,200,se200yr03da.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se200yr03da.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se200yr03da.zip
72,500,se500yr03da.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se500yr03da.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se500yr03da.zip
72,1000,se1000yr03da.zip,https://hdsc.nws.noaa.gov/pub/hdsc/data/se/se1000yr03da.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se1000yr03da.zip
