archive_name,archive_path,region,ari_years,duration_hours,duration_token,statistic,series,raster_path
se1yr60ma.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se1yr60ma.zip,se,1,1,60m,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se1yr60ma\se1yr60ma.asc
se2yr60ma.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se2yr60ma.zip,se,2,1,60m,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se2yr60ma\se2yr60ma.asc
se5yr60ma.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se5yr60ma.zip,se,5,1,60m,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se5yr60ma\se5yr60ma.asc
se10yr60ma.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se10yr60ma.zip,se,10,1,60m,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se10yr60ma\se10yr60ma.asc
se25yr60ma.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se25yr60ma.zip,se,25,1,60m,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se25yr60ma\se25yr60ma.asc
se50yr60ma.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se50yr60ma.zip,se,50,1,60m,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se50yr60ma\se50yr60ma.asc
se100yr60ma.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se100yr60ma.zip,se,100,1,60m,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se100yr60ma\se100yr60ma.asc
se200yr60ma.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se200yr60ma.zip,se,200,1,60m,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se200yr60ma\se200yr60ma.asc
se500yr60ma.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se500yr60ma.zip,se,500,1,60m,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se500yr60ma\se500yr60ma.asc
se1000yr60ma.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se1000yr60ma.zip,se,1000,1,60m,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se1000yr60ma\se1000yr60ma.asc
se1yr03ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se1yr03ha.zip,se,1,3,03h,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se1yr03ha\se1yr03ha.asc
se2yr03ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se2yr03ha.zip,se,2,3,03h,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se2yr03ha\se2yr03ha.asc
se5yr03ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se5yr03ha.zip,se,5,3,03h,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se5yr03ha\se5yr03ha.asc
se10yr03ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se10yr03ha.zip,se,10,3,03h,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se10yr03ha\se10yr03ha.asc
se25yr03ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se25yr03ha.zip,se,25,3,03h,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se25yr03ha\se25yr03ha.asc
se50yr03ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se50yr03ha.zip,se,50,3,03h,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se50yr03ha\se50yr03ha.asc
se100yr03ha.zip,D:\projstore\Ismail\Dr Koriche\Intense Rainfall and Flash Flooding\Data\ATLAS 14\NOAA_Atlas14_Alabama_PDS\se100yr03ha.zip,se,100,3,03h,expected,pds,D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se100yr03ha\se100yr03ha.asc
