raster_path,source_units_interpreted,value_to_mm_factor,sample_median_raw
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se1000yr03da\se1000yr03da.asc,thousandths of an inch,0.0254,17551.5
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se1000yr03ha\se1000yr03ha.asc,thousandths of an inch,0.0254,7579.5
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se1000yr06ha\se1000yr06ha.asc,thousandths of an inch,0.0254,9630.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se1000yr24ha\se1000yr24ha.asc,thousandths of an inch,0.0254,14316.5
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se1000yr60ma\se1000yr60ma.asc,thousandths of an inch,0.0254,5108.5
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se100yr03da\se100yr03da.asc,thousandths of an inch,0.0254,12167.5
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se100yr03ha\se100yr03ha.asc,thousandths of an inch,0.0254,5447.5
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se100yr06ha\se100yr06ha.asc,thousandths of an inch,0.0254,6755.5
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se100yr24ha\se100yr24ha.asc,thousandths of an inch,0.0254,9767.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se100yr60ma\se100yr60ma.asc,thousandths of an inch,0.0254,3797.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se10yr03da\se10yr03da.asc,thousandths of an inch,0.0254,7806.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se10yr03ha\se10yr03ha.asc,thousandths of an inch,0.0254,3608.0
D:\projstore\Ismail\CRIMSON_AORC_3METHOD\13_atlas14_event_catalog\02_atlas_extracted\se10yr06ha\se10yr06ha.asc,thousandths of an inch,0.0254,4372.0
