huc12,atlas14_001h_0001yr_mm,atlas14_001h_0002yr_mm,atlas14_001h_0005yr_mm,atlas14_001h_0010yr_mm,atlas14_001h_0025yr_mm,atlas14_001h_0050yr_mm,atlas14_001h_0100yr_mm,atlas14_001h_0200yr_mm,atlas14_001h_0500yr_mm,atlas14_001h_1000yr_mm,atlas14_003h_0001yr_mm,atlas14_003h_0002yr_mm,atlas14_003h_0005yr_mm,atlas14_003h_0010yr_mm,atlas14_003h_0025yr_mm,atlas14_003h_0050yr_mm,atlas14_003h_0100yr_mm,atlas14_003h_0200yr_mm,atlas14_003h_0500yr_mm,atlas14_003h_1000yr_mm,atlas14_006h_0001yr_mm,atlas14_006h_0002yr_mm,atlas14_006h_0005yr_mm,atlas14_006h_0010yr_mm,atlas14_006h_0025yr_mm,atlas14_006h_0050yr_mm,atlas14_006h_0100yr_mm,atlas14_006h_0200yr_mm,atlas14_006h_0500yr_mm,atlas14_006h_1000yr_mm,atlas14_024h_0001yr_mm,atlas14_024h_0002yr_mm,atlas14_024h_0005yr_mm,atlas14_024h_0010yr_mm,atlas14_024h_0025yr_mm,atlas14_024h_0050yr_mm,atlas14_024h_0100yr_mm,atlas14_024h_0200yr_mm,atlas14_024h_0500yr_mm,atlas14_024h_1000yr_mm,atlas14_072h_0001yr_mm,atlas14_072h_0002yr_mm,atlas14_072h_0005yr_mm,atlas14_072h_0010yr_mm,atlas14_072h_0025yr_mm,atlas14_072h_0050yr_mm,atlas14_072h_0100yr_mm,atlas14_072h_0200yr_mm,atlas14_072h_0500yr_mm,atlas14_072h_1000yr_mm
031300020601,35.14999192277079,40.11913769846866,48.7832982300422,56.47997111806187,67.82977391855975,77.17730177108238,87.04212325173697,97.58155739249672,112.33516755101371,124.11971814238572,48.96285947945113,55.625847688793364,67.54701297731516,78.40428192575465,94.77885721408359,108.53683588759392,123.27772050670318,139.2411828689314,161.90199771803628,180.22343021167927,60.25526477493083,68.06253265641534,82.03893697335742,94.77576150090904,114.00350182218085,130.1671355162017,147.49538433433062,166.26743935509097,192.92804399476483,214.4891217839218,88.78973560979595,100.79620136968491,120.88673079871295,137.98545288976877,162.1637979903257,181.30894298083456,200.89421463221979,221.21632109398485,248.7763152572281,270.1541471496921,113.18937734439251,128.29559721679777,153.41496448429794,174.65360204377802,204.47917674520664,227.93676105844077,251.80178317724352,276.4292408743491,309.62671570513237,335.2273032408335
031300020602,35.295967342641916,40.28899423229052,48.95219012091409,56.60982152366657,67.8452407910204,77.05942575821288,86.75168238326623,97.07513950375127,111.48156303753916,122.95216480663849,49.1733684847636,55.86875137650014,67.76307788813962,78.52546291397736,94.65789519112185,108.14085210929997,122.53343464703153,138.06806771116723,160.04102280762862,177.75018452776771,60.497135793263595,68.39948667621753,82.42292502316502,95.10216186994053,114.09755358412745,129.9636466161823,146.8913610271769,165.15682941114324,190.9800745653541,211.78601621532,89.16302634779314,101.3850234453687,121.7284437807169,138.94914366341817,163.15379268853627,182.21014020577877,201.6130853651373,221.65210832056823,248.6941179186929,269.5622406828649,113.71526850767495,128.79805490861838,153.8774601174993,175.07457333314574,204.83608271635836,228.2383311362121,252.03670606757512,276.59195839558475,309.6849032449759,335.1989689500875
031300020603,35.33250829897146,40.33006247750772,48.97049531597433,56.583640759401284,67.72548721605033,76.8365273548608,86.40111036684911,96.56813122328595,110.72705113349315,121.98074956656778,49.21983474796899,55.91183457203859,67.74958749821877,78.41937802341141,94.35427843937858,107.63338745743067,121.77513012874539,137.0031205623995,158.49858426835874,175.79032894920792,60.50410708858138,68.46357682768353,82.51385063118481,95.14708675001481,113.97743263112586,129.63738860163616,146.2843375299435,164.19398462061827,189.43964229510343,209.7227523038565,89.15027122940324,101.5145455627042,122.03479653506591,139.34871817382478,163.60472404660774,182.6426310644861,201.96954862489957,221.88003880894183,248.66336073296628,269.2753873502707,113.76921706385484,128.70078965551932,153.57855915128948,174.65581692072976,204.31158087351017,227.6835731425952,251.50127632714026,276.118240484913,309.36552050850264,335.04752551455385
031300020802,35.639765999234555,40.70025575049603,49.3743473860855,56.94737388486504,67.93183704147708,76.8431184350119,86.1378350774315,95.96151692827874,109.55838876767628,120.30626222343368,49.736283825558715,56.48738854517302,68.30801201538003,78.85279411341347,94.46157373292641,107.35880284192031,121.00715364013482,135.62460809634138,156.13755906642442,172.55405769059647,61.120648571066,69.19249669820715,83.28909151925933,95.82553186591078,114.3324259022609,129.58930641363574,145.70515746097752,162.93584788873824,187.07331415342705,206.36166877951666,89.96953486725825,102.60044760385892,123.43990819247759,140.9056624043387,165.20802842336784,184.15325692146223,203.27654797940167,222.8628109505266,249.04035488607585,269.0602394001697,114.82050344479231,129.97706217487607,155.15151699408668,176.41135784853455,206.22905365754164,229.65455922292904,253.45722608859245,277.9962736499432,311.0379052726972,336.4883545685972
031300020803,35.55971063200225,40.582673046214886,49.1928218866289,56.714452681084694,67.62889082283866,76.48597990006971,85.72861844273149,95.50167967687045,109.02663503285694,119.72148096293247,49.55010658528603,56.23526392944058,67.94865621086824,78.39900733530634,93.8714962305818,106.66028148131227,120.19966750412449,134.70167685278534,155.0538557496301,171.34688138992115,60.81981608389176,68.87988093350765,82.93559379596653,95.4180245064679,113.82548308994221,128.98169001073248,144.97603429041214,162.06553274344955,185.98528720664433,205.08517738318176,89.61240028860328,102.28061367165064,123.16812723794308,140.66202237393597,164.988500240665,183.9367920462393,203.05171532067894,222.61755564843668,248.75135150676667,268.7221631996889,114.46489714747946,129.38056433816965,154.23468003804055,175.29375522147203,204.92775751668253,228.28920128640604,252.0956308743029,276.7034317309275,309.9436505469779,335.62414351338833
031300020804,36.01402736167812,41.122803935111044,49.775478203245584,57.23419155373485,67.9185227642934,76.485412937424,85.33611214164003,94.6113868749551,107.32683119650196,117.28809804381213,50.364129511446244,57.14149178517591,68.8413616414714,79.12758277657515,94.14671659195405,106.40792805643986,119.25926045611247,132.90488485890987,151.87749666984678,166.94004242065174,61.73240801369846,69.9728178655713,84.12804366524168,96.51138134457526,114.51163715238718,129.1408646293294,144.4240920293443,160.6019478694955,183.0229939944669,200.7670376990529,90.44883262835441,103.50956726928622,124.89348877757789,142.66682270760964,167.17457169663544,186.1052122155362,205.06464019243955,224.33272194155668,249.8517206831208,269.1963026732704,115.53916986332653,130.8119507808815,156.17922976906206,177.5919003312466,207.60990477900518,231.18219449727528,255.1262378166242,279.80527849043295,313.02149325550613,338.59533217170906
031300020805,36.303113213203346,41.46572183969156,50.1068573968485,57.468940750332926,67.87981748293842,76.1308446079053,84.57343992549514,93.33787647801361,105.22914573413327,114.45758348904288,50.77604290581572,57.56726628426884,69.14973395366603,79.21353474280062,93.73878197748077,105.46848704626846,117.65915291459594,130.50240816833465,148.2119403375853,162.16208049683775,62.049553489574556,70.41577191335813,84.61347519926643,96.88487612399116,114.50125186519499,128.65793282706093,143.31182978439264,158.6915244750208,179.81457648016178,196.3893655364209,90.49521624360376,103.94887221877929,125.8621906408275,143.964889492515,168.7663687969846,187.79525386579593,206.74249375734718,225.88618705675657,251.06649205177382,270.0190706598585,115.68646472887032,131.12245806848185,156.75654012530367,178.39054064418866,208.71941302406296,232.53318442269904,256.7207938306843,281.6453893336348,315.1920968582631,341.0201758229623
031300020806,35.863310920447724,40.98898490081476,49.641871392710115,57.07831248099552,67.6936860626127,76.1759449983412,84.91804180812895,94.05703572562958,106.5494770977545,116.31096167036816,49.964936146330174,56.73589316128764,68.39802777588494,78.63046707321308,93.54245741703214,105.6911122343824,118.40698847826188,131.88982133989717,150.6078407408719,165.45065773622497,61.1590700575849,69.43558879235674,83.62102109153753,96.00364453760767,113.96041004488146,128.5239174489699,143.7100180689094,159.76125256970326,181.97056663449456,199.51992131101304,89.888546484319,103.00706445500342,124.48242801066725,142.3252221149923,166.9233482982157,185.91730716204066,204.9340229728055,224.2552540315927,249.83885689284742,269.2241319128822,114.92583550729995,129.95810790007897,155.01171953702473,176.23929697933653,206.1172864153277,229.6723533667124,253.67809131004728,278.4956637903293,312.0210123186384,337.9248634158005
031300020808,36.12248455184976,41.41817663129774,50.19047517520235,57.578765397456635,67.90984817742316,76.0047944738897,84.2084066594431,92.64836305464343,103.98041542928462,112.68666142934552,50.345179129444865,57.2689435342236,68.97092234280946,79.03916116388173,93.4319463195294,104.94934318749539,116.83558067288894,129.26812332048837,146.28547784922185,159.59651691070567,61.46666617477961,69.99782950338422,84.37796975151791,96.71543024027363,114.29400277624346,128.3244709099735,142.76172444171794,157.83584967762337,178.4150270318601,194.47617170516457,89.88112712540934,103.42193647954488,125.49457834207936,143.7404339881404,168.76346496815503,187.9783694316443,207.12608058022428,226.48736635378015,251.97755334148215,271.18545805679275,114.99283501732468,130.15406407046103,155.47562844021567,176.98107346852103,207.32096578958715,231.29626752723973,255.7775363093498,281.13680883144167,315.4650679999019,342.0409142113304
031300020901,36.68687844341149,41.894031227693134,50.52188543138412,57.78695925795546,67.94691842945429,75.90820323103424,83.97476665233765,92.27367181012198,103.41810656417962,111.9810965285834,51.511190419529115,58.29948506561684,69.76191682215187,79.61254991583647,93.67965128460862,104.92110578374846,116.51214885987464,128.62719362415118,145.19212388022157,158.14048631513472,62.81571029377433,71.24431132661252,85.42180778257476,97.55053874002637,114.79735025763672,128.52794086079987,142.63534860254012,157.33304810997973,177.36257178924524,192.9647377242849,90.8318443310881,104.55014280856516,126.85265853406257,145.2349037100309,170.3600349903365,189.5890459994226,208.69459982175246,227.95125949477026,253.21545793470582,272.1829636714756,116.24138721919843,131.97665746668466,158.1123187995397,180.17839898591114,211.1166479342657,235.4185495916023,260.10718559778354,285.5550321730803,319.81254228877714,346.1951503793406
