column,pandas_dtype,non_null_count
BEGIN_YEARMONTH,Int64,39045
BEGIN_DAY,Int64,39045
BEGIN_TIME,Int64,39045
END_YEARMONTH,Int64,39045
END_DAY,Int64,39045
END_TIME,Int64,39045
EPISODE_ID,string,34537
EVENT_ID,string,39045
STATE,string,39045
STATE_FIPS,string,39045
YEAR,Int64,39045
MONTH_NAME,string,39045
EVENT_TYPE,string,39045
CZ_TYPE,string,39045
CZ_FIPS,string,39045
CZ_NAME,string,39045
WFO,string,37671
BEGIN_DATE_TIME,string,39045
CZ_TIMEZONE,string,39045
END_DATE_TIME,string,39045
INJURIES_DIRECT,Int64,39045
INJURIES_INDIRECT,Int64,39045
DEATHS_DIRECT,Int64,39045
DEATHS_INDIRECT,Int64,39045
DAMAGE_PROPERTY,string,33245
DAMAGE_CROPS,string,31007
SOURCE,string,32235
MAGNITUDE,Float64,26125
MAGNITUDE_TYPE,string,14359
FLOOD_CAUSE,string,2190
CATEGORY,string,7
TOR_F_SCALE,string,2362
TOR_LENGTH,Float64,6442
TOR_WIDTH,Float64,6442
BEGIN_RANGE,Float64,20647
BEGIN_AZIMUTH,string,20948
BEGIN_LOCATION,string,28049
END_RANGE,Float64,20766
END_AZIMUTH,string,20771
END_LOCATION,string,27287
BEGIN_LAT,Float64,29460
BEGIN_LON,Float64,29460
END_LAT,Float64,26078
END_LON,Float64,26078
EPISODE_NARRATIVE,string,27416
EVENT_NARRATIVE,string,29573
source_archive,object,39045
damage_property_usd,Float64,33245
damage_crops_usd,Float64,31007
begin_time_utc_approx,"datetime64[ns, UTC]",39045
end_time_utc_approx,"datetime64[ns, UTC]",39045
