monitoring_location_id,site_no,site_name,site_type_code,huc12,hydrologic_unit_code,drainage_area_sqmi,contributing_drainage_area_sqmi,water_year,peak_time,peak_cfs,peak_cfs_per_sqmi,unit_of_measure,qualifier,qualifier_text,has_qualifier,peak_since,duplicate_count,descending_rank,empirical_aep,empirical_return_period_years,empirical_flood_class,lp3_return_period_years,lp3_flood_class,primary_screening_return_period_years,primary_flood_class
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1961.0,1961-03-04 00:00:00+00:00,251000.0,13.628712602486832,ft3/s,,,False,,1.0,4,0.0625,16.0,10–25-year,33.26866645056688,25–50-year,33.26866645056688,25–50-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1962.0,1961-12-29 00:00:00+00:00,197000.0,10.696638974860184,ft3/s,,,False,,1.0,9,0.140625,7.111111111111111,5–10-year,5.672976188879765,5–10-year,5.672976188879765,5–10-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1963.0,1963-03-10 00:00:00+00:00,66800.0,3.627083672693707,ft3/s,,,False,,1.0,60,0.9375,1.0666666666666667,<2-year,1.0270849789888938,<2-year,1.0270849789888938,<2-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1964.0,1964-04-16 00:00:00+00:00,151000.0,8.198946625400445,ft3/s,,,False,,1.0,27,0.421875,2.3703703703703702,2–5-year,2.1209105443937872,2–5-year,2.1209105443937872,2–5-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1965.0,1965-02-22 00:00:00+00:00,131000.0,7.112993429983168,ft3/s,,,False,,1.0,44,0.6875,1.4545454545454546,<2-year,1.5856396348559922,<2-year,1.5856396348559922,<2-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1966.0,1966-02-22 00:00:00+00:00,137000.0,7.438779388608351,ft3/s,,,False,,1.0,41,0.640625,1.5609756097560976,<2-year,1.715668250001637,<2-year,1.715668250001637,<2-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1967.0,1967-02-24 00:00:00+00:00,60500.0,3.2850084161372646,ft3/s,,,False,,1.0,62,0.96875,1.032258064516129,<2-year,1.0163918994373373,<2-year,1.0163918994373373,<2-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1968.0,1968-01-02 00:00:00+00:00,126000.0,6.841505131128848,ft3/s,,,False,,1.0,49,0.765625,1.3061224489795917,<2-year,1.4929451606559796,<2-year,1.4929451606559796,<2-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1969.0,1969-04-24 00:00:00+00:00,127000.0,6.895802790899713,ft3/s,,,False,,1.0,48,0.75,1.3333333333333333,<2-year,1.5104466068703435,<2-year,1.5104466068703435,<2-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1970.0,1970-04-02 00:00:00+00:00,119000.0,6.461421512732802,ft3/s,,,False,,1.0,52,0.8125,1.2307692307692308,<2-year,1.3834922260396574,<2-year,1.3834922260396574,<2-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1971.0,1971-03-07 00:00:00+00:00,153000.0,8.307541944942173,ft3/s,,,False,,1.0,24,0.375,2.6666666666666665,2–5-year,2.193265624863341,2–5-year,2.193265624863341,2–5-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1972.0,1972-01-18 00:00:00+00:00,143000.0,7.7645653472335345,ft3/s,,,False,,1.0,36,0.5625,1.7777777777777777,<2-year,1.8697812402247267,<2-year,1.8697812402247267,<2-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1973.0,1973-04-01 00:00:00+00:00,189000.0,10.262257696693272,ft3/s,,,False,,1.0,11,0.171875,5.818181818181818,5–10-year,4.627573245018875,2–5-year,4.627573245018875,2–5-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1974.0,1974-01-07 00:00:00+00:00,128000.0,6.950100450670576,ft3/s,,,False,,1.0,47,0.734375,1.3617021276595744,<2-year,1.5284526781658068,<2-year,1.5284526781658068,<2-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1975.0,1975-03-28 00:00:00+00:00,164000.0,8.904816202421676,ft3/s,,,False,,1.0,18,0.28125,3.5555555555555554,2–5-year,2.676820434582163,2–5-year,2.676820434582163,2–5-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1976.0,1976-04-02 00:00:00+00:00,170000.0,9.230602161046859,ft3/s,,,False,,1.0,15,0.234375,4.266666666666667,2–5-year,3.015944721388974,2–5-year,3.015944721388974,2–5-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1977.0,1977-04-15 00:00:00+00:00,160000.0,8.68762556333822,ft3/s,,,False,,1.0,20,0.3125,3.2,2–5-year,2.4825391291130576,2–5-year,2.4825391291130576,2–5-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1978.0,1978-01-30 00:00:00+00:00,93600.0,5.082260954552859,ft3/s,1,1,True,,1.0,56,0.875,1.1428571428571428,<2-year,1.133074230426762,<2-year,1.133074230426762,<2-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1979.0,1979-04-22 00:00:00+00:00,290000.0,15.746321333550524,ft3/s,,,False,1874,1.0,1,0.015625,64.0,50–100-year,197.17512469516552,100–200-year,197.17512469516552,100–200-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1980.0,1980-03-30 00:00:00+00:00,250000.0,13.574414942715968,ft3/s,1,1,True,,1.0,5,0.078125,12.8,10–25-year,31.97901179906444,25–50-year,31.97901179906444,25–50-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1981.0,1981-04-07 00:00:00+00:00,128000.0,6.950100450670576,ft3/s,1,1,True,,1.0,46,0.71875,1.391304347826087,<2-year,1.5284526781658068,<2-year,1.5284526781658068,<2-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1982.0,1982-04-28 00:00:00+00:00,147000.0,7.98175598631699,ft3/s,,,False,,1.0,33,0.515625,1.9393939393939394,<2-year,1.988153268161973,<2-year,1.988153268161973,<2-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1983.0,1983-05-30 00:00:00+00:00,208000.0,11.293913232339687,ft3/s,1,1,True,,1.0,8,0.125,8.0,5–10-year,7.6840609239435205,5–10-year,7.6840609239435205,5–10-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1984.0,1983-12-14 00:00:00+00:00,192000.0,10.425150676005865,ft3/s,1,1,True,,1.0,10,0.15625,6.4,5–10-year,4.9866263691083486,2–5-year,4.9866263691083486,2–5-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1985.0,1985-02-09 00:00:00+00:00,120000.0,6.515719172503665,ft3/s,1,1,True,,1.0,51,0.796875,1.2549019607843137,<2-year,1.3978130183003952,<2-year,1.3978130183003952,<2-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1986.0,1985-12-14 00:00:00+00:00,56500.0,3.067817777053809,ft3/s,1,1,True,,1.0,63,0.984375,1.0158730158730158,<2-year,1.0114742998022683,<2-year,1.0114742998022683,<2-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1987.0,1987-03-07 00:00:00+00:00,167000.0,9.067709181734267,ft3/s,1,1,True,,1.0,17,0.265625,3.764705882352941,2–5-year,2.838650484833739,2–5-year,2.838650484833739,2–5-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1988.0,1988-01-21 00:00:00+00:00,63500.0,3.4479013954498563,ft3/s,1,1,True,,1.0,61,0.953125,1.0491803278688525,<2-year,1.0209943134254085,<2-year,1.0209943134254085,<2-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1989.0,1989-03-11 00:00:00+00:00,148000.0,8.036053646087854,ft3/s,1,1,True,,1.0,32,0.5,2.0,2–5-year,2.0199245465147713,2–5-year,2.0199245465147713,2–5-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1990.0,1990-02-23 00:00:00+00:00,240000.0,13.03143834500733,ft3/s,1,1,True,,1.0,6,0.09375,10.666666666666666,10–25-year,21.86247210648179,10–25-year,21.86247210648179,10–25-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1991.0,1991-03-02 00:00:00+00:00,255000.0,13.845903241570289,ft3/s,,,False,,1.0,3,0.046875,21.333333333333332,10–25-year,39.07868046578969,25–50-year,39.07868046578969,25–50-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1992.0,1991-12-08 00:00:00+00:00,88200.0,4.789053591790194,ft3/s,1,1,True,,1.0,57,0.890625,1.1228070175438596,<2-year,1.1017085392644959,<2-year,1.1017085392644959,<2-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1993.0,1993-01-16 00:00:00+00:00,138000.0,7.493077048379215,ft3/s,1,1,True,,1.0,39,0.609375,1.641025641025641,<2-year,1.7395678743620955,<2-year,1.7395678743620955,<2-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1994.0,1994-04-04 00:00:00+00:00,150000.0,8.144648965629582,ft3/s,1,1,True,,1.0,30,0.46875,2.1333333333333333,2–5-year,2.086273599995386,2–5-year,2.086273599995386,2–5-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1995.0,1995-03-14 00:00:00+00:00,169000.0,9.176304501275995,ft3/s,1,1,True,,1.0,16,0.25,4.0,2–5-year,2.9550285169069155,2–5-year,2.9550285169069155,2–5-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1996.0,1996-02-05 00:00:00+00:00,135000.0,7.330184069066624,ft3/s,1,1,True,,1.0,43,0.671875,1.4883720930232558,<2-year,1.6698512373531655,<2-year,1.6698512373531655,<2-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1997.0,1997-03-09 00:00:00+00:00,106000.0,5.755551935711571,ft3/s,,,False,,1.0,55,0.859375,1.1636363636363636,<2-year,1.231073883885049,<2-year,1.231073883885049,<2-year
USGS-02469761,02469761,,ST,031602010909,03160203,18417.0,18417.0,1998.0,1998-01-14 00:00:00+00:00,140000.0,7.601672367920942,ft3/s,,,False,,1.0,37,0.578125,1.7297297297297298,<2-year,1.7894471716203035,<2-year,1.7894471716203035,<2-year
