huc12,distinct_major_flood_event_count
031300020601,1
031300020806,1
031300020903,1
031300020908,1
031300030304,1
031300030306,1
031300030505,4
031300030804,1
031300031204,3
031300040104,1
031300040304,1
031300040404,1
031401030103,2
031401030401,1
031401030403,2
031401040104,4
031401060302,2
031401060403,4
031401060506,2
031401070201,1
031402010208,1
031402010304,2
031402010404,1
031402010602,3
031402011101,3
031402011202,1
031402020504,5
031402020603,4
031402020701,1
031402030105,1
031403010204,2
031403010205,1
031403010401,5
031403010501,1
031403020404,1
031403020501,3
031403030101,1
031403030502,1
031403030604,3
031403040107,4
031403040305,3
031403040404,4
031403040506,2
031403050102,1
031403050206,3
031403050402,3
031501050605,3
031501050704,1
031501050806,6
031501050909,3
031501060101,1
031501060104,2
031501060304,1
031501060305,4
031501060409,1
031501060512,1
031501060514,4
031501060703,3
031501060808,1
031501060810,1
031501070104,1
031501070204,1
031501070205,1
031501070301,1
031501070503,1
031501070602,1
031501070708,3
031501070802,1
031501070803,1
031501070907,1
031501080405,2
031501080905,4
031501081003,1
031501090107,3
031501090309,2
031501090402,1
031501090403,1
031501090405,2
031501090504,1
031501100102,2
031501100202,3
031501100302,5
031501100406,1
031501100904,1
031501100905,1
031502010104,1
031502010107,1
031502010309,3
031502010601,1
031502011006,2
031502011207,1
031502020101,2
031502020103,4
031502020104,2
031502020202,2
031502020204,3
031502020206,2
031502020301,1
031502020303,3
031502020407,1
031502020503,2
031502020805,1
031502030301,1
031502030407,3
031502030603,2
031502030701,1
031502040105,1
031601030303,2
031601050203,6
031601050205,5
031601050403,1
031601060203,1
031601060305,1
031601060404,1
031601060502,3
031601060607,2
031601060609,1
031601060705,1
031601070302,1
031601081005,3
031601081101,3
031601090107,3
031601090203,1
031601090205,4
031601090309,1
031601090405,3
031601100103,1
031601100304,1
031601110204,1
031601110208,4
031601110305,1
031601110306,3
031601110307,2
031601110308,1
031601110401,1
031601110404,3
031601110406,3
031601110407,1
031601110408,7
031601110409,1
031601120101,1
031601120102,3
031601120104,3
031601120203,3
031601120408,2
031601120411,2
031601120412,1
031601120505,2
031601130201,2
031601130203,1
031601130302,5
031601130607,3
031602010108,2
031602010603,1
031602010801,1
031602010909,2
031602020405,4
031602030205,5
031602030602,2
031602040303,3
031602050104,5
031602050201,4
031602050203,4
031700080201,2
031700080403,5
031700080501,2
031700080502,4
031700080702,1
060300010304,3
060300010503,1
060300010703,3
060300020103,1
060300020203,3
060300020303,2
060300020403,1
060300020404,2
060300020502,6
060300020503,3
060300020505,3
060300020605,2
060300020903,2
060300020904,2
060300021007,3
060300040402,2
060300050105,1
060300050201,1
060300050508,4
060300050803,2
