catalog_event_id,site_no,site_name,huc12,drainage_area_sqmi,discharge_source,stage_source,event_peak_discharge_cfs,event_peak_discharge_time_utc,event_peak_stage_ft,event_peak_stage_time_utc,rainfall_peak_time_utc,rainfall_to_streamflow_lag_hours,event_lp3_screening_return_period_years,event_flood_screening_class,event_total_rainfall_mm_in_plot_window,rainfall_series_available
AL-RF-19790413-0003,02401390,,031501060305,141.0,legacy USGS daily mean,"legacy IV: ['time', 'value']",10700.0,1979-04-13 00:00:00+00:00,,,1979-04-13 16:00:00+00:00,-16.0,56.131040347252984,50–100-year,144.46273803710938,True
AL-RF-19790413-0003,02423630,,031502020303,72.3,legacy USGS daily mean,"legacy IV: ['time', 'value']",8510.0,1979-04-13 00:00:00+00:00,,,1979-04-13 16:00:00+00:00,-16.0,1000000.0,>500-year,173.24700927734375,True
AL-RF-19790413-0003,02466030,,031601130607,5810.0,legacy USGS daily mean,"legacy IV: ['time', 'value']",222000.0,1979-04-16 00:00:00+00:00,,,1979-04-13 16:00:00+00:00,56.0,644.4520644171224,>500-year,174.7735595703125,True
AL-RF-20030508-0150,0357479650,,060300020303,33.0,legacy USGS daily mean,"legacy IV: ['time', 'value']",1360.0,2003-05-06 00:00:00+00:00,,,2003-05-08 11:00:00+00:00,-59.0,1.2727343086415133,<2-year,193.57688903808594,True
AL-RF-20030508-0150,02458148,,031601110408,4.1,USGS OGC continuous,"legacy IV: ['time', 'value']",1110.0,2003-05-06 02:30:00+00:00,,,2003-05-08 11:00:00+00:00,-56.5,1.6893842444681582,<2-year,228.8304901123047,True
AL-RF-20030508-0150,02423398,,031502020103,19.4,legacy USGS daily mean,"legacy IV: ['time', 'value']",1700.0,2003-05-08 00:00:00+00:00,,,2003-05-08 11:00:00+00:00,-11.0,1.9155458308004083,<2-year,221.59228515625,True
AL-RF-20030508-0150,02423397,,031502020103,17.0,USGS OGC continuous,"legacy IV: ['time', 'value']",5300.0,2003-05-08 02:45:00+00:00,,,2003-05-08 11:00:00+00:00,-8.25,1000000.0,>500-year,221.59228515625,True
AL-RF-20090922-0243,02423397,,031502020103,17.0,USGS OGC continuous,USGS OGC continuous,3360.0,2009-09-18 07:15:00+00:00,12.94,2009-09-18 07:15:00+00:00,2009-09-22 01:00:00+00:00,-89.75,1000000.0,>500-year,232.55653381347656,True
AL-RF-20090922-0243,02465493,,031601130302,32.3,USGS OGC continuous,USGS OGC continuous,218.0,2009-09-21 04:45:00+00:00,5.34,2009-09-21 04:45:00+00:00,2009-09-22 01:00:00+00:00,-20.25,1.099085396629758,<2-year,250.28163146972656,True
AL-RF-20090922-0243,02423400,,031502020103,24.4,USGS OGC continuous,USGS OGC continuous,5050.0,2009-09-18 07:45:00+00:00,6.57,2009-09-18 07:45:00+00:00,2009-09-22 01:00:00+00:00,-89.25,25.324605005824303,25–50-year,232.55653381347656,True
