huc12,flood_report_count,flash_flood_report_count,property_damage_usd,crop_damage_usd,direct_deaths,direct_injuries
031300020804,2,2,50000.0,0.0,0,0
031300020805,1,1,0.0,0.0,0,0
031300020902,2,2,19000.0,0.0,0,0
031300020903,4,4,0.0,0.0,0,0
031300020907,2,2,0.0,0.0,0,0
031300020908,1,1,0.0,0.0,0,0
031300021104,1,1,0.0,0.0,0,0
031300021109,1,1,0.0,0.0,0,0
031300021301,2,2,0.0,0.0,0,0
031300021306,3,3,5000.0,0.0,0,0
031300030301,6,5,22000.0,0.0,0,0
031300030305,1,1,0.0,0.0,0,0
031300030403,1,1,0.0,0.0,0,0
031300030501,1,1,0.0,0.0,0,0
031300030504,1,1,0.0,0.0,0,0
031300030803,2,2,27000.0,0.0,0,0
031300030804,1,1,0.0,0.0,0,0
031300031002,2,1,0.0,0.0,0,0
031300031101,3,3,10000.0,0.0,0,0
031300031301,1,1,0.0,0.0,0,0
031300031307,1,1,25000.0,0.0,0,0
031300031311,1,0,301000.0,0.0,0,0
031300031312,1,1,5000.0,0.0,0,0
031300040206,1,1,0.0,0.0,0,0
031300040302,2,2,0.0,0.0,0,0
031300040303,4,4,0.0,0.0,0,0
031300040504,2,0,1709460.0,0.0,0,0
031300040601,7,6,0.0,0.0,0,0
031300040602,8,5,51000.0,0.0,0,0
031300040603,7,7,0.0,0.0,0,0
031300040606,4,3,1000.0,0.0,0,0
031300040607,1,1,0.0,0.0,0,0
031300040701,2,2,0.0,0.0,0,0
031300120101,13,13,0.0,0.0,0,0
031300120102,2,2,20000.0,0.0,0,0
031300120103,5,3,25000.0,0.0,0,0
031300120104,2,1,0.0,0.0,0,0
031300120106,2,1,0.0,0.0,0,0
031300120201,7,7,110000.0,0.0,0,0
031300120202,1,1,0.0,0.0,0,0
031300120203,2,1,0.0,0.0,0,0
031401030101,1,1,0.0,0.0,0,0
031401030102,2,1,3160000.0,0.0,0,0
031401030201,5,1,5000.0,0.0,0,0
031401030203,4,4,0.0,0.0,0,0
031401030301,1,1,0.0,0.0,0,0
031401030601,1,1,0.0,0.0,0,0
031401040103,1,1,0.0,0.0,0,0
031401060201,2,2,0.0,0.0,0,0
031401060202,1,1,0.0,0.0,0,0
031401060301,2,1,5000.0,0.0,0,0
031401060302,7,7,1505000.0,0.0,0,0
031401060503,1,1,0.0,0.0,0,0
031401060504,1,1,0.0,0.0,0,0
031401060505,2,2,125000.0,0.0,0,0
031401060506,1,1,0.0,0.0,0,0
031401060507,1,0,0.0,0.0,0,0
031401060601,2,1,0.0,0.0,0,0
031401060602,2,2,0.0,0.0,0,0
031401060603,1,1,0.0,0.0,0,0
031401070103,1,1,0.0,0.0,0,0
031401070104,5,3,250000.0,0.0,1,0
031401070201,6,3,0.0,0.0,0,0
031401070202,1,1,0.0,0.0,0,0
031401070203,3,3,0.0,0.0,0,0
031401070204,11,7,0.0,0.0,0,0
031401070205,3,3,0.0,0.0,0,0
031401070300,1,1,0.0,0.0,0,0
031402010103,1,1,0.0,0.0,0,0
031402010202,1,1,0.0,0.0,0,0
031402010203,1,0,50000.0,0.0,0,0
031402010205,2,2,0.0,0.0,0,0
031402010207,3,2,10000.0,0.0,0,0
031402010208,3,2,0.0,0.0,0,0
031402010304,2,2,10000.0,0.0,0,0
031402010405,1,1,0.0,0.0,0,0
031402010406,1,1,10000.0,0.0,0,0
031402010501,10,8,505000.0,0.0,0,0
031402010502,3,3,100000.0,0.0,0,0
031402010503,6,6,0.0,0.0,0,0
031402010504,12,11,1260000.0,0.0,0,0
031402010601,9,8,30000.0,0.0,0,0
031402010602,2,0,0.0,0.0,0,0
031402010604,1,0,0.0,0.0,0,0
031402010701,5,3,0.0,0.0,0,0
031402010702,1,1,0.0,0.0,0,0
031402010803,2,2,20000.0,0.0,0,0
031402010901,2,2,60000.0,0.0,0,0
031402010902,1,1,0.0,0.0,0,0
031402011001,9,6,0.0,0.0,0,0
031402011003,1,1,0.0,0.0,0,0
031402011004,4,4,50000.0,0.0,0,0
031402011101,4,3,65000.0,0.0,0,0
031402011102,2,2,0.0,0.0,0,0
031402011103,2,2,5000.0,0.0,0,0
031402011104,5,3,5000.0,0.0,0,0
031402011105,1,1,0.0,0.0,0,0
031402011106,5,4,150000.0,0.0,0,0
031402011201,2,2,0.0,0.0,0,0
031402011202,2,2,0.0,0.0,0,0
031402011203,1,0,0.0,0.0,0,0
031402020103,1,1,0.0,0.0,0,0
031402020201,1,1,10000.0,0.0,0,0
031402020206,1,1,0.0,0.0,0,0
031402020301,1,1,0.0,0.0,0,0
031402020401,1,1,0.0,0.0,0,0
031402020403,1,1,0.0,0.0,0,0
031402020404,1,1,0.0,0.0,0,0
031402020405,1,1,0.0,0.0,0,0
031402020406,1,1,0.0,0.0,0,0
031402020408,3,3,500000.0,0.0,0,0
031402020409,2,2,0.0,0.0,0,0
031402020502,3,1,1898000.0,0.0,2,0
031402020505,2,2,0.0,0.0,0,0
031402020506,1,0,0.0,0.0,0,0
031402020507,2,1,0.0,0.0,0,0
031402020601,3,2,135000.0,0.0,0,0
031402020602,5,1,23000.0,0.0,0,0
031402020603,1,1,0.0,0.0,0,0
031402020606,1,1,0.0,0.0,0,0
031402020607,7,6,0.0,0.0,0,0
031402020610,5,3,2400000.0,0.0,0,0
031402020702,3,1,451000.0,0.0,0,0
031402020803,1,0,0.0,0.0,0,0
031402020901,1,1,0.0,0.0,0,0
031402020905,1,0,0.0,0.0,0,0
031402020906,8,5,0.0,0.0,0,1
031402030101,2,1,0.0,0.0,0,0
031402030102,4,2,5000.0,0.0,0,0
031402030103,2,1,0.0,0.0,0,0
031402030105,4,4,50000.0,0.0,0,0
031402030201,1,1,5000.0,0.0,0,0
031403010101,1,1,0.0,0.0,0,0
031403010104,1,1,0.0,0.0,0,0
031403010202,1,1,0.0,0.0,0,0
031403010204,2,2,0.0,0.0,0,0
031403010205,1,1,0.0,0.0,0,0
