catalog_event_id,matched_flood_report_count,matched_flash_flood_count,matched_property_damage_usd,matched_crop_damage_usd,matched_direct_deaths,matched_direct_injuries
AL-RF-19790304-0001,0,0,0.0,0.0,0.0,0.0
AL-RF-19790404-0002,0,0,0.0,0.0,0.0,0.0
AL-RF-19790413-0003,0,0,0.0,0.0,0.0,0.0
AL-RF-19790427-0004,0,0,0.0,0.0,0.0,0.0
AL-RF-19790913-0005,0,0,0.0,0.0,0.0,0.0
AL-RF-19790928-0006,0,0,0.0,0.0,0.0,0.0
AL-RF-19800318-0007,0,0,0.0,0.0,0.0,0.0
AL-RF-19800328-0008,0,0,0.0,0.0,0.0,0.0
AL-RF-19800330-0009,0,0,0.0,0.0,0.0,0.0
AL-RF-19800414-0010,0,0,0.0,0.0,0.0,0.0
AL-RF-19800519-0011,0,0,0.0,0.0,0.0,0.0
AL-RF-19800520-0012,0,0,0.0,0.0,0.0,0.0
AL-RF-19800930-0013,0,0,0.0,0.0,0.0,0.0
AL-RF-19801028-0014,0,0,0.0,0.0,0.0,0.0
AL-RF-19810211-0015,0,0,0.0,0.0,0.0,0.0
AL-RF-19810401-0016,0,0,0.0,0.0,0.0,0.0
AL-RF-19820104-0017,0,0,0.0,0.0,0.0,0.0
AL-RF-19820202-0018,0,0,0.0,0.0,0.0,0.0
AL-RF-19820203-0019,0,0,0.0,0.0,0.0,0.0
AL-RF-19820425-0020,0,0,0.0,0.0,0.0,0.0
AL-RF-19821013-0021,0,0,0.0,0.0,0.0,0.0
AL-RF-19821201-0022,0,0,0.0,0.0,0.0,0.0
AL-RF-19821205-0023,0,0,0.0,0.0,0.0,0.0
AL-RF-19821227-0024,0,0,0.0,0.0,0.0,0.0
AL-RF-19830202-0025,0,0,0.0,0.0,0.0,0.0
AL-RF-19830306-0026,0,0,0.0,0.0,0.0,0.0
AL-RF-19830407-0027,0,0,0.0,0.0,0.0,0.0
AL-RF-19830414-0028,0,0,0.0,0.0,0.0,0.0
AL-RF-19830423-0029,0,0,0.0,0.0,0.0,0.0
AL-RF-19830516-0030,0,0,0.0,0.0,0.0,0.0
AL-RF-19830519-0031,0,0,0.0,0.0,0.0,0.0
AL-RF-19831128-0032,0,0,0.0,0.0,0.0,0.0
AL-RF-19831204-0033,0,0,0.0,0.0,0.0,0.0
AL-RF-19831228-0034,0,0,0.0,0.0,0.0,0.0
AL-RF-19840503-0035,0,0,0.0,0.0,0.0,0.0
AL-RF-19840802-0036,0,0,0.0,0.0,0.0,0.0
AL-RF-19841023-0037,0,0,0.0,0.0,0.0,0.0
AL-RF-19841127-0038,0,0,0.0,0.0,0.0,0.0
AL-RF-19850729-0039,0,0,0.0,0.0,0.0,0.0
AL-RF-19851030-0040,0,0,0.0,0.0,0.0,0.0
AL-RF-19860313-0041,0,0,0.0,0.0,0.0,0.0
AL-RF-19860314-0042,0,0,0.0,0.0,0.0,0.0
AL-RF-19861125-0043,0,0,0.0,0.0,0.0,0.0
AL-RF-19870119-0044,0,0,0.0,0.0,0.0,0.0
AL-RF-19870814-0045,0,0,0.0,0.0,0.0,0.0
AL-RF-19871117-0046,0,0,0.0,0.0,0.0,0.0
AL-RF-19880809-0047,0,0,0.0,0.0,0.0,0.0
AL-RF-19880905-0048,0,0,0.0,0.0,0.0,0.0
AL-RF-19880910-0049,0,0,0.0,0.0,0.0,0.0
AL-RF-19890114-0050,0,0,0.0,0.0,0.0,0.0
AL-RF-19890609-0051,0,0,0.0,0.0,0.0,0.0
AL-RF-19890616-0052,0,0,0.0,0.0,0.0,0.0
AL-RF-19890621-0053,0,0,0.0,0.0,0.0,0.0
AL-RF-19891001-0054,0,0,0.0,0.0,0.0,0.0
AL-RF-19891109-0055,0,0,0.0,0.0,0.0,0.0
AL-RF-19900216-0056,0,0,0.0,0.0,0.0,0.0
AL-RF-19900317-0057,0,0,0.0,0.0,0.0,0.0
AL-RF-19900513-0058,0,0,0.0,0.0,0.0,0.0
AL-RF-19901203-0059,0,0,0.0,0.0,0.0,0.0
AL-RF-19901223-0060,0,0,0.0,0.0,0.0,0.0
AL-RF-19910220-0061,0,0,0.0,0.0,0.0,0.0
AL-RF-19910303-0062,0,0,0.0,0.0,0.0,0.0
AL-RF-19910430-0063,0,0,0.0,0.0,0.0,0.0
AL-RF-19910513-0064,0,0,0.0,0.0,0.0,0.0
AL-RF-19910514-0065,0,0,0.0,0.0,0.0,0.0
AL-RF-19910527-0066,0,0,0.0,0.0,0.0,0.0
AL-RF-19910626-0067,0,0,0.0,0.0,0.0,0.0
AL-RF-19911121-0068,0,0,0.0,0.0,0.0,0.0
AL-RF-19911203-0069,0,0,0.0,0.0,0.0,0.0
AL-RF-19920310-0070,0,0,0.0,0.0,0.0,0.0
AL-RF-19920828-0071,0,0,0.0,0.0,0.0,0.0
AL-RF-19921104-0072,0,0,0.0,0.0,0.0,0.0
AL-RF-19921126-0073,0,0,0.0,0.0,0.0,0.0
AL-RF-19930121-0074,0,0,0.0,0.0,0.0,0.0
AL-RF-19930323-0075,0,0,0.0,0.0,0.0,0.0
AL-RF-19931030-0076,0,0,0.0,0.0,0.0,0.0
AL-RF-19940128-0077,0,0,0.0,0.0,0.0,0.0
AL-RF-19940211-0078,0,0,0.0,0.0,0.0,0.0
AL-RF-19940328-0079,0,0,0.0,0.0,0.0,0.0
AL-RF-19940629-0080,0,0,0.0,0.0,0.0,0.0
AL-RF-19940706-0081,0,0,0.0,0.0,0.0,0.0
AL-RF-19950212-0082,0,0,0.0,0.0,0.0,0.0
AL-RF-19950216-0083,0,0,0.0,0.0,0.0,0.0
AL-RF-19950308-0084,0,0,0.0,0.0,0.0,0.0
AL-RF-19950421-0085,0,0,0.0,0.0,0.0,0.0
AL-RF-19950423-0086,0,0,0.0,0.0,0.0,0.0
AL-RF-19950509-0087,0,0,0.0,0.0,0.0,0.0
AL-RF-19950804-0088,0,0,0.0,0.0,0.0,0.0
AL-RF-19951005-0089,0,0,0.0,0.0,0.0,0.0
AL-RF-19951103-0090,0,0,0.0,0.0,0.0,0.0
AL-RF-19951219-0091,0,0,0.0,0.0,0.0,0.0
AL-RF-19960127-0092,3,1,75000.0,0.0,0.0,0.0
AL-RF-19960306-0093,11,10,613000.0,40000.0,0.0,1.0
AL-RF-19960415-0094,2,2,500000.0,0.0,0.0,0.0
AL-RF-19960421-0095,0,0,0.0,0.0,0.0,0.0
AL-RF-19960528-0096,1,1,15000.0,0.0,0.0,0.0
AL-RF-19960708-0097,0,0,0.0,0.0,0.0,0.0
AL-RF-19960901-0098,5,5,77000.0,0.0,0.0,0.0
AL-RF-19970303-0099,0,0,0.0,0.0,0.0,0.0
AL-RF-19970503-0100,4,4,110000.0,12000.0,0.0,0.0
AL-RF-19970720-0101,6,6,545000.0,50000.0,0.0,0.0
AL-RF-19970925-0102,0,0,0.0,0.0,0.0,0.0
AL-RF-19971027-0103,0,0,0.0,0.0,0.0,0.0
