huc12,flood_report_count,report_count_class
031300020601,0,No geocoded report
031300020602,0,No geocoded report
031300020603,0,No geocoded report
031300020802,0,No geocoded report
031300020803,0,No geocoded report
031300020804,2,1–2 reports
031300020805,1,1–2 reports
031300020806,0,No geocoded report
031300020808,0,No geocoded report
031300020901,0,No geocoded report
031300020902,2,1–2 reports
031300020903,4,3–5 reports
031300020907,2,1–2 reports
031300020908,1,1–2 reports
031300021104,1,1–2 reports
031300021105,0,No geocoded report
031300021106,0,No geocoded report
031300021107,0,No geocoded report
031300021108,0,No geocoded report
031300021109,1,1–2 reports
031300021301,2,1–2 reports
031300021302,0,No geocoded report
031300021306,3,3–5 reports
031300030301,6,6–10 reports
031300030304,0,No geocoded report
031300030305,1,1–2 reports
031300030306,0,No geocoded report
031300030401,0,No geocoded report
031300030402,0,No geocoded report
031300030403,1,1–2 reports
031300030501,1,1–2 reports
031300030502,0,No geocoded report
031300030503,0,No geocoded report
031300030504,1,1–2 reports
031300030505,0,No geocoded report
031300030602,0,No geocoded report
031300030605,0,No geocoded report
031300030606,0,No geocoded report
031300030801,0,No geocoded report
031300030802,0,No geocoded report
031300030803,2,1–2 reports
031300030804,1,1–2 reports
031300030903,0,No geocoded report
031300030904,0,No geocoded report
031300030905,0,No geocoded report
031300031001,0,No geocoded report
031300031002,2,1–2 reports
031300031003,0,No geocoded report
031300031101,3,3–5 reports
031300031102,0,No geocoded report
031300031103,0,No geocoded report
031300031201,0,No geocoded report
031300031202,0,No geocoded report
031300031203,0,No geocoded report
031300031204,0,No geocoded report
031300031205,0,No geocoded report
031300031301,1,1–2 reports
031300031302,0,No geocoded report
031300031303,0,No geocoded report
031300031304,0,No geocoded report
031300031305,0,No geocoded report
031300031306,0,No geocoded report
031300031307,1,1–2 reports
031300031308,0,No geocoded report
031300031309,0,No geocoded report
031300031310,0,No geocoded report
031300031311,1,1–2 reports
031300031312,1,1–2 reports
031300031313,0,No geocoded report
031300031600,0,No geocoded report
031300040104,0,No geocoded report
031300040206,1,1–2 reports
031300040301,0,No geocoded report
031300040302,2,1–2 reports
031300040303,4,3–5 reports
031300040304,0,No geocoded report
031300040401,0,No geocoded report
031300040402,0,No geocoded report
031300040403,0,No geocoded report
031300040404,0,No geocoded report
031300040405,0,No geocoded report
031300040501,0,No geocoded report
031300040502,0,No geocoded report
031300040504,2,1–2 reports
031300040601,7,6–10 reports
031300040602,8,6–10 reports
031300040603,7,6–10 reports
031300040604,0,No geocoded report
031300040605,0,No geocoded report
031300040606,4,3–5 reports
031300040607,1,1–2 reports
031300040701,2,1–2 reports
031300040702,0,No geocoded report
031300040703,0,No geocoded report
031300040709,0,No geocoded report
031300040710,0,No geocoded report
031300040801,0,No geocoded report
031300120101,13,11–20 reports
031300120102,2,1–2 reports
031300120103,5,3–5 reports
031300120104,2,1–2 reports
031300120105,0,No geocoded report
031300120106,2,1–2 reports
031300120107,0,No geocoded report
031300120201,7,6–10 reports
031300120202,1,1–2 reports
031300120203,2,1–2 reports
031401030101,1,1–2 reports
031401030102,2,1–2 reports
031401030103,0,No geocoded report
031401030104,0,No geocoded report
031401030201,5,3–5 reports
031401030202,0,No geocoded report
031401030203,4,3–5 reports
031401030301,1,1–2 reports
031401030302,0,No geocoded report
031401030303,0,No geocoded report
031401030304,0,No geocoded report
031401030305,0,No geocoded report
031401030401,0,No geocoded report
031401030402,0,No geocoded report
031401030403,0,No geocoded report
031401030601,1,1–2 reports
031401030602,0,No geocoded report
031401040101,0,No geocoded report
031401040102,0,No geocoded report
031401040103,1,1–2 reports
031401040104,0,No geocoded report
031401040105,0,No geocoded report
031401040201,0,No geocoded report
031401040301,0,No geocoded report
031401040303,0,No geocoded report
031401040401,0,No geocoded report
031401040402,0,No geocoded report
031401040404,0,No geocoded report
031401060101,0,No geocoded report
031401060102,0,No geocoded report
031401060103,0,No geocoded report
031401060104,0,No geocoded report
031401060201,2,1–2 reports
031401060202,1,1–2 reports
031401060203,0,No geocoded report
031401060301,2,1–2 reports
031401060302,7,6–10 reports
031401060401,0,No geocoded report
031401060402,0,No geocoded report
031401060403,0,No geocoded report
031401060501,0,No geocoded report
031401060502,0,No geocoded report
031401060503,1,1–2 reports
031401060504,1,1–2 reports
031401060505,2,1–2 reports
031401060506,1,1–2 reports
031401060507,1,1–2 reports
031401060601,2,1–2 reports
031401060602,2,1–2 reports
031401060603,1,1–2 reports
031401060701,0,No geocoded report
031401060702,0,No geocoded report
031401060703,0,No geocoded report
031401070103,1,1–2 reports
031401070104,5,3–5 reports
031401070201,6,6–10 reports
031401070202,1,1–2 reports
031401070203,3,3–5 reports
031401070204,11,11–20 reports
031401070205,3,3–5 reports
031401070300,1,1–2 reports
031402010101,0,No geocoded report
031402010102,0,No geocoded report
031402010103,1,1–2 reports
031402010104,0,No geocoded report
031402010201,0,No geocoded report
031402010202,1,1–2 reports
031402010203,1,1–2 reports
031402010204,0,No geocoded report
031402010205,2,1–2 reports
031402010206,0,No geocoded report
031402010207,3,3–5 reports
031402010208,3,3–5 reports
031402010301,0,No geocoded report
031402010302,0,No geocoded report
031402010303,0,No geocoded report
031402010304,2,1–2 reports
031402010401,0,No geocoded report
031402010402,0,No geocoded report
031402010403,0,No geocoded report
031402010404,0,No geocoded report
031402010405,1,1–2 reports
031402010406,1,1–2 reports
031402010407,0,No geocoded report
031402010501,10,6–10 reports
031402010502,3,3–5 reports
031402010503,6,6–10 reports
031402010504,12,11–20 reports
031402010601,9,6–10 reports
031402010602,2,1–2 reports
031402010603,0,No geocoded report
031402010604,1,1–2 reports
031402010701,5,3–5 reports
031402010702,1,1–2 reports
031402010703,0,No geocoded report
031402010801,0,No geocoded report
031402010802,0,No geocoded report
031402010803,2,1–2 reports
031402010901,2,1–2 reports
031402010902,1,1–2 reports
031402010903,0,No geocoded report
031402010904,0,No geocoded report
031402011001,9,6–10 reports
031402011002,0,No geocoded report
031402011003,1,1–2 reports
031402011004,4,3–5 reports
031402011101,4,3–5 reports
031402011102,2,1–2 reports
031402011103,2,1–2 reports
031402011104,5,3–5 reports
031402011105,1,1–2 reports
031402011106,5,3–5 reports
031402011201,2,1–2 reports
031402011202,2,1–2 reports
031402011203,1,1–2 reports
031402020101,0,No geocoded report
031402020102,0,No geocoded report
031402020103,1,1–2 reports
031402020104,0,No geocoded report
031402020201,1,1–2 reports
031402020202,0,No geocoded report
031402020203,0,No geocoded report
031402020204,0,No geocoded report
031402020205,0,No geocoded report
031402020206,1,1–2 reports
031402020207,0,No geocoded report
031402020301,1,1–2 reports
031402020302,0,No geocoded report
031402020303,0,No geocoded report
031402020401,1,1–2 reports
031402020402,0,No geocoded report
031402020403,1,1–2 reports
031402020404,1,1–2 reports
031402020405,1,1–2 reports
031402020406,1,1–2 reports
031402020407,0,No geocoded report
031402020408,3,3–5 reports
031402020409,2,1–2 reports
031402020501,0,No geocoded report
031402020502,3,3–5 reports
031402020503,0,No geocoded report
031402020504,0,No geocoded report
031402020505,2,1–2 reports
031402020506,1,1–2 reports
031402020507,2,1–2 reports
031402020601,3,3–5 reports
031402020602,5,3–5 reports
031402020603,1,1–2 reports
031402020604,0,No geocoded report
031402020605,0,No geocoded report
031402020606,1,1–2 reports
031402020607,7,6–10 reports
031402020608,0,No geocoded report
031402020609,0,No geocoded report
031402020610,5,3–5 reports
031402020701,0,No geocoded report
031402020702,3,3–5 reports
031402020802,0,No geocoded report
031402020803,1,1–2 reports
031402020901,1,1–2 reports
031402020903,0,No geocoded report
031402020904,0,No geocoded report
031402020905,1,1–2 reports
031402020906,8,6–10 reports
031402030101,2,1–2 reports
031402030102,4,3–5 reports
031402030103,2,1–2 reports
031402030104,0,No geocoded report
031402030105,4,3–5 reports
031402030201,1,1–2 reports
031402030203,0,No geocoded report
031402030701,0,No geocoded report
031403010101,1,1–2 reports
031403010102,0,No geocoded report
031403010103,0,No geocoded report
031403010104,1,1–2 reports
031403010105,0,No geocoded report
031403010201,0,No geocoded report
031403010202,1,1–2 reports
031403010203,0,No geocoded report
031403010204,2,1–2 reports
031403010205,1,1–2 reports
031403010301,0,No geocoded report
031403010302,1,1–2 reports
031403010303,2,1–2 reports
031403010401,1,1–2 reports
031403010402,0,No geocoded report
031403010403,0,No geocoded report
031403010404,0,No geocoded report
031403010405,0,No geocoded report
031403010501,2,1–2 reports
031403010502,1,1–2 reports
031403010503,1,1–2 reports
031403020101,0,No geocoded report
031403020102,0,No geocoded report
031403020103,1,1–2 reports
031403020104,0,No geocoded report
031403020201,1,1–2 reports
031403020202,0,No geocoded report
031403020301,0,No geocoded report
031403020302,0,No geocoded report
031403020303,4,3–5 reports
031403020401,0,No geocoded report
031403020402,0,No geocoded report
031403020403,0,No geocoded report
031403020404,0,No geocoded report
031403020501,1,1–2 reports
031403020502,0,No geocoded report
031403020503,0,No geocoded report
031403020504,0,No geocoded report
031403020505,0,No geocoded report
031403020506,0,No geocoded report
031403030101,1,1–2 reports
031403030102,2,1–2 reports
031403030201,2,1–2 reports
031403030202,0,No geocoded report
031403030203,1,1–2 reports
031403030204,0,No geocoded report
031403030301,0,No geocoded report
031403030302,0,No geocoded report
031403030303,0,No geocoded report
031403030304,0,No geocoded report
031403030305,0,No geocoded report
031403030401,2,1–2 reports
031403030402,1,1–2 reports
031403030403,0,No geocoded report
031403030404,0,No geocoded report
031403030405,0,No geocoded report
031403030406,0,No geocoded report
031403030501,0,No geocoded report
031403030502,0,No geocoded report
031403030503,1,1–2 reports
031403030504,1,1–2 reports
031403030601,0,No geocoded report
031403030602,0,No geocoded report
031403030603,0,No geocoded report
031403030604,0,No geocoded report
031403030701,0,No geocoded report
031403030702,0,No geocoded report
031403030703,0,No geocoded report
031403030704,1,1–2 reports
031403040101,0,No geocoded report
031403040102,0,No geocoded report
031403040103,1,1–2 reports
031403040104,0,No geocoded report
031403040105,0,No geocoded report
031403040106,2,1–2 reports
031403040107,4,3–5 reports
031403040201,0,No geocoded report
031403040202,0,No geocoded report
031403040203,0,No geocoded report
031403040301,1,1–2 reports
031403040302,0,No geocoded report
031403040303,0,No geocoded report
031403040304,0,No geocoded report
031403040305,5,3–5 reports
031403040401,0,No geocoded report
031403040402,0,No geocoded report
031403040403,0,No geocoded report
031403040404,7,6–10 reports
031403040501,0,No geocoded report
031403040502,0,No geocoded report
031403040503,1,1–2 reports
031403040504,0,No geocoded report
031403040505,1,1–2 reports
031403040506,0,No geocoded report
031403040601,1,1–2 reports
031403040602,0,No geocoded report
031403040603,0,No geocoded report
031403040604,2,1–2 reports
031403040605,0,No geocoded report
031403050101,0,No geocoded report
031403050102,0,No geocoded report
031403050201,0,No geocoded report
031403050202,2,1–2 reports
031403050203,0,No geocoded report
031403050204,0,No geocoded report
031403050205,0,No geocoded report
031403050206,0,No geocoded report
031403050301,0,No geocoded report
031403050302,3,3–5 reports
031403050401,0,No geocoded report
031403050402,0,No geocoded report
031403050501,1,1–2 reports
031501050101,0,No geocoded report
031501050106,0,No geocoded report
031501050204,0,No geocoded report
031501050206,0,No geocoded report
031501050207,0,No geocoded report
031501050301,0,No geocoded report
031501050302,2,1–2 reports
031501050303,0,No geocoded report
031501050304,0,No geocoded report
031501050501,1,1–2 reports
031501050502,0,No geocoded report
031501050604,0,No geocoded report
