nhdplus_comid,gage_count,historical_max_flood_return_period_years,max_matched_event_return_period_years,record_years_max,distinct_matched_rainfall_flood_event_count,maximum_matched_flood_return_period_years,maximum_matched_peak_cfs_per_sqmi,median_rainfall_to_flood_lag_hours,distinct_major_rainfall_flood_event_count,historical_flood_class,major_event_count_class
10854043,1,17.0,17.0,16,5,17.0,1413.6546184738954,-17.0,1,10–<25 years,1
10854075,1,17.0,17.0,16,5,17.0,1413.6546184738954,-17.0,1,10–<25 years,1
10854229,1,17.0,17.0,16,5,17.0,1413.6546184738954,-17.0,1,10–<25 years,1
10854231,1,17.0,17.0,16,5,17.0,1413.6546184738954,-17.0,1,10–<25 years,1
10854239,1,17.0,17.0,16,5,17.0,1413.6546184738954,-17.0,1,10–<25 years,1
10854243,1,17.0,17.0,16,5,17.0,1413.6546184738954,-17.0,1,10–<25 years,1
10854255,1,17.0,17.0,16,5,17.0,1413.6546184738954,-17.0,1,10–<25 years,1
10854441,1,17.0,17.0,16,5,17.0,1413.6546184738954,-17.0,1,10–<25 years,1
15809627,1,12.0,6.0,11,1,6.0,109.84848484848486,-6.0,0,10–<25 years,0
15809683,1,12.0,6.0,11,1,6.0,109.84848484848486,-6.0,0,10–<25 years,0
15809715,1,12.0,6.0,11,1,6.0,109.84848484848486,-6.0,0,10–<25 years,0
15809757,1,12.0,6.0,11,1,6.0,109.84848484848486,-6.0,0,10–<25 years,0
15809777,1,12.0,6.0,11,1,6.0,109.84848484848486,-6.0,0,10–<25 years,0
15809837,1,12.0,6.0,11,1,6.0,109.84848484848486,-6.0,0,10–<25 years,0
15809873,1,12.0,6.0,11,1,6.0,109.84848484848486,-6.0,0,10–<25 years,0
15809915,1,12.0,6.0,11,1,6.0,109.84848484848486,-6.0,0,10–<25 years,0
15809931,2,196.6852847875148,60.91793528620757,72,14,60.91793528620757,109.84848484848486,18.0,2,≥100 years,2
15809945,1,196.6852847875148,60.91793528620757,72,14,60.91793528620757,53.57142857142857,18.0,2,≥100 years,2
15809947,1,196.6852847875148,60.91793528620757,72,14,60.91793528620757,53.57142857142857,18.0,2,≥100 years,2
15809955,2,196.6852847875148,60.91793528620757,72,14,60.91793528620757,109.84848484848486,18.0,2,≥100 years,2
15809985,1,196.6852847875148,60.91793528620757,72,14,60.91793528620757,53.57142857142857,18.0,2,≥100 years,2
15809987,1,196.6852847875148,60.91793528620757,72,14,60.91793528620757,53.57142857142857,18.0,2,≥100 years,2
15810691,1,196.6852847875148,60.91793528620757,72,14,60.91793528620757,53.57142857142857,18.0,2,≥100 years,2
15811541,1,31.63475438499466,24.831116668720703,49,8,24.831116668720703,33.251231527093594,-13.0,4,25–<50 years,3–4
15811605,1,31.63475438499466,24.831116668720703,49,8,24.831116668720703,33.251231527093594,-13.0,4,25–<50 years,3–4
15811609,1,31.63475438499466,24.831116668720703,49,8,24.831116668720703,33.251231527093594,-13.0,4,25–<50 years,3–4
15811619,1,31.63475438499466,24.831116668720703,49,8,24.831116668720703,33.251231527093594,-13.0,4,25–<50 years,3–4
15811667,1,31.63475438499466,24.831116668720703,49,8,24.831116668720703,33.251231527093594,-13.0,4,25–<50 years,3–4
15811741,1,31.63475438499466,24.831116668720703,49,8,24.831116668720703,33.251231527093594,-13.0,4,25–<50 years,3–4
15811911,1,20.724274279191743,,33,0,,,,0,10–<25 years,0
15811915,2,30.67140057957618,,33,0,,,,0,25–<50 years,0
15811927,1,20.724274279191743,,33,0,,,,0,10–<25 years,0
15811929,2,30.67140057957618,,33,0,,,,0,25–<50 years,0
15811959,1,30.67140057957618,,26,0,,,,0,25–<50 years,0
15811965,1,20.724274279191743,,33,0,,,,0,10–<25 years,0
15811977,2,30.67140057957618,,33,0,,,,0,25–<50 years,0
15811979,1,20.724274279191743,,33,0,,,,0,10–<25 years,0
15811991,1,30.67140057957618,,26,0,,,,0,25–<50 years,0
15811993,1,15.0,,14,0,,,,0,10–<25 years,0
15812003,1,20.724274279191743,,33,0,,,,0,10–<25 years,0
15812011,1,15.0,,14,0,,,,0,10–<25 years,0
15812015,1,15.0,,14,0,,,,0,10–<25 years,0
15812017,1,15.0,,14,0,,,,0,10–<25 years,0
15812023,1,30.67140057957618,,26,0,,,,0,25–<50 years,0
15812031,1,30.67140057957618,,26,0,,,,0,25–<50 years,0
15812033,1,30.67140057957618,,26,0,,,,0,25–<50 years,0
