nhdplus_comid,site_no
10854043,02378170
10854075,02378170
10854229,02378170
10854231,02378170
10854239,02378170
10854243,02378170
10854255,02378170
10854441,02378170
15809627,02412065
15809683,02412065
15809715,02412065
15809757,02412065
15809777,02412065
15809837,02412065
15809873,02412065
15809915,02412065
15809931,02412000
15809931,02412065
15809945,02412000
15809947,02412000
15809955,02412000
15809955,02412065
15809985,02412000
15809987,02412000
15810691,02412000
15811541,02413300
15811605,02413300
15811609,02413300
15811619,02413300
15811667,02413300
15811741,02413300
15811911,02413500
15811915,02413475
15811915,02413500
15811927,02413500
15811929,02413475
15811929,02413500
15811959,02413475
15811965,02413500
15811977,02413475
15811977,02413500
15811979,02413500
15811991,02413475
15811993,02413400
15812003,02413500
15812011,02413400
15812015,02413400
15812017,02413400
15812023,02413475
15812031,02413475
15812033,02413475
15812035,02413475
15812117,02413475
15812121,02413500
15812163,02412500
15812165,02412500
15812167,02413475
15812169,02413475
15812177,02412500
15814729,02412500
15814741,02412500
15819319,02398950
15819321,02398950
15819343,02398950
15819431,02398950
15819481,02398950
15819541,02398950
15819787,02398950
15820199,02398950
15820233,02398950
15820295,02398950
15820317,02399000
15820319,02398950
15820339,02398950
15820339,02399000
15820409,02398950
15820409,02399000
15820439,02398950
15820439,02399000
15820449,02398950
15820449,02399000
15820491,02398950
15820491,02399000
15820513,02399000
15820601,02399000
15820609,02399000
15820625,02399000
15820685,02399000
15820721,02399000
15820731,02399000
15820749,02399000
15820775,02398300
15820775,02398400
15820789,02398300
15820789,02398400
15820799,02399000
15820799,02399200
15820807,02399000
15820807,02399200
15820841,02398300
15820841,02398400
15820849,02398300
15820849,02398400
15820865,02398300
15820865,02398400
15820871,02399000
15820871,02399200
15820897,02398300
15820897,02398400
15820951,02398300
15820951,02398400
15820971,02398300
15820971,02398400
15820981,02398300
15820981,02398400
15821033,02398300
15821033,02398400
15821033,02398500
15821039,02399200
15821105,02399200
15821123,02399200
15821289,02399200
15821291,02398300
15821291,02398400
15821291,02398500
15821295,02398300
15821295,02398400
15821295,02398500
15821331,02399200
15821335,02399200
15821939,02400100
15821945,02400100
15821947,02400100
15821955,02400100
15821959,02400100
15821983,02400100
15821999,02400100
15822029,02400100
15822225,02400100
15822255,02400100
15822277,02400100
15822309,02400100
15822465,02400100
15822557,02400100
15822571,02400100
15822613,02400000
15822623,02400100
15822635,02400000
15822669,02400100
15822679,02400000
15822751,02400000
15822903,02399000
15822903,02399200
15822921,02398300
15822921,02398400
15822921,02398500
15822925,02398300
15822925,02398400
15822925,02398500
15822929,02399200
15823141,02400100
15823193,02398300
15823193,02398400
15823193,02398500
15823195,02398300
15823195,02398400
15823195,02398500
15823237,02398300
15823237,02398400
15823237,02398500
15823239,02398300
15823239,02398400
15823239,02398500
15823243,02398300
15823243,02398400
15823243,02398500
15823247,02398300
15823247,02398400
15823247,02398500
15823249,02398300
15823249,02398400
15823249,02398500
15823259,02398500
15823269,02399200
15823279,02398500
15823281,02398500
15823287,02398300
15823287,02398400
15823287,02398500
15823289,02398300
15823289,02398400
15823289,02398500
15823291,02398300
15823291,02398400
15823291,02398500
15823297,02398300
15823297,02398400
15823297,02398500
15823311,02398500
15823367,02399200
15823387,02399200
15823411,02397530
15823415,02397530
15823423,02397530
15823427,02397530
15823433,02397530
15823437,02397530
15823441,02397530
15823447,02397530
15823449,02397530
15823451,02397530
15823459,02397530
15823461,02397530
15823465,02397530
15823467,02397530
15823469,02399200
15823473,02399500
15823475,02399500
15823489,02397530
15823497,02399500
15823499,02399500
15823509,02399500
15823511,02399500
15823513,02399500
15823525,02399500
15823547,02399500
15823557,02399500
15823563,02399500
15823591,02399500
15823593,02399500
15823597,02399500
15823631,02399500
15823653,02399500
15823661,02399500
15823667,02399500
15823673,02399500
15823683,02399500
15823835,02399500
15824221,02400000
15824223,02400000
15824233,02400000
15824245,02400000
15824263,02400000
15824277,02400000
15824309,02400000
15824319,02400000
15824321,02400000
15824553,02400033
15824593,02400033
15824619,02400033
15824635,02400033
15824773,02400033
15824811,02400033
15824847,02400033
15824849,02400033
15824859,02400033
15824861,02400033
15824871,02400033
15824873,02400033
15830163,02397530
15830169,02399500
166745457,02407500
166745457,02407514
166745458,02407500
166745596,02429000
166745597,02429000
166751210,02478500
166751211,02478500
166751271,02479980
166759201,02446500
166759228,02462951
166759228,02465000
166759229,02462951
166759229,02465000
18092069,02479431
18092077,02479431
18092109,02479431
18092111,02479431
18092131,02479431
18092169,02479431
18092181,02479431
18092197,02479431
18092201,02479431
18092249,02479431
18092617,02479431
18092649,02479431
18092667,02479431
18092699,02479431
18093959,02479945
18093961,02479500
18093963,02479500
18093965,02479945
18093987,02479945
18094029,02479500
18094031,02479945
18094041,02479500
18094049,02479500
18094063,02479945
18094075,02479500
18094079,02479500
18094095,02479945
18094117,02479500
18094123,02479500
18094139,02479500
18094145,02479500
18094161,02479945
18094165,02479500
18094165,02479560
18094179,02479500
18094179,02479560
18094191,02479945
18094195,02479500
18094195,02479560
18094203,02479500
18094203,02479560
18094223,02479500
18094223,02479560
18094251,02479945
18094261,02479945
18094281,02479945
18094287,02479945
18094289,02479945
18094325,02479560
18094331,02479560
18094345,02479980
18094355,02479560
18094359,02479980
18094367,02479980
18094379,02479560
18094385,02479560
18094397,02479980
18094415,02479560
18094435,02480002
18094465,02480002
18094475,02480002
18094567,02480002
18094979,02479500
18094979,02479560
18094981,02479500
18094981,02479560
18094995,02479560
18095005,02479980
18095013,02480002
18095017,02480002
18095029,02480002
18095067,02479600
18095099,02479600
18095125,02479600
18095185,02479945
18095191,02479945
18095197,02479945
18095201,02479980
18095203,02479980
18095207,02480002
18095211,02480002
18095213,02480002
18095215,02479945
18095215,02479980
18095217,02480002
18096049,02480150
18096057,02480150
18096059,02480150
18096061,02480150
18096221,02480150
18096223,02480150
18096225,02480150
18096239,02480150
18096243,02480150
18096245,02480150
18096295,02480150
18096297,02480150
18096299,02480150
18096303,02480150
18096307,02480150
18096311,02480150
18096313,02480150
18096319,02480150
18172786,02478500
18172794,02478500
18172798,02478500
18172802,02478500
18172810,02478500
18172814,02478500
18172820,02478500
18172828,02478500
18172830,02478500
18172836,02478500
18172842,02478500
18175196,02478500
18204956,02465200
18204994,02465200
18205012,02465200
18205014,02465200
18205054,02465200
18205058,02465200
18205060,02465205
18205066,02465205
18205068,02465200
18205068,02465205
18205074,02465205
18205086,02465200
18205086,02465205
18205104,02465205
18205112,02465200
18205112,02465205
18205124,02465200
18205124,02465205
18205140,02465205
18205142,02465205
18205150,02465292
18205162,02465292
18205166,02465292
18205292,02465292
18205308,02465292
18206382,02465200
18206384,02465205
18206386,02465292
18206398,02465292
18206412,02465292
18206520,02465200
18206542,02465292
18206544,02465292
18206546,02465205
18206548,02465000
18206552,02465000
18206558,02465000
18206570,02465000
18206570,02465205
18206576,02465000
18206872,02465292
18206880,02465292
18208308,02465493
18208312,02465493
18208320,02465493
18208338,02465493
18208342,02465493
18208346,02465493
18208372,02465493
18208724,02465500
18208738,02465500
18208772,02465500
18208788,02465500
