year,rainfall_events_1h_ge2yr,rainfall_events_1h_ge5yr,rainfall_events_1h_ge10yr,rainfall_events_1h_ge25yr,rainfall_events_1h_ge50yr,rainfall_events_1h_ge100yr,maximum_atlas14_lower_bound_1h_years,maximum_atlas14_ratio_1h,rainfall_events_3h_ge2yr,rainfall_events_3h_ge5yr,rainfall_events_3h_ge10yr,rainfall_events_3h_ge25yr,rainfall_events_3h_ge50yr,rainfall_events_3h_ge100yr,maximum_atlas14_lower_bound_3h_years,maximum_atlas14_ratio_3h,rainfall_events_6h_ge2yr,rainfall_events_6h_ge5yr,rainfall_events_6h_ge10yr,rainfall_events_6h_ge25yr,rainfall_events_6h_ge50yr,rainfall_events_6h_ge100yr,maximum_atlas14_lower_bound_6h_years,maximum_atlas14_ratio_6h,rainfall_events_24h_ge2yr,rainfall_events_24h_ge5yr,rainfall_events_24h_ge10yr,rainfall_events_24h_ge25yr,rainfall_events_24h_ge50yr,rainfall_events_24h_ge100yr,maximum_atlas14_lower_bound_24h_years,maximum_atlas14_ratio_24h,rainfall_events_72h_ge2yr,rainfall_events_72h_ge5yr,rainfall_events_72h_ge10yr,rainfall_events_72h_ge25yr,rainfall_events_72h_ge50yr,rainfall_events_72h_ge100yr,maximum_atlas14_lower_bound_72h_years,maximum_atlas14_ratio_72h,affected_huc12_count,affected_huc12_percent,integrated_rainfall_flood_event_count,distinct_major_measured_flood_event_count,active_gage_count,major_flood_gage_year_count,maximum_flood_screening_return_period_years,median_flood_screening_return_period_years,median_peak_specific_discharge,major_flood_rate_per_100_active_gages,fixed_active_gage_count,fixed_major_flood_gage_year_count,fixed_major_flood_rate_per_100_active_gages
1979,2,2,1,0,0,0,10.0,1.3897093939135052,3,3,3,2,1,0,50.0,1.8562966459919128,5,3,3,2,0,0,25.0,1.808970560733394,5,5,2,2,1,0,50.0,2.290489767198598,6,3,2,1,1,1,100.0,2.309404287009776,189,12.710154673839947,2,4,174,85,1000000.0,9.177821452659426,66.1029411764706,48.85057471264368,58,34,58.62068965517241
1980,1,0,0,0,0,0,2.0,1.0400707736637074,3,0,0,0,0,0,2.0,1.1911166553515915,4,1,0,0,0,0,5.0,1.2440058169569,4,1,1,0,0,0,10.0,1.444141599841248,6,2,2,0,0,0,10.0,1.4484703754995172,1,0.06724949562878278,1,3,130,7,1000000.0,3.0425221117254546,36.122865417889116,5.384615384615385,49,3,6.122448979591836
1981,1,0,0,0,0,0,2.0,1.131129951472676,1,0,0,0,0,0,2.0,1.185326031205611,1,1,0,0,0,0,5.0,1.3900880518377972,2,1,0,0,0,0,5.0,1.400310398784254,2,1,0,0,0,0,5.0,1.2609628526936207,0,0.0,0,1,136,2,15.0,1.558471196313902,24.454545454545453,1.4705882352941178,53,0,0.0
1982,3,0,0,0,0,0,2.0,1.0255839540963925,3,0,0,0,0,0,2.0,1.095479257571217,3,0,0,0,0,0,2.0,1.2134996940872618,5,0,0,0,0,0,2.0,1.1930355001793824,4,0,0,0,0,0,2.0,1.1500838088164786,0,0.0,0,0,115,6,45.231136261045584,2.0,30.20132521250251,5.217391304347826,51,6,11.764705882352942
1983,1,0,0,0,0,0,2.0,1.057049905020062,6,1,1,0,0,0,10.0,1.4773875743152145,6,4,1,0,0,0,10.0,1.5030678422568609,9,5,2,0,0,0,10.0,1.598127170033644,4,3,1,0,0,0,10.0,1.4540337897713802,13,0.8742434431741762,2,4,106,15,1000000.0,3.5957625991896522,33.6551724137931,14.150943396226415,49,5,10.204081632653061
1984,2,1,0,0,0,0,5.0,1.2218911387482791,1,0,0,0,0,0,2.0,1.033073617064233,0,0,0,0,0,0,,,1,0,0,0,0,0,2.0,1.1651877317005084,3,0,0,0,0,0,2.0,1.183809880267794,0,0.0,0,0,103,10,1000000.0,2.2,24.609811452513966,9.70873786407767,51,3,5.882352941176471
1985,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,1,0,0,0,0,0,2.0,1.1780948486771263,2,1,1,0,0,0,10.0,1.3855682607897608,0,0.0,0,0,101,1,123.31027783975321,1.2610483228659168,15.145631067961165,0.9900990099009901,51,1,1.9607843137254901
1986,0,0,0,0,0,0,,,1,0,0,0,0,0,2.0,1.07282226072994,1,0,0,0,0,0,2.0,1.1016239768460123,1,0,0,0,0,0,2.0,1.1158642714836446,2,0,0,0,0,0,2.0,1.0543931122911891,0,0.0,0,0,99,0,3.912754944338628,1.0676607320270017,9.824469478648153,0.0,52,0,0.0
1987,1,0,0,0,0,0,2.0,1.1899342657636387,1,0,0,0,0,0,2.0,1.1647158046012671,1,0,0,0,0,0,2.0,1.009119658429132,2,0,0,0,0,0,2.0,1.170079064043708,2,1,1,0,0,0,10.0,1.7595052163741272,0,0.0,0,0,102,0,7.44199172409519,1.4474597715376127,18.733841039121693,0.0,52,0,0.0
1988,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,3,1,1,0,0,0,10.0,1.4496172896230424,3,2,1,0,0,0,10.0,1.554665099022324,2,0.13449899125756556,0,0,104,0,7.487212056339532,1.1755708891204972,12.428959208318638,0.0,54,0,0.0
1989,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,3,0,0,0,0,0,2.0,1.1196001906655615,6,1,0,0,0,0,5.0,1.2822980519457925,0,0.0,0,0,115,2,30.755341271616942,1.7999999999999998,26.17713004484305,1.7391304347826086,58,0,0.0
1990,0,0,0,0,0,0,,,4,3,1,0,0,0,10.0,1.487066315534093,3,3,2,0,0,0,10.0,1.5770959807042702,4,3,3,3,2,0,50.0,2.1326337355022247,3,3,3,2,2,1,100.0,2.385088406021532,583,39.20645595158037,3,3,140,74,323.7315861138724,11.95067355589929,84.24100329838035,52.857142857142854,58,39,67.24137931034483
1991,1,0,0,0,0,0,2.0,1.14042341076211,1,0,0,0,0,0,2.0,1.0371133422144343,2,0,0,0,0,0,2.0,1.071342259440059,5,2,2,1,0,0,25.0,1.6530784488171886,9,6,3,2,1,1,100.0,2.156229291595029,29,1.9502353732347006,2,2,122,21,1000000.0,1.9529518112506117,34.03938703140831,17.21311475409836,58,10,17.24137931034483
1992,0,0,0,0,0,0,,,0,0,0,0,0,0,,,2,0,0,0,0,0,2.0,1.114377729571789,4,0,0,0,0,0,2.0,1.1293320652319416,2,0,0,0,0,0,2.0,1.1113345779423418,0,0.0,0,1,121,4,126.7188395757968,1.272923708394453,19.82062780269058,3.3057851239669422,59,2,3.389830508474576
1993,0,0,0,0,0,0,,,0,0,0,0,0,0,,,1,0,0,0,0,0,2.0,1.1905041334781643,2,0,0,0,0,0,2.0,1.2679494696346687,2,0,0,0,0,0,2.0,1.216027254803281,0,0.0,0,1,121,4,1000000.0,1.737450311448003,29.947916666666668,3.3057851239669422,58,2,3.4482758620689653
1994,0,0,0,0,0,0,,,1,0,0,0,0,0,2.0,1.0600316502295966,3,0,0,0,0,0,2.0,1.128575994316425,4,2,0,0,0,0,5.0,1.3270083484325963,4,2,1,1,1,1,100.0,2.4412737779457503,0,0.0,0,3,127,18,1000000.0,2.183990917484607,40.17937219730942,14.173228346456693,58,6,10.344827586206897
1995,3,0,0,0,0,0,2.0,1.1640989252363394,4,3,2,0,0,0,10.0,1.4048453456126866,6,4,1,1,0,0,25.0,1.7197575132747682,8,3,1,1,0,0,25.0,2.1748461989641,9,5,2,2,1,0,50.0,2.334585099122336,110,7.397444519166107,1,3,122,2,14.861752641758374,1.4848356594307628,27.11826302130485,1.639344262295082,57,1,1.7543859649122806
1996,2,1,0,0,0,0,5.0,1.2831772240838075,4,1,0,0,0,0,5.0,1.2027029374301803,6,1,0,0,0,0,5.0,1.245611875418059,3,0,0,0,0,0,2.0,1.125315415767466,2,2,0,0,0,0,5.0,1.309311209277057,0,0.0,0,1,124,12,1000000.0,2.885036456793168,46.98010089686099,9.67741935483871,57,8,14.035087719298245
1997,1,1,0,0,0,0,5.0,1.2914840404475283,3,1,1,0,0,0,10.0,1.6718989182666442,4,2,1,0,0,0,10.0,1.6789852648024923,4,3,2,1,0,0,25.0,2.2343808818341717,5,3,2,1,1,0,50.0,2.4948361083018105,9,0.605245460659045,1,2,136,3,37.28161002056827,1.775626231370623,39.33281004709576,2.2058823529411766,57,0,0.0
1998,0,0,0,0,0,0,,,3,1,0,0,0,0,5.0,1.268406370650136,3,2,1,0,0,0,10.0,1.4933327121346631,7,4,2,1,1,0,50.0,2.388714253233972,7,4,3,2,1,1,100.0,2.9447351404509665,223,14.996637525218562,2,3,143,29,1000000.0,4.2118003481061095,71.9225449515906,20.27972027972028,57,10,17.54385964912281
1999,1,0,0,0,0,0,2.0,1.1242691609050446,4,1,0,0,0,0,5.0,1.2750803750571504,4,2,0,0,0,0,5.0,1.3060255487113035,5,3,0,0,0,0,5.0,1.415916981457042,5,2,0,0,0,0,5.0,1.3126184630319186,0,0.0,0,1,153,14,1000000.0,1.8606796188360297,43.04347826086956,9.15032679738562,56,4,7.142857142857143
2000,0,0,0,0,0,0,,,0,0,0,0,0,0,,,1,0,0,0,0,0,2.0,1.0438162322081292,3,2,1,0,0,0,10.0,1.448953204394013,3,2,2,0,0,0,10.0,1.5659306869107537,3,0.20174848688634836,0,1,154,9,32.82684520091489,1.903859708859134,38.05966605009249,5.8441558441558445,57,0,0.0
2001,1,1,0,0,0,0,5.0,1.2439203592142638,2,1,1,0,0,0,10.0,1.611863383874981,3,2,1,0,0,0,10.0,1.694320122578912,6,2,1,0,0,0,10.0,1.5079031144992523,6,4,1,0,0,0,10.0,1.6013429039730918,1,0.06724949562878278,0,1,155,13,48.30274302599311,2.1592269888236366,46.846846846846844,8.387096774193548,58,6,10.344827586206897
2002,9,7,2,1,0,0,25.0,1.668448147544502,11,6,4,1,1,1,500.0,2.800758846894104,9,4,3,1,1,1,100.0,2.3322405297382267,8,5,2,0,0,0,10.0,1.7118095698479037,6,3,2,1,1,0,50.0,1.937380819954142,5,0.3362474781439139,0,1,152,1,14.777096213830731,1.6034051942559921,37.435568360398115,0.6578947368421053,57,1,1.7543859649122806
2003,17,8,4,2,1,0,50.0,2.005287019994875,21,13,6,5,1,1,100.0,1.9785320495667045,18,10,10,4,3,2,200.0,2.472971401493808,14,9,6,4,3,3,100.0,2.4452564546137308,12,9,6,3,2,0,50.0,1.9636764905244968,118,7.935440484196368,2,2,158,43,1000000.0,3.738753793485017,55.374687461238665,27.21518987341772,59,12,20.338983050847457
2004,11,6,2,1,1,0,50.0,1.9124233399381132,14,9,4,3,1,0,50.0,2.0006560381848804,14,9,5,2,2,0,50.0,2.229395526818146,9,4,3,1,1,0,50.0,2.1419814990169628,8,6,3,1,0,0,25.0,1.7887982989114246,347,23.335574983187627,3,4,150,20,1000000.0,2.8620907904224255,53.24582646568632,13.333333333333334,56,3,5.357142857142857
2005,10,7,4,2,1,0,50.0,1.9485049640237773,12,9,7,4,1,1,100.0,2.0793147569203243,12,8,5,4,1,1,200.0,2.2918035447696203,8,6,5,3,2,0,50.0,2.0423672926626595,7,6,5,0,0,0,10.0,1.6779304626428588,132,8.876933422999327,4,5,152,12,1000000.0,2.706732236847179,49.96951219512195,7.894736842105263,59,4,6.779661016949152
2006,6,4,1,0,0,0,10.0,1.5188389603220185,8,4,3,0,0,0,10.0,1.5886700974139265,9,4,3,1,0,0,25.0,1.6713401017812517,7,2,1,0,0,0,10.0,1.4368791448059928,3,1,0,0,0,0,5.0,1.310008648219655,1,0.06724949562878278,1,1,155,0,6.8092414349094454,1.2142857142857144,19.06896551724138,0.0,59,0,0.0
2007,3,3,2,0,0,0,10.0,1.617809364904561,6,4,2,1,0,0,25.0,1.7607429138143158,8,3,1,0,0,0,10.0,1.4708685087019029,5,0,0,0,0,0,2.0,1.2349830902487855,2,0,0,0,0,0,2.0,1.2447132569733377,0,0.0,0,0,148,1,10.798027432612246,1.0965279982698675,15.641278261967917,0.6756756756756757,58,0,0.0
2008,8,1,0,0,0,0,5.0,1.2320640207505096,10,8,5,2,0,0,25.0,1.715062906066954,10,7,4,0,0,0,10.0,1.59921741410356,6,3,2,1,0,0,25.0,1.921410733084091,5,2,2,1,1,0,50.0,2.127611968233772,111,7.4646940147948895,0,0,146,0,5.800880434991305,1.1944569742254472,19.940596928426544,0.0,59,0,0.0
