event_id,year,candidate_start_utc,candidate_end_utc,window_start_utc,window_end_utc,rx1h_max_mm,rx1h_max_ratio,rx1h_peak_huc12,rx1h_peak_time_utc,rx1h_affected_huc_count,rx3h_max_mm,rx3h_max_ratio,rx3h_peak_huc12,rx3h_peak_time_utc,rx3h_affected_huc_count,rx6h_max_mm,rx6h_max_ratio,rx6h_peak_huc12,rx6h_peak_time_utc,rx6h_affected_huc_count,rx24h_max_mm,rx24h_max_ratio,rx24h_peak_huc12,rx24h_peak_time_utc,rx24h_affected_huc_count,rx72h_max_mm,rx72h_max_ratio,rx72h_peak_huc12,rx72h_peak_time_utc,rx72h_affected_huc_count,maximum_atlas_ratio,primary_peak_time_utc,primary_duration_hours,affected_huc_union_count,spatial_cluster_count,largest_cluster_huc_count,event_sequence,catalog_event_id,maximum_lower_ari_years,maximum_ratio_to_100yr,atlas_class_huc_count,maximum_recurrence_class,storm_type,storm_subtype,storm_name,classification_confidence,classification_evidence,nearest_tropical_name,nearest_tropical_distance_km,matched_storm_event_count,matched_storm_event_types,matched_flood_event_count,matched_convective_event_count,matched_tropical_event_count,rx1_to_rx24,rx3_to_rx24,rx6_to_rx24,rx24_to_rx72,matched_gage_count,matched_annual_peak_count,major_flood_gage_count,maximum_flood_screening_return_period_years,maximum_empirical_return_period_years,maximum_lp3_return_period_years,maximum_peak_cfs,maximum_peak_cfs_per_sqmi,median_rainfall_to_peak_lag_hours,minimum_rainfall_to_peak_lag_hours,maximum_rainfall_to_peak_lag_hours,stationarity_warning_gage_count,matched_flood_report_count,matched_flash_flood_count,matched_property_damage_usd,matched_crop_damage_usd,matched_direct_deaths,matched_direct_injuries,flood_evidence_class,maximum_flood_screening_class,hydrograph_gage_count,maximum_event_peak_discharge_cfs,maximum_event_lp3_return_period_years,median_hydrograph_lag_hours
ALRF-1979-003,1979,1979-04-12 09:00:00+00:00,1979-04-15 17:00:00+00:00,1979-04-11 21:00:00+00:00,1979-04-16 05:00:00+00:00,60.831016540527344,1.3897093939135052,31601060402,1979-04-12 10:00:00+00:00,8,113.74095153808594,1.8562966459919128,31601060402,1979-04-12 12:00:00+00:00,44,133.9588623046875,1.808970560733394,31601060402,1979-04-12 12:00:00+00:00,72,239.7538299560547,2.290489767198598,31601060402,1979-04-13 08:00:00+00:00,420,305.8859558105469,2.309404287009776,31601060402,1979-04-13 16:00:00+00:00,434,2.309404287009776,1979-04-13 16:00:00+00:00,72,448,1,448,3,AL-RF-19790413-0003,100.0,1.0290837265444903,448,100–200-year,Convective candidate,Thunderstorm-associated rainfall,,Low,12 convective/heavy-rain NOAA Storm Events records; rainfall duration signature was not decisive.,,,12,Thunderstorm Wind; Tornado,0,12,0,0.2537228145705838,0.4744072349498396,0.558735025543664,0.7838013658415501,72.0,72.0,52.0,1000000.0,96.0,1000000.0,281000.0,813.3498145859086,-16.0,-40.0,56.0,18.0,0,0,0.0,0.0,0.0,0.0,Measured major-flood response,>500-year,3.0,222000.0,1000000.0,-16.0
ALRF-2003-007,2003,2003-05-06 04:00:00+00:00,2003-05-11 01:00:00+00:00,2003-05-05 16:00:00+00:00,2003-05-11 13:00:00+00:00,86.84456634521484,2.005287019994875,31601110405,2003-05-07 19:00:00+00:00,57,109.66496276855467,1.8274491935299104,31601110405,2003-05-07 21:00:00+00:00,162,137.96774291992188,1.9111089059773283,31601110405,2003-05-07 23:00:00+00:00,188,226.47113037109372,2.1599385647290106,31501070701,2003-05-08 11:00:00+00:00,232,233.32749938964844,1.7359242128663812,31501070701,2003-05-08 11:00:00+00:00,287,2.1599385647290106,2003-05-08 11:00:00+00:00,24,335,8,161,150,AL-RF-20030508-0150,100.0,1.002407427755427,335,100–200-year,Frontal/extratropical candidate,Prolonged or widespread non-tropical rainfall,,Medium–low,No nearby HURDAT2 system; 49 flood/heavy-rain NOAA records; affected HUCs=335; Rx24h/Rx72h=0.97.,,,173,Flash Flood; Flood; Funnel Cloud; Hail; Heavy Rain; Lightning; Thunderstorm Wind; Tornado,49,148,0,0.3834685957672046,0.4842337413552826,0.609206757143169,0.970614826642852,54.0,54.0,34.0,1000000.0,100.0,1000000.0,294000.0,2073.5785953177256,-35.0,-59.0,13.0,17.0,49,29,1014138000.0,375000.0,0.0,1.0,Measured major-flood response,>500-year,4.0,5300.0,1000000.0,-33.75
ALRF-2009-016,2009,2009-09-19 04:00:00+00:00,2009-09-24 06:00:00+00:00,2009-09-18 16:00:00+00:00,2009-09-24 18:00:00+00:00,62.35878753662109,1.41352513997774,31601130102,2009-09-21 04:00:00+00:00,27,111.52606964111328,2.073887216122176,31501050701,2009-09-21 02:00:00+00:00,87,146.5725860595703,1.9988567420332832,31502020505,2009-09-21 09:00:00+00:00,85,218.67926025390625,2.082789435704288,31601130102,2009-09-22 01:00:00+00:00,109,264.8459167480469,1.967995569912253,31502020505,2009-09-21 20:00:00+00:00,182,2.082789435704288,2009-09-22 01:00:00+00:00,24,197,13,164,243,AL-RF-20090922-0243,50.0,0.9695524995208664,197,50–100-year,Frontal/extratropical candidate,Prolonged or widespread non-tropical rainfall,,Medium–low,No nearby HURDAT2 system; 54 flood/heavy-rain NOAA records; affected HUCs=197; Rx24h/Rx72h=0.83.,Fred,1607.6664796595294,56,Flash Flood; Flood; Hail; Heavy Rain,54,52,0,0.2851609588591846,0.5099983853595512,0.6702628584411086,0.8256848470197112,11.0,11.0,3.0,1000000.0,49.00000000000001,1000000.0,32600.0,206.96721311475412,-97.0,-97.0,-25.0,3.0,54,49,1613000.0,0.0,0.0,0.0,Measured major-flood response,>500-year,4.0,5050.0,1000000.0,-57.125
ALRF-1990-005,1990,1990-12-22 04:00:00+00:00,1990-12-25 10:00:00+00:00,1990-12-21 16:00:00+00:00,1990-12-25 22:00:00+00:00,29.02692604064941,0.70890487313364,60300020501,1990-12-22 03:00:00+00:00,0,79.07500457763672,1.3664594209085623,60300020106,1990-12-22 07:00:00+00:00,39,101.21642303466795,1.5237303634019042,60300010303,1990-12-22 10:00:00+00:00,87,211.10081481933597,2.067688559780166,60300021102,1990-12-23 01:00:00+00:00,235,260.3125305175781,2.0224233288303526,60300010303,1990-12-23 14:00:00+00:00,260,2.067688559780166,1990-12-23 01:00:00+00:00,24,263,1,263,60,AL-RF-19901223-0060,100.0,1.0058784685703392,263,100–200-year,Unclassified,Insufficient external evidence,,Low,No nearby HURDAT2 track and no matching Alabama NOAA Storm Events record within the configured time buffer.,,,0,,0,0,0,0.137502671723419,0.3745840803376841,0.4794695990221113,0.8109514144386566,17.0,17.0,11.0,1000000.0,65.0,1000000.0,440000.0,350.87719298245617,-1.0,-25.0,23.0,4.0,0,0,0.0,0.0,0.0,0.0,Measured major-flood response,>500-year,3.0,50100.0,1000000.0,-1.0
ALRF-2004-001,2004,2004-02-05 19:00:00+00:00,2004-02-09 04:00:00+00:00,2004-02-05 07:00:00+00:00,2004-02-09 16:00:00+00:00,56.73588943481445,1.319003022276239,31501060301,2004-02-06 07:00:00+00:00,23,105.9904327392578,1.7679674950378172,31601110303,2004-02-06 06:00:00+00:00,124,147.9266357421875,2.0457749419964992,31601110306,2004-02-06 09:00:00+00:00,175,168.5096893310547,1.6171514830077485,31601110306,2004-02-06 15:00:00+00:00,373,168.8760528564453,1.2717862150066406,31601110306,2004-02-06 15:00:00+00:00,120,2.0457749419964992,2004-02-06 09:00:00+00:00,6,445,12,396,166,AL-RF-20040206-0166,50.0,0.9914227744127484,445,50–100-year,Convective,Organized or localized severe convection,,Medium,57 convective/heavy-rain NOAA Storm Events records; Rx3h/Rx24h=0.63.,,,72,Flash Flood; Flood; Hail; High Wind; Lightning; Thunderstorm Wind,49,57,0,0.3366921490392813,0.6289871707675436,0.8778524032025858,0.997830577401628,47.0,47.0,12.0,1000000.0,30.0,1000000.0,194000.0,448.59813084112153,-9.0,-33.0,63.0,8.0,49,35,377000.0,0.0,0.0,0.0,Measured major-flood response,>500-year,4.0,11000.0,1000000.0,2.75
ALRF-2020-008,2020,2020-04-12 22:00:00+00:00,2020-04-15 21:00:00+00:00,2020-04-12 10:00:00+00:00,2020-04-16 09:00:00+00:00,66.47518920898438,1.5303747059234598,31601070205,2020-04-12 22:00:00+00:00,80,80.90709686279297,1.363257370425948,31601090201,2020-04-13 04:00:00+00:00,163,139.49435424804688,1.9281662050322088,31601090205,2020-04-13 04:00:00+00:00,275,156.1142578125,1.4978261723480089,31601090205,2020-04-13 06:00:00+00:00,169,156.1142578125,1.1905577320906848,31601090205,2020-04-13 06:00:00+00:00,20,1.9281662050322088,2020-04-13 04:00:00+00:00,6,305,4,280,409,AL-RF-20200413-0409,50.0,0.9470292262146875,305,50–100-year,Frontal/extratropical candidate,Prolonged or widespread non-tropical rainfall,,Medium–low,No nearby HURDAT2 system; 44 flood/heavy-rain NOAA records; affected HUCs=305; Rx24h/Rx72h=1.00.,,,201,Flash Flood; Flood; Frost/Freeze; Hail; High Wind; Lightning; Strong Wind; Thunderstorm Wind; Tornado,44,181,0,0.4258111343604757,0.5182556545217407,0.8935401301755901,1.0,24.0,24.0,5.0,1000000.0,24.0,1000000.0,37600.0,822.6950354609929,-2.0,-8.166666666666666,34.5,5.0,44,33,0.0,0.0,0.0,0.0,Measured major-flood response,>500-year,4.0,37600.0,1000000.0,6.5
ALRF-2004-017,2004,2004-11-22 21:00:00+00:00,2004-11-26 18:00:00+00:00,2004-11-22 09:00:00+00:00,2004-11-27 06:00:00+00:00,47.00453186035156,1.1341383172788828,31501060103,2004-11-24 08:00:00+00:00,2,72.43559265136719,1.2657245071019496,31501060204,2004-11-24 10:00:00+00:00,34,99.47650909423828,1.4133503474410276,31501060108,2004-11-24 13:00:00+00:00,45,146.43856811523438,1.4467848725178527,31501060104,2004-11-24 15:00:00+00:00,48,236.41799926757807,1.7887982989114246,31601110304,2004-11-24 14:00:00+00:00,185,1.7887982989114246,2004-11-24 14:00:00+00:00,72,202,5,167,182,AL-RF-20041124-0182,25.0,0.797486417141815,202,25–50-year,Frontal/extratropical candidate,Prolonged or widespread non-tropical rainfall,,Medium–low,No nearby HURDAT2 system; 20 flood/heavy-rain NOAA records; affected HUCs=202; Rx24h/Rx72h=0.62.,Otto,3826.3273113460673,71,Flash Flood; Hail; Heat; Thunderstorm Wind; Tornado,20,70,0,0.3209846454068241,0.4946483264870952,0.6793053932073342,0.619405326874013,32.0,32.0,2.0,1000000.0,61.0,1000000.0,119000.0,413.08411214953276,-14.0,-62.0,10.0,8.0,20,20,946000.0,0.0,1.0,0.0,Measured major-flood response,>500-year,4.0,24300.0,1000000.0,5.375
ALRF-2009-015,2009,2009-09-17 17:00:00+00:00,2009-09-18 06:00:00+00:00,2009-09-17 05:00:00+00:00,2009-09-18 18:00:00+00:00,64.05854034423828,1.4811646688492048,31502020102,2009-09-18 01:00:00+00:00,3,105.6002960205078,1.754702338910368,31502020102,2009-09-18 02:00:00+00:00,8,112.69523620605467,1.546993000650855,31502020102,2009-09-18 05:00:00+00:00,10,115.50048065185548,1.1028957869394844,31502020102,2009-09-18 10:00:00+00:00,4,133.31405639648438,0.9949820261809658,31502020102,2009-09-18 10:00:00+00:00,0,1.754702338910368,2009-09-18 02:00:00+00:00,3,11,4,6,242,AL-RF-20090918-0242,25.0,0.8509669417026092,11,25–50-year,Convective,Organized or localized severe convection,,Medium,47 convective/heavy-rain NOAA Storm Events records; Rx3h/Rx24h=0.91.,Fred,1773.725980989495,48,Flash Flood; Flood; Heavy Rain; Thunderstorm Wind; Tornado,45,47,0,0.554617088887493,0.9142844724500409,0.9757122703735196,0.8663788633686892,6.0,6.0,2.0,1000000.0,16.0,1000000.0,5950.0,206.96721311475412,-2.0,-26.0,22.0,2.0,45,42,1250000.0,0.0,0.0,0.0,Measured major-flood response,>500-year,4.0,5050.0,1000000.0,3.375
ALRF-2009-001,2009,2009-01-06 17:00:00+00:00,2009-01-09 05:00:00+00:00,2009-01-06 05:00:00+00:00,2009-01-09 17:00:00+00:00,27.25131225585937,0.6250444421302441,31601060305,2009-01-06 19:00:00+00:00,0,50.21229553222656,0.8212255380246671,31601060305,2009-01-06 21:00:00+00:00,0,68.11408233642578,0.928831254246796,31601050203,2009-01-07 00:00:00+00:00,0,147.5485382080078,1.4231037607275612,31601110107,2009-01-07 01:00:00+00:00,189,184.58750915527344,1.4090114206993951,31601110101,2009-01-07 21:00:00+00:00,204,1.4231037607275612,2009-01-07 01:00:00+00:00,24,214,1,214,228,AL-RF-20090107-0228,10.0,0.6825333512360865,214,10–25-year,Frontal/extratropical candidate,Prolonged or widespread non-tropical rainfall,,Medium–low,No nearby HURDAT2 system; 28 flood/heavy-rain NOAA records; affected HUCs=214; Rx24h/Rx72h=0.80.,,,38,Flash Flood; Flood; Funnel Cloud; Heavy Rain; Thunderstorm Wind,28,30,0,0.1846938816665306,0.340310355778919,0.4616384761494646,0.7993419429257873,13.0,13.0,6.0,1000000.0,15.666666666666668,1000000.0,45300.0,91.37577002053388,-1.0,-25.0,23.0,1.0,28,20,1725000.0,0.0,2.0,1.0,Measured major-flood response,>500-year,,,,
ALRF-1983-009,1983,1983-12-03 07:00:00+00:00,1983-12-06 05:00:00+00:00,1983-12-02 19:00:00+00:00,1983-12-06 17:00:00+00:00,30.61402130126953,0.7422847130238196,60300050806,1983-12-03 12:00:00+00:00,0,70.06037902832031,1.1613422593232663,60300060207,1983-12-03 12:00:00+00:00,31,94.80884552001952,1.292851872584905,31601050203,1983-12-03 09:00:00+00:00,162,147.64169311523438,1.40385946742621,31601050203,1983-12-04 01:00:00+00:00,252,178.6298828125,1.31924835054035,31601050203,1983-12-05 03:00:00+00:00,199,1.40385946742621,1983-12-04 01:00:00+00:00,24,274,3,250,33,AL-RF-19831204-0033,5.0,0.611901324986001,274,5–10-year,Convective candidate,Thunderstorm-associated rainfall,,Low,54 convective/heavy-rain NOAA Storm Events records; rainfall duration signature was not decisive.,,,54,Thunderstorm Wind; Tornado,0,54,0,0.2073534965314661,0.4745297723837274,0.6421549598867117,0.8265229243318007,19.0,19.0,6.0,1000000.0,73.0,1000000.0,122000.0,618.6666666666666,-25.0,-25.0,71.0,7.0,0,0,0.0,0.0,0.0,0.0,Measured major-flood response,>500-year,,,,
