site_no,navigation_mode,distance_km,status,reach_count
02338523,UM,12,success,6
02338523,DM,12,success,6
02339225,UM,12,success,7
02339225,DM,12,success,8
02339495,UM,12,success,9
02339495,DM,12,success,7
02339500,UM,12,success,14
02339500,DM,12,success,7
02339780,UM,12,success,7
02339780,DM,12,success,9
02340750,UM,12,success,9
02340750,DM,12,success,5
02341460,UM,12,success,12
02341460,DM,12,success,4
02341500,UM,12,success,10
02341500,DM,12,success,3
02341505,UM,12,success,10
02341505,DM,12,success,3
02341566,UM,12,success,4
02341566,DM,12,success,4
02342150,UM,12,success,10
02342150,DM,12,success,10
02342200,UM,12,success,5
02342200,DM,12,success,8
02342500,UM,12,success,8
02342500,DM,12,success,9
02342881,UM,12,success,10
02342881,DM,12,success,9
02342933,UM,12,success,9
02342933,DM,12,success,16
02342960,UM,12,success,10
02342960,DM,12,success,9
023432415,UM,12,success,9
023432415,DM,12,success,11
02343275,UM,12,success,10
02343275,DM,12,success,13
02343300,UM,12,success,14
02343300,DM,12,success,11
02343500,UM,12,success,11
02343500,DM,12,success,11
02343700,UM,12,success,5
02343700,DM,12,success,9
02344000,UM,12,success,7
02344000,DM,12,success,5
02358785,UM,12,success,5
02358785,DM,12,success,7
02360000,UM,12,success,14
02360000,DM,12,success,12
02360275,UM,12,success,13
02360275,DM,12,success,14
02360500,UM,12,success,9
02360500,DM,12,success,8
02361000,UM,12,success,15
02361000,DM,12,success,10
02361500,UM,12,success,7
02361500,DM,12,success,8
02362240,UM,12,success,10
02362240,DM,12,success,13
02362610,UM,12,success,8
02362610,DM,12,success,11
02363000,UM,12,success,19
02363000,DM,12,success,16
02364000,UM,12,success,9
02364000,DM,12,success,15
02364500,UM,12,success,12
02364500,DM,12,success,8
02364570,UM,12,success,16
02364570,DM,12,success,9
02365200,UM,12,success,11
02365200,DM,12,success,8
02365310,UM,12,success,1
02365310,DM,12,success,10
02367500,UM,12,success,16
02367500,DM,12,success,8
02367800,UM,12,success,10
02367800,DM,12,success,14
02367900,UM,12,success,15
02367900,DM,12,success,11
02369800,UM,12,success,8
02369800,DM,12,success,8
02370200,UM,12,success,13
02370200,DM,12,success,10
02371000,UM,12,success,22
02371000,DM,12,success,12
02371200,UM,12,success,3
02371200,DM,12,success,7
02371500,UM,12,success,10
02371500,DM,12,success,8
02372000,UM,12,success,9
02372000,DM,12,success,8
02372250,UM,12,success,7
02372250,DM,12,success,6
02372422,UM,12,success,15
02372422,DM,12,success,13
02372430,UM,12,success,17
02372430,DM,12,success,12
02372500,UM,12,success,13
02372500,DM,12,success,7
02372755,UM,12,success,1
02372755,DM,12,success,6
02372800,UM,12,success,7
02372800,DM,12,success,9
02373000,UM,12,success,8
02373000,DM,12,success,8
02373500,UM,12,success,13
02373500,DM,12,success,11
02374000,UM,12,success,6
02374000,DM,12,success,10
02374250,UM,12,success,14
02374250,DM,12,success,9
02374500,UM,12,success,10
02374500,DM,12,success,12
02374700,UM,12,success,7
02374700,DM,12,success,12
02374745,UM,12,success,9
02374745,DM,12,success,11
02374950,UM,12,success,16
02374950,DM,12,success,12
02374970,UM,12,success,11
02374970,DM,12,success,12
02375000,UM,12,success,15
02375000,DM,12,success,13
02375500,UM,12,success,20
02375500,DM,12,success,9
02376293,UM,12,success,16
02376293,DM,12,success,10
02376500,UM,12,success,7
02376500,DM,12,success,8
02377500,UM,12,success,5
02377500,DM,12,success,6
02377570,UM,12,success,7
02377570,DM,12,success,6
02378170,UM,12,success,2
02378170,DM,12,success,7
02378300,UM,12,success,7
02378300,DM,12,success,7
02378500,UM,12,success,8
02378500,DM,12,success,9
