site_no,site_name,record_years,drainage_area_sqmi,historical_max_screening_return_period_years,historical_max_peak_cfs,historical_max_cfs_per_sqmi,historical_max_flood_class,frequency_method,stationarity_warning,distinct_matched_rainfall_flood_event_count,max_matched_event_return_period_years,max_matched_peak_cfs,max_matched_peak_cfs_per_sqmi,median_rainfall_to_flood_lag_hours,distinct_major_rainfall_flood_event_count
02338523,,19,16.8,20.0,5740.0,341.66666666666663,10–25-year,empirical only,True,4,10.0,2720.0,161.9047619047619,3.625,1
02339225,,12,60.2,13.0,11000.0,182.72425249169436,10–25-year,empirical only,True,1,13.0,11000.0,182.72425249169436,-12.0,1
02339495,,17,86.4,18.0,8300.0,96.0648148148148,10–25-year,empirical only,True,7,18.0,8300.0,96.0648148148148,-1.5,1
02339500,,129,3550.0,268.0686514658295,134000.0,37.74647887323944,200–500-year,station-skew LP3 screening,True,11,16.449669567355087,75100.0,21.154929577464788,31.25,1
02339555,,3,3550.0,4.0,134000.0,37.74647887323944,2–5-year,empirical only,False,0,,,,,0
02339780,,10,3630.0,11.0,135000.0,37.1900826446281,10–25-year,empirical only,False,2,5.5,56000.0,15.426997245179065,31.5,0
02340750,,22,99.7,119.51109494408388,19500.0,195.58676028084253,100–200-year,station-skew LP3 screening,False,0,,,,,0
02341460,,12,4630.0,13.0,95200.0,20.56155507559395,10–25-year,empirical only,False,4,13.0,95200.0,20.56155507559395,-3.0,1
02341500,,78,4670.0,162.8179859916873,198000.0,42.398286937901496,100–200-year,station-skew LP3 screening,True,3,6.5716070209304736,98800.0,21.156316916488223,-12.0,0
02341505,,13,4670.0,14.0,150000.0,32.11991434689507,10–25-year,empirical only,False,2,7.0,80100.0,17.15203426124197,56.0,0
02341566,,10,4750.0,11.0,98800.0,20.8,10–25-year,empirical only,False,1,11.0,98800.0,20.8,-12.0,1
02342150,,20,134.0,51.71099828856723,19500.0,145.52238805970148,50–100-year,station-skew LP3 screening,False,0,,,,,0
02342200,,16,6.67,17.0,3030.0,454.2728635682159,10–25-year,empirical only,True,0,,,,,0
02342500,,79,322.0,179.7166313847539,62100.0,192.8571428571429,100–200-year,station-skew LP3 screening,False,14,14.645921295846048,26900.0,83.54037267080746,-2.5,4
02342881,,16,5910.0,17.0,150000.0,25.38071065989848,10–25-year,empirical only,False,4,17.0,150000.0,25.38071065989848,5.0,1
02342933,,48,112.0,201.5098401048488,28200.0,251.78571428571428,200–500-year,station-skew LP3 screening,False,9,201.5098401048488,28200.0,251.78571428571428,-20.0,3
02342937,,2,,3.0,3920.0,,2–5-year,empirical only,False,0,,,,,0
02342960,,58,6730.0,1691.6836519214694,194000.0,28.826151560178307,>500-year,station-skew LP3 screening,False,0,,,,,0
02343000,,5,95.4,6.0,6250.0,65.51362683438155,5–10-year,empirical only,True,0,,,,,0
023432415,,16,7460.0,17.0,156000.0,20.91152815013405,10–25-year,empirical only,True,3,17.0,156000.0,20.91152815013405,1.0,1
02343260,,9,7570.0,10.0,200000.0,26.42007926023778,10–25-year,empirical only,False,0,,,,,0
02343275,,25,48.7,70.10694367762001,28000.0,574.9486652977413,50–100-year,station-skew LP3 screening,True,1,70.10694367762001,28000.0,574.9486652977413,-17.0,1
02343300,,35,146.0,211.4194195888497,35000.0,239.72602739726028,200–500-year,station-skew LP3 screening,False,2,211.4194195888497,35000.0,239.72602739726028,-12.0,1
02343500,,33,8040.0,1086.4650669101256,203000.0,25.248756218905477,>500-year,station-skew LP3 screening,False,0,,,,,0
02343700,,15,14.0,16.0,3120.0,222.8571428571429,10–25-year,empirical only,False,0,,,,,0
02343805,,9,8210.0,10.0,160000.0,19.4884287454324,10–25-year,empirical only,False,3,2.5,65000.0,7.917174177831912,1.0,0
02344000,,87,8340.0,296.3098068809412,207000.0,24.820143884892087,200–500-year,station-skew LP3 screening,False,1,1.8716629274187129,66500.0,7.973621103117506,-19.0,0
02344040,,1,8510.0,2.0,210000.0,24.676850763807284,2–5-year,empirical only,False,0,,,,,0
02358785,,11,103.0,12.0,14400.0,139.80582524271844,10–25-year,empirical only,False,1,3.0,9000.0,87.37864077669903,7.0,0
02360000,,30,86.8,114.3320455341355,25000.0,288.0184331797235,100–200-year,station-skew LP3 screening,False,2,114.3320455341355,25000.0,288.0184331797235,-14.5,1
02360275,,29,102.0,48.71162692579661,29000.0,284.3137254901961,25–50-year,station-skew LP3 screening,False,2,48.71162692579661,29000.0,284.3137254901961,-14.5,2
02360500,,18,291.0,19.0,31000.0,106.52920962199312,10–25-year,empirical only,True,1,19.0,31000.0,106.52920962199312,-17.0,1
02361000,,98,686.0,298.65387409546656,110000.0,160.34985422740525,200–500-year,station-skew LP3 screening,False,15,74.50131432784566,60800.0,88.62973760932945,4.25,3
02361500,,26,1280.0,63.03723617706421,39600.0,30.9375,50–100-year,station-skew LP3 screening,False,13,20.38577793070771,32400.0,25.3125,22.5,1
02362240,,35,21.4,50.17768536008622,14200.0,663.5514018691589,50–100-year,station-skew LP3 screening,False,10,50.17768536008622,14200.0,663.5514018691589,-17.0,3
02362610,,12,18.7,13.0,5350.0,286.096256684492,10–25-year,empirical only,True,3,1.625,3100.0,165.77540106951872,-17.0,0
02362640,,1,96.8,2.0,18200.0,188.01652892561984,2–5-year,empirical only,False,1,2.0,18200.0,188.01652892561984,-12.0,0
02362745,,5,4.4,6.0,1700.0,386.3636363636363,5–10-year,empirical only,True,0,,,,,0
02362780,,1,39.8,2.0,8780.0,220.6030150753769,2–5-year,empirical only,False,1,2.0,8780.0,220.6030150753769,-12.0,0
02363000,,87,498.0,82.56565383661051,50200.0,100.80321285140562,50–100-year,station-skew LP3 screening,False,12,82.56565383661051,50200.0,100.80321285140562,24.5,4
02363005,,9,0.76,11.0,390.0,513.1578947368421,10–25-year,empirical only,False,4,11.0,390.0,513.1578947368421,-28.0,1
02363055,,7,,9.0,510.0,,5–10-year,empirical only,True,0,,,,,0
02363225,,9,1.2,11.0,885.0,737.5,10–25-year,empirical only,False,2,5.5,835.0,695.8333333333334,0.5,0
02363280,,1,112.0,2.0,23600.0,210.7142857142857,2–5-year,empirical only,False,1,2.0,23600.0,210.7142857142857,-12.0,0
02363330,,1,26.8,2.0,8880.0,331.34328358208955,2–5-year,empirical only,False,1,2.0,8880.0,331.34328358208955,-12.0,0
02364000,,71,959.0,108.01613715356486,68000.0,70.90719499478624,100–200-year,station-skew LP3 screening,False,11,63.761192876450735,58000.0,60.479666319082376,-2.0,4
02364050,,1,28.4,2.0,16500.0,580.9859154929578,2–5-year,empirical only,False,0,,,,,0
02364500,,72,1182.0,165.51922113720343,58000.0,49.06937394247039,100–200-year,station-skew LP3 screening,False,8,4.413883114598959,17200.0,14.55160744500846,29.875,0
02364570,,20,26.2,69.86221238379927,11500.0,438.9312977099237,50–100-year,station-skew LP3 screening,False,1,69.86221238379927,11500.0,438.9312977099237,-12.0,1
