site_no,site_name,huc12,drainage_area_sqmi,record_years,first_water_year,last_water_year,missing_water_year_count,qualified_peak_fraction,duplicate_year_fraction,kendall_tau,kendall_p,lag1_autocorrelation,pettitt_change_year,pettitt_p,stationarity_warning
02338523,,031300020601,16.8,19,2002,2025,5,0.21052631578947367,0.0,0.49707602339181284,0.0024331184156508017,-0.07207352751274278,2016.0,0.021119777817256467,True
02339225,,031300020806,60.2,12,1979,1990,0,0.0,0.0,-0.0303030303030303,0.9465592891547753,0.4250085295212257,1987.0,0.792046742404191,True
02339495,,031300020903,86.4,17,2007,2024,1,0.11764705882352941,0.0,0.5873971250985845,0.0010970063513885682,0.5493039063401941,2015.0,0.007023277755913092,True
02339500,,031300020908,3550.0,129,1897,2025,0,0.4806201550387597,0.0,-0.25175861345506734,2.3708746248745504e-05,0.28371662902575373,1975.0,3.434128868920428e-05,True
02339555,,031300020908,3550.0,3,1920,1961,39,1.0,0.0,,,,,,False
02339780,,031300020908,3630.0,10,1920,1991,62,1.0,0.0,-0.16296706901290156,0.523392976636277,0.1762666447641838,1984.0,0.7955902386398751,False
02340750,,031300021105,99.7,22,1953,1974,0,0.0,0.0,-0.060737670013178605,0.6928959834799091,0.07531446842873073,1955.0,0.8443133821557277,False
02341460,,031300030304,4630.0,12,2014,2025,0,1.0,0.0,0.303030303030303,0.19694994338223504,-0.09219007126662677,2018.0,0.6288238548455856,False
02341500,,031300030304,4670.0,78,1841,2001,83,1.0,0.0,-0.15423052154828856,0.04575445552808976,0.30798078968033477,1949.0,0.15609764906403245,True
02341505,,031300030304,4670.0,13,2002,2014,0,1.0,0.0,-0.025641025641025637,0.9523619079608663,-0.2856490238307318,2002.0,1.0,False
02341566,,031300030306,4750.0,10,1982,1991,0,1.0,0.0,-0.1111111111111111,0.7274895282186948,0.059342917904531646,1983.0,0.9118248435222587,False
02342150,,031300030504,134.0,20,1951,1970,0,0.0,0.0,0.06349295223253276,0.6967274236606605,-0.28773044499672884,1956.0,0.9187787262316415,False
02342200,,031300030401,6.67,16,1959,1974,0,0.0,0.0,0.07531446678801507,0.6850262730697994,-0.4304101016686033,1963.0,1.0,True
02342500,,031300030505,322.0,79,1947,2025,0,0.02531645569620253,0.0,0.032813530855428756,0.6689505169684633,-0.1157143501073249,2015.0,0.7028169676563599,False
02342881,,031300030804,5910.0,16,2010,2025,0,1.0,0.0,0.15899720766358738,0.3918340019937081,-0.26599923964497446,2015.0,0.7320488981512093,False
02342933,,031300031204,112.0,48,1964,2011,0,0.0,0.0,0.004434590236487574,0.9645521176387863,-0.08122621601602263,1978.0,0.8601892812801245,False
02342937,,031300031204,,2,2021,2022,0,0.5,0.0,,,,,,False
02342960,,031300031303,6730.0,58,1905,1962,0,1.0,0.0,-0.0278873013352767,0.7576136785790848,0.017603639570891245,1929.0,1.0,False
02343000,,031300031307,95.4,5,1954,1958,0,0.0,0.0,-0.19999999999999998,0.8166666666666667,-0.3478094275667054,,,True
023432415,,031300040104,7460.0,16,2010,2025,0,1.0,0.0,0.21666666666666667,0.26504598877832025,-0.33737348289090247,2015.0,0.9039597295873265,True
02343260,,031300040104,7570.0,9,1925,1962,29,0.2222222222222222,0.0,-0.2777777777777778,0.35848765432098767,0.19110465939759524,1929.0,0.46827260127133097,False
02343275,,031300040304,48.7,25,1952,1994,18,0.12,0.0,0.28572437431744613,0.046784331525569614,0.17573814140509478,1969.0,0.16703356282673792,True
02343300,,031300040404,146.0,35,1958,1994,2,0.05714285714285714,0.0,0.04373424591353373,0.7119231506921901,0.24329822273636323,1985.0,0.48560340684323294,False
02343500,,031300040504,8040.0,33,1929,1961,0,0.0,0.0,-0.04739338621926591,0.6984550528640938,0.1882463378231011,1949.0,1.0,False
02343700,,031300040605,14.0,15,1960,1974,0,0.0,0.0,-0.10476190476190476,0.6264945175158468,0.1950123768175028,1965.0,0.3629393690397159,False
02343805,,031300040702,8210.0,9,2010,2018,0,1.0,0.0,0.05555555555555555,0.919455467372134,-0.2192614421261133,2012.0,1.0,False
02344000,,031300040710,8340.0,87,1905,1991,0,0.5402298850574713,0.0,-0.016601979893621686,0.8201762398824647,0.043508253211506843,1982.0,1.0,False
02344040,,031300040801,8510.0,1,1929,1929,0,1.0,0.0,,,,,,False
02358785,,031300120203,103.0,11,1971,1994,13,0.09090909090909091,0.0,0.2727272727272727,0.2829668209876543,-0.1264653580270566,1977.0,0.38299039002932606,False
02360000,,031402010404,86.8,30,1944,1994,21,0.06666666666666667,0.0,0.0920598998491251,0.47537878657305,0.17601873572787388,1969.0,0.828852525192715,False
02360275,,031402010304,102.0,29,1951,1994,15,0.06896551724137931,0.0,0.0863132592035924,0.5114074703143316,0.18171857693853702,1974.0,0.5438335600884091,False
