catalog_event_id,site_no,site_name,huc12,drainage_area_sqmi,rainfall_peak_time_utc,peak_time_utc,lag_hours,peak_cfs,peak_cfs_per_sqmi,water_year,empirical_return_period_years,lp3_return_period_years,screening_return_period_years,flood_screening_class,peak_qualifier,stationarity_warning
AL-RF-19790304-0001,02398195,,031501050501,9.53,1979-03-04 06:00:00+00:00,1979-03-04 00:00:00+00:00,-6.0,1270.0,133.26337880377756,1979.0,4.0,,4.0,2–5-year,,False
AL-RF-19790304-0001,02400000,,031501050906,116.0,1979-03-04 06:00:00+00:00,1979-03-03 00:00:00+00:00,-30.0,17600.0,151.72413793103448,1979.0,7.0,9.35564290531885,9.35564290531885,5–10-year,"2,7",False
AL-RF-19790304-0001,02400033,,031501050905,4.62,1979-03-04 06:00:00+00:00,1979-03-04 00:00:00+00:00,-6.0,1010.0,218.6147186147186,1979.0,6.0,,6.0,5–10-year,,False
AL-RF-19790304-0001,02400100,,031501050909,252.0,1979-03-04 06:00:00+00:00,1979-03-04 00:00:00+00:00,-6.0,20100.0,79.76190476190476,1979.0,32.0,80.63388341705175,80.63388341705175,50–100-year,,True
AL-RF-19790304-0001,02409540,,031501070906,1.01,1979-03-04 06:00:00+00:00,1979-03-04 00:00:00+00:00,-6.0,981.0,971.2871287128713,1979.0,5.0,,5.0,5–10-year,,True
AL-RF-19790304-0001,02412000,,031501080405,448.0,1979-03-04 06:00:00+00:00,1979-03-05 00:00:00+00:00,18.0,23100.0,51.5625,1979.0,24.333333333333336,52.90631689279242,52.90631689279242,50–100-year,,True
AL-RF-19790304-0001,02412065,,031501080403,52.8,1979-03-04 06:00:00+00:00,1979-03-04 00:00:00+00:00,-6.0,5800.0,109.84848484848486,1979.0,6.0,,6.0,5–10-year,,False
AL-RF-19790304-0001,02412320,,031501081003,1.79,1979-03-04 06:00:00+00:00,1979-03-04 00:00:00+00:00,-6.0,953.0,532.4022346368715,1979.0,10.0,,10.0,10–25-year,,True
AL-RF-19790304-0001,02414765,,031501090402,26.2,1979-03-04 06:00:00+00:00,1979-03-04 00:00:00+00:00,-6.0,8820.0,336.6412213740458,1979.0,11.0,,11.0,10–25-year,,False
AL-RF-19790304-0001,02421256,,031502010601,89.4,1979-03-04 06:00:00+00:00,1979-03-04 00:00:00+00:00,-6.0,20200.0,225.95078299776284,1979.0,12.0,,12.0,10–25-year,,True
AL-RF-19790304-0001,02424010,,031502020802,0.59,1979-03-04 06:00:00+00:00,1979-03-04 00:00:00+00:00,-6.0,360.0,610.1694915254237,1979.0,4.25,,4.25,2–5-year,,True
AL-RF-19790304-0001,02424940,,031502020805,220.0,1979-03-04 06:00:00+00:00,1979-03-05 00:00:00+00:00,18.0,17000.0,77.27272727272727,1979.0,13.0,,13.0,10–25-year,2,False
AL-RF-19790304-0001,02427700,,031502030603,97.5,1979-03-04 06:00:00+00:00,1979-03-04 00:00:00+00:00,-6.0,20000.0,205.12820512820514,1979.0,20.0,27.317309294826806,27.317309294826806,25–50-year,,False
AL-RF-19790304-0001,02450000,,031601090203,358.0,1979-03-04 06:00:00+00:00,1979-03-04 00:00:00+00:00,-6.0,46500.0,129.88826815642457,1979.0,11.375,8.951917723048481,8.951917723048481,5–10-year,,False
AL-RF-19790304-0001,02468500,,031602010108,257.0,1979-03-04 06:00:00+00:00,1979-03-04 00:00:00+00:00,-6.0,34000.0,132.295719844358,1979.0,15.0,24.507613211730977,24.507613211730977,10–25-year,,False
AL-RF-19790304-0001,02469550,,031602010603,60.4,1979-03-04 06:00:00+00:00,1979-03-08 00:00:00+00:00,90.0,28100.0,465.2317880794702,1979.0,23.0,27.693828225182006,27.693828225182006,25–50-year,,True
AL-RF-19790304-0001,02469800,,031602030205,164.0,1979-03-04 06:00:00+00:00,1979-03-04 00:00:00+00:00,-6.0,23400.0,142.6829268292683,1979.0,23.666666666666668,39.0473676736285,39.0473676736285,25–50-year,,False
