site_no,first_year,last_year,observed_years,coverage_fraction,fixed_network_selected
02338523,2002,2025,19,0.40425531914893614,False
02339225,1979,1990,12,0.2553191489361702,False
02339495,2007,2024,17,0.3617021276595745,False
02339500,1979,2025,47,1.0,True
02339780,1983,1991,9,0.19148936170212766,False
02341460,2014,2025,12,0.2553191489361702,False
02341500,1979,2001,23,0.48936170212765956,False
02341505,2002,2014,13,0.2765957446808511,False
02341566,1982,1991,10,0.2127659574468085,False
02342500,1979,2025,47,1.0,True
02342881,2010,2025,16,0.3404255319148936,False
02342933,1979,2011,33,0.7021276595744681,False
02342937,2021,2022,2,0.0425531914893617,False
023432415,2010,2025,16,0.3404255319148936,False
02343275,1990,1994,2,0.0425531914893617,False
02343300,1979,1994,16,0.3404255319148936,False
02343805,2010,2018,9,0.19148936170212766,False
02344000,1979,1991,13,0.2765957446808511,False
02358785,1979,1994,3,0.06382978723404255,False
02360000,1990,1994,2,0.0425531914893617,False
02360275,1990,1994,2,0.0425531914893617,False
02360500,1990,1994,2,0.0425531914893617,False
02361000,1979,2025,47,1.0,True
02361500,2001,2025,25,0.5319148936170213,False
02362240,1986,2021,35,0.7446808510638298,False
02362610,1979,1994,6,0.1276595744680851,False
02362640,1990,1990,1,0.02127659574468085,False
02362780,1990,1990,1,0.02127659574468085,False
02363000,1979,2025,47,1.0,True
02363005,1990,2001,9,0.19148936170212766,False
02363055,1980,1980,1,0.02127659574468085,False
02363225,2012,2021,9,0.19148936170212766,False
02363280,1990,1990,1,0.02127659574468085,False
02363330,1990,1990,1,0.02127659574468085,False
02364000,1979,2016,38,0.8085106382978723,False
02364050,1990,1990,1,0.02127659574468085,False
02364500,2003,2025,23,0.48936170212765956,False
02364570,1979,1995,16,0.3404255319148936,False
02364806,2004,2006,3,0.06382978723404255,False
02365200,1979,2025,30,0.6382978723404256,False
02365310,1979,1981,3,0.06382978723404255,False
02365408,2004,2006,3,0.06382978723404255,False
02367400,1980,1990,3,0.06382978723404255,False
02367500,1990,1998,2,0.0425531914893617,False
02367800,1990,1990,1,0.02127659574468085,False
02367900,1999,2024,26,0.5531914893617021,False
02369800,1979,2025,47,1.0,True
02371000,1990,1994,2,0.0425531914893617,False
02371050,2012,2021,9,0.19148936170212766,False
02371200,1979,1990,9,0.19148936170212766,False
02371470,1991,1992,2,0.0425531914893617,False
02371500,1979,2025,47,1.0,True
02371503,1998,1998,1,0.02127659574468085,False
02372000,1990,1990,1,0.02127659574468085,False
02372250,1979,2025,46,0.9787234042553191,True
02372422,1999,2014,16,0.3404255319148936,False
02372430,2011,2025,15,0.3191489361702128,False
02372755,2012,2021,10,0.2127659574468085,False
02372800,1979,1990,4,0.0851063829787234,False
02373000,1979,2024,46,0.9787234042553191,True
02373500,1990,1990,1,0.02127659574468085,False
02373800,1979,1983,5,0.10638297872340426,False
02374050,2017,2019,3,0.06382978723404255,False
02374250,1999,2025,27,0.574468085106383,False
02374500,1979,2025,47,1.0,True
02374660,1979,1980,2,0.0425531914893617,False
02374700,1998,2025,27,0.574468085106383,False
02374745,1998,2024,27,0.574468085106383,False
02374950,2001,2025,25,0.5319148936170213,False
02374970,1979,1990,4,0.0851063829787234,False
02375000,2015,2025,10,0.2127659574468085,False
02375500,1979,2025,47,1.0,True
02376293,1998,2024,26,0.5531914893617021,False
02376500,1979,2025,47,1.0,True
02377500,1989,1989,1,0.02127659574468085,False
02377570,1988,2025,38,0.8085106382978723,False
02377960,1988,1991,4,0.0851063829787234,False
02378170,2009,2024,16,0.3404255319148936,False
02378185,2022,2025,4,0.0851063829787234,False
02378300,2000,2025,26,0.5531914893617021,False
02378500,1987,2024,38,0.8085106382978723,False
0237854520,2021,2023,3,0.06382978723404255,False
02378780,2018,2020,3,0.06382978723404255,False
02378790,2018,2020,3,0.06382978723404255,False
02397530,2014,2025,12,0.2553191489361702,False
02398195,1979,1985,7,0.14893617021276595,False
02398250,2001,2002,2,0.0425531914893617,False
02398300,1979,2024,46,0.9787234042553191,True
02398400,1979,1979,1,0.02127659574468085,False
02398500,1990,1990,1,0.02127659574468085,False
02398950,1998,2012,15,0.3191489361702128,False
02399200,1979,2025,47,1.0,True
02400000,1979,1979,1,0.02127659574468085,False
02400033,1979,1980,2,0.0425531914893617,False
02400100,1979,2024,46,0.9787234042553191,True
02400496,2023,2023,1,0.02127659574468085,False
02400500,1979,1996,18,0.3829787234042553,False
02400680,2003,2025,23,0.48936170212765956,False
02401000,1979,2025,38,0.8085106382978723,True
02401330,2023,2023,1,0.02127659574468085,False
02401370,1979,1995,17,0.3617021276595745,False
02401390,1979,2025,47,1.0,True
02401460,1981,1985,5,0.10638297872340426,False
02401470,1979,1995,14,0.2978723404255319,False
02401620,1979,1979,1,0.02127659574468085,False
02401895,2015,2025,11,0.23404255319148937,False
02403310,2003,2023,17,0.3617021276595745,False
02403395,2000,2003,4,0.0851063829787234,False
02404000,1979,1979,1,0.02127659574468085,False
02404245,1979,1979,1,0.02127659574468085,False
02404400,1979,2024,46,0.9787234042553191,True
02405200,1979,1979,1,0.02127659574468085,False
02405500,1979,2024,38,0.8085106382978723,True
02406500,1979,2025,39,0.8297872340425532,True
02406930,2011,2024,14,0.2978723404255319,False
02407000,1979,2025,32,0.6808510638297872,False
02407500,1979,1979,1,0.02127659574468085,False
02407514,2006,2024,18,0.3829787234042553,False
02407680,1979,1982,4,0.0851063829787234,False
02407950,1979,1979,1,0.02127659574468085,False
02408150,2015,2024,10,0.2127659574468085,False
02408340,1979,1979,1,0.02127659574468085,False
02408500,1979,1979,1,0.02127659574468085,False
02408540,1979,2024,45,0.9574468085106383,True
02409000,1979,1979,1,0.02127659574468085,False
02409400,1979,1979,1,0.02127659574468085,False
02409540,1979,1981,3,0.06382978723404255,False
02410000,1979,1988,10,0.2127659574468085,False
02411000,1979,2013,35,0.7446808510638298,False
02411602,2012,2021,10,0.2127659574468085,False
02412000,1979,2024,46,0.9787234042553191,True
02412065,1979,1982,4,0.0851063829787234,False
02412320,1979,1982,4,0.0851063829787234,False
02413300,1979,2024,46,0.9787234042553191,True
02413400,1979,1979,1,0.02127659574468085,False
02413475,1979,1979,1,0.02127659574468085,False
02413500,1979,1979,1,0.02127659574468085,False
02414300,2022,2023,2,0.0425531914893617,False
02414500,1979,2024,44,0.9361702127659575,True
02414525,1999,2001,3,0.06382978723404255,False
02414715,1986,2025,40,0.851063829787234,False
02414765,1979,1981,3,0.06382978723404255,False
02414800,1979,1979,1,0.02127659574468085,False
02415000,1979,2025,41,0.8723404255319149,True
02416360,2022,2023,2,0.0425531914893617,False
02416481,1990,2003,10,0.2127659574468085,False
02418230,2000,2024,25,0.5319148936170213,False
02418500,1979,2013,35,0.7446808510638298,False
02418760,2003,2024,22,0.46808510638297873,False
02418764,2011,2021,11,0.23404255319148937,False
02418770,2011,2021,10,0.2127659574468085,False
02419000,1979,2025,46,0.9787234042553191,True
02419500,2015,2015,1,0.02127659574468085,False
02419670,2016,2016,1,0.02127659574468085,False
02419790,2016,2016,1,0.02127659574468085,False
02419835,1979,1980,2,0.0425531914893617,False
02419845,2009,2021,11,0.23404255319148937,False
02419875,2009,2021,11,0.23404255319148937,False
02419890,1996,2025,30,0.6382978723404256,False
02419974,2009,2021,11,0.23404255319148937,False
02419976,2009,2021,11,0.23404255319148937,False
02419977,1999,2000,2,0.0425531914893617,False
02420000,1979,2023,44,0.9361702127659575,True
02420495,2013,2021,9,0.19148936170212766,False
02420980,2009,2021,11,0.23404255319148937,False
02421000,1979,2025,47,1.0,True
02421105,1991,2003,13,0.2765957446808511,False
02421115,1999,2001,3,0.06382978723404255,False
02421256,1979,1981,3,0.06382978723404255,False
02421300,1990,1990,1,0.02127659574468085,False
02421480,2023,2024,2,0.0425531914893617,False
02422000,1990,1990,1,0.02127659574468085,False
02422500,1979,2025,46,0.9787234042553191,True
02423000,1979,1990,11,0.23404255319148937,False
02423110,2014,2025,12,0.2553191489361702,False
02423130,1989,2021,33,0.7021276595744681,False
02423160,2012,2024,13,0.2765957446808511,False
02423190,1999,2000,2,0.0425531914893617,False
02423380,1979,2025,43,0.9148936170212766,True
02423397,1996,2024,28,0.5957446808510638,False
02423398,1981,2008,21,0.44680851063829785,False
02423400,1987,2024,31,0.6595744680851063,False
0242340550,1987,1991,4,0.0851063829787234,False
02423410,1985,1999,15,0.3191489361702128,False
02423414,2004,2025,21,0.44680851063829785,False
02423425,1979,2025,35,0.7446808510638298,False
02423496,1989,2024,36,0.7659574468085106,False
02423500,1979,2024,42,0.8936170212765957,True
0242354650,2019,2024,3,0.06382978723404255,False
0242354750,1999,2025,27,0.574468085106383,False
02423555,1979,2025,31,0.6595744680851063,False
02423571,2018,2025,8,0.1702127659574468,False
02423586,2001,2025,15,0.3191489361702128,False
02423630,1979,2023,28,0.5957446808510638,False
02423647,1979,2025,13,0.2765957446808511,False
02423800,2023,2025,3,0.06382978723404255,False
02424000,1979,2025,47,1.0,True
02424010,1979,1996,8,0.1702127659574468,False
02424590,1988,2011,24,0.5106382978723404,False
02424940,1979,1987,9,0.19148936170212766,False
02425000,1979,2025,47,1.0,True
02425200,1979,1985,7,0.14893617021276595,False
02425500,1979,1982,4,0.0851063829787234,False
02425655,1990,1990,1,0.02127659574468085,False
02426000,1979,1979,1,0.02127659574468085,False
02427020,2023,2025,3,0.06382978723404255,False
02427250,1990,2025,36,0.7659574468085106,False
02427500,1979,1990,2,0.0425531914893617,False
02427700,1979,1996,18,0.3829787234042553,False
02427830,2009,2017,9,0.19148936170212766,False
02428400,1979,2017,39,0.8297872340425532,False
02429000,2023,2024,2,0.0425531914893617,False
02429500,1979,1981,3,0.06382978723404255,False
02429540,2023,2023,1,0.02127659574468085,False
02429595,1979,1979,1,0.02127659574468085,False
02429650,1980,1981,2,0.0425531914893617,False
02437810,1981,1981,1,0.02127659574468085,False
02438000,1979,2025,43,0.9148936170212766,True
02439000,1979,1985,7,0.14893617021276595,False
02442000,1979,1979,1,0.02127659574468085,False
02442500,1979,2012,32,0.6808510638297872,False
02443000,1979,2023,45,0.9574468085106383,True
02443230,1979,1983,5,0.10638297872340426,False
02443730,1991,2003,11,0.23404255319148937,False
02444000,1979,1980,2,0.0425531914893617,False
02444160,1981,2024,44,0.9361702127659575,True
02444161,2011,2016,6,0.1276595744680851,False
02444490,1999,2004,6,0.1276595744680851,False
02444500,1979,1979,1,0.02127659574468085,False
02445000,1979,1979,1,0.02127659574468085,False
02445290,1981,1981,1,0.02127659574468085,False
02445500,1979,1979,1,0.02127659574468085,False
02446500,1979,2025,47,1.0,True
02447025,1979,2017,39,0.8297872340425532,False
02448500,1979,2025,47,1.0,True
02448900,1991,2025,34,0.723404255319149,False
02449000,1979,1990,11,0.23404255319148937,False
02449245,1979,1997,18,0.3829787234042553,False
02449500,1979,1979,1,0.02127659574468085,False
02449775,1981,1981,1,0.02127659574468085,False
02449838,2023,2025,3,0.06382978723404255,False
02449882,1993,2025,33,0.7021276595744681,False
02450000,1979,2025,41,0.8723404255319149,True
02450180,1979,2025,44,0.9361702127659575,True
02450215,1981,1981,1,0.02127659574468085,False
02450250,1979,2025,47,1.0,True
02450825,1981,2025,35,0.7446808510638298,False
02452505,2023,2023,1,0.02127659574468085,False
02453000,1979,2025,40,0.851063829787234,True
02453390,1995,1997,3,0.06382978723404255,False
02453500,2010,2023,13,0.2765957446808511,False
02453835,1981,1982,2,0.0425531914893617,False
02454000,1979,2025,6,0.1276595744680851,False
02454055,1993,2021,29,0.6170212765957447,False
02454200,1979,1979,1,0.02127659574468085,False
02454995,1998,2000,3,0.06382978723404255,False
02455000,1979,2024,46,0.9787234042553191,True
02455185,1999,2025,18,0.3829787234042553,False
02455280,1993,1997,5,0.10638297872340426,False
02455500,1979,1997,7,0.14893617021276595,False
02455900,2002,2011,10,0.2127659574468085,False
02455973,2000,2000,1,0.02127659574468085,False
02455974,2000,2000,1,0.02127659574468085,False
02455980,1989,2024,36,0.7659574468085106,False
02456000,1979,2025,17,0.3617021276595745,False
02456330,1979,1988,10,0.2127659574468085,False
02456500,1979,2025,47,1.0,True
02456980,1997,2006,7,0.14893617021276595,False
02456998,1997,2006,7,0.14893617021276595,False
02457000,1979,2017,22,0.46808510638297873,False
02457595,1989,2025,37,0.7872340425531915,False
02457670,1997,2006,10,0.2127659574468085,False
02457704,2020,2024,5,0.10638297872340426,False
02458148,1999,2025,20,0.425531914893617,False
02458190,2015,2025,10,0.2127659574468085,False
02458200,1999,2008,9,0.19148936170212766,False
02458300,1989,2020,32,0.6808510638297872,False
02458450,1979,2024,37,0.7872340425531915,False
