site_no,metric,record_years,first_year,last_year,kendall_tau,mann_kendall_p_value,sen_slope_log10_per_year,percent_change_per_decade,trend_class,fixed_network_selected
02339500,peak_cfs_per_sqmi,47,1979,2025,0.11748381128584644,0.24785531754052748,0.001931260220948924,4.547247241843522,No significant trend,True
02341500,peak_cfs_per_sqmi,23,1979,2001,-0.08300395256916997,0.5973541948267042,-0.004071313880824867,-8.948551081996282,No significant trend,False
02342500,peak_cfs_per_sqmi,47,1979,2025,0.0730804810360777,0.4743893833825561,0.0022612503917810076,5.344654694974871,No significant trend,True
02342933,peak_cfs_per_sqmi,33,1979,2011,0.22727272727272727,0.06520717421940614,0.008484747600447557,21.57589517513452,No significant trend,False
02361000,peak_cfs_per_sqmi,47,1979,2025,-0.030527289546716005,0.769155901981546,-0.0008411684276853681,-1.9182252285658619,No significant trend,True
02361500,peak_cfs_per_sqmi,25,2001,2025,-0.04,0.7972523796379414,-0.0007919279144161173,-1.8069565830176493,No significant trend,False
02362240,peak_cfs_per_sqmi,35,1986,2021,-0.03529411764705882,0.776344520439822,-0.002318386032240327,-5.19829685049531,No significant trend,False
02363000,peak_cfs_per_sqmi,47,1979,2025,-0.06290471785383904,0.5389205024480301,-0.002432708860745314,-5.447522823720064,No significant trend,True
02364000,peak_cfs_per_sqmi,38,1979,2016,0.01849217638691323,0.8800650865227213,0.00035409489850221377,0.8186665313944408,No significant trend,False
02364500,peak_cfs_per_sqmi,23,2003,2025,-0.11462450592885376,0.45960782304895875,-0.004490471854500013,-9.823104170477848,No significant trend,False
02365200,peak_cfs_per_sqmi,30,1979,2025,-0.06206896551724138,0.6427431760684212,-0.002268375951057644,-5.089067472060071,No significant trend,False
02367900,peak_cfs_per_sqmi,26,1999,2024,0.06461538461538462,0.6593353383597195,0.004857509955957062,11.834319526627212,No significant trend,False
02369800,peak_cfs_per_sqmi,47,1979,2025,-0.13876040703052728,0.17179618900863625,-0.005651975665429609,-12.202885392893837,No significant trend,True
02371500,peak_cfs_per_sqmi,47,1979,2025,-0.05920444033302498,0.5633914172181724,-0.0017390368674976148,-3.9251685284190985,No significant trend,True
02372250,peak_cfs_per_sqmi,46,1979,2025,-0.05410628019323672,0.6025258248588783,-0.001904746613560422,-4.291053933850286,No significant trend,True
02373000,peak_cfs_per_sqmi,46,1979,2024,-0.012560386473429951,0.9095326835994948,-0.0003303895140994616,-0.757863591474861,No significant trend,True
02374250,peak_cfs_per_sqmi,27,1999,2025,0.13675213675213677,0.32686694087885826,0.006430537241576613,15.95924323111384,No significant trend,False
02374500,peak_cfs_per_sqmi,47,1979,2025,-0.0851063829787234,0.40397317682193956,-0.002971274568752648,-6.612821495800414,No significant trend,True
02374700,peak_cfs_per_sqmi,27,1998,2025,0.03133903133903134,0.8348627075364895,0.002839441420084975,6.756521422456063,No significant trend,False
02374745,peak_cfs_per_sqmi,27,1998,2024,0.09116809116809117,0.5180237825564749,0.005916956053310488,14.596026858223965,No significant trend,False
02374950,peak_cfs_per_sqmi,25,2001,2025,0.03333333333333333,0.8335157043083458,0.0022173460467093966,5.238211918934188,No significant trend,False
02375500,peak_cfs_per_sqmi,47,1979,2025,-0.2534690101757632,0.01228502230995351,-0.005502851845490039,-11.900898019677165,Significant decrease,True
02376293,peak_cfs_per_sqmi,26,1998,2024,-0.052307692307692305,0.7243397423849234,-0.002773813636076724,-6.187250711461878,No significant trend,False
02376500,peak_cfs_per_sqmi,47,1979,2025,-0.09158186864014801,0.36881011271229713,-0.002517963356648495,-5.632952691299908,No significant trend,True
02377570,peak_cfs_per_sqmi,38,1988,2025,-0.09103840682788052,0.4283066849361308,-0.004647304922118797,-10.148165028996825,No significant trend,False
02378300,peak_cfs_per_sqmi,26,2000,2025,-0.08,0.5815153109908411,-0.00659285137083081,-14.084507042253492,No significant trend,False
02378500,peak_cfs_per_sqmi,38,1987,2024,0.01849217638691323,0.8800839006711906,0.0009810251731559028,2.284600142426485,No significant trend,False
02398300,peak_cfs_per_sqmi,46,1979,2024,-0.04541062801932367,0.6631458146774174,-0.001358725530226994,-3.080147461142535,No significant trend,True
02399200,peak_cfs_per_sqmi,47,1979,2025,-0.1517113783533765,0.13488879509393287,-0.004932300286679076,-10.735865769860343,No significant trend,True
02400100,peak_cfs_per_sqmi,46,1979,2024,-0.08792270531400966,0.3940975121510586,-0.002341488026881341,-5.248712550581502,No significant trend,True
02400680,peak_cfs_per_sqmi,23,2003,2025,-0.03162055335968379,0.8532778974530781,-0.0017836129057021478,-4.023729261682862,No significant trend,False
02401000,peak_cfs_per_sqmi,38,1979,2025,-0.07396870554765292,0.5213811743123279,-0.002941500083845222,-6.5487748955984415,No significant trend,True
02401390,peak_cfs_per_sqmi,47,1979,2025,-0.058279370952821465,0.5696168086394588,-0.0010940405934802627,-2.4876564628854902,No significant trend,True
02404400,peak_cfs_per_sqmi,46,1979,2024,0.08985507246376812,0.38363066563660675,0.0023086824281126628,5.459771080342279,No significant trend,True
02405500,peak_cfs_per_sqmi,38,1979,2024,-0.07539118065433854,0.513279941352429,-0.0022785736963629732,-5.1113510591494276,No significant trend,True
02406500,peak_cfs_per_sqmi,39,1979,2025,0.04588394062078273,0.6896836258889112,0.0011035230466260486,2.5735131686318358,No significant trend,True
02407000,peak_cfs_per_sqmi,32,1979,2025,0.07459677419354839,0.559308391495037,0.0012085659800531911,2.8219083010190937,No significant trend,False
02408540,peak_cfs_per_sqmi,45,1979,2024,-0.051515151515151514,0.6246988208340656,-0.0017926807331346392,-4.043766481743017,No significant trend,True
02411000,peak_cfs_per_sqmi,35,1979,2013,-0.173109243697479,0.14738274477289068,-0.005634655763970203,-12.167864440605591,No significant trend,False
02412000,peak_cfs_per_sqmi,46,1979,2024,-0.10917874396135266,0.2889476545875437,-0.0016190635913456576,-3.659396150009109,No significant trend,True
02413300,peak_cfs_per_sqmi,46,1979,2024,-0.03671497584541063,0.726038409618508,-0.0007528851956097099,-1.718642148867744,No significant trend,True
02414500,peak_cfs_per_sqmi,44,1979,2024,-0.1416490486257928,0.17847279530332494,-0.002548400958756558,-5.699066824966403,No significant trend,True
02414715,peak_cfs_per_sqmi,40,1986,2025,0.03717948717948718,0.7442343730918417,0.0011099870644275766,2.588781296324405,No significant trend,False
02415000,peak_cfs_per_sqmi,41,1979,2025,0.11951219512195121,0.2758131519183099,0.0033983771539336485,8.139354166536151,No significant trend,True
02418230,peak_cfs_per_sqmi,25,2000,2024,0.06333333333333334,0.6741172140994495,0.003973345218670532,9.580544019601756,No significant trend,False
02418500,peak_cfs_per_sqmi,35,1979,2013,-0.025210084033613446,0.8423721355426851,-0.0008474105886509209,-1.932321613724175,No significant trend,False
02418760,peak_cfs_per_sqmi,22,2003,2024,0.11688311688311688,0.46346928023769907,0.013055606585467608,35.069118597154024,No significant trend,False
02419000,peak_cfs_per_sqmi,46,1979,2025,0.04154589371980676,0.6908790746413067,0.0016501820756190666,3.8727957224427456,No significant trend,True
02419890,peak_cfs_per_sqmi,30,1996,2025,0.13333333333333333,0.3091055497611045,0.00620209557140694,15.350891595363558,No significant trend,False
02420000,peak_cfs_per_sqmi,44,1979,2023,-0.023255813953488372,0.8317614594283078,-0.0003511525362891031,-0.8052985527839285,No significant trend,True
02421000,peak_cfs_per_sqmi,47,1979,2025,0.018501387604070305,0.8616721809352417,0.0005159899423503113,1.1951968208061103,No significant trend,True
02422500,peak_cfs_per_sqmi,46,1979,2025,0.02318840579710145,0.8276026684645914,0.00043556756058926727,1.0079775845968086,No significant trend,True
02423130,peak_cfs_per_sqmi,33,1989,2021,0.3125,0.011041307361001649,0.009903084321038595,25.61191690007407,Significant increase,False
02423380,peak_cfs_per_sqmi,43,1979,2025,0.14285714285714285,0.18038393817009857,0.00413100409961481,9.97906951783012,No significant trend,True
02423397,peak_cfs_per_sqmi,28,1996,2024,-0.20634920634920634,0.12804764129567053,-0.007985157920220767,-16.795192378911196,No significant trend,False
02423398,peak_cfs_per_sqmi,21,1981,2008,0.11428571428571428,0.48695291582067923,0.005528009020642374,13.574305603584879,No significant trend,False
02423400,peak_cfs_per_sqmi,31,1987,2024,0.09247311827956989,0.47519266497409496,0.0031247848696691616,7.46025052012993,No significant trend,False
02423414,peak_cfs_per_sqmi,21,2004,2025,0.1,0.545701386215353,0.004755701955692061,11.572462787881443,No significant trend,False
02423425,peak_cfs_per_sqmi,35,1979,2025,-0.17478991596638654,0.14349610487932052,-0.00514705607014159,-11.176181517254314,No significant trend,False
02423496,peak_cfs_per_sqmi,36,1989,2024,-0.0015873015873015873,1.0,-6.237179997035305e-05,-0.14351329786845834,No significant trend,False
02423500,peak_cfs_per_sqmi,42,1979,2024,0.018583042973286876,0.8708416654131433,0.0004663845017997392,1.079676896534898,No significant trend,True
0242354750,peak_cfs_per_sqmi,27,1999,2025,0.08831908831908832,0.5317037729644349,0.0031848521197333835,7.608981575027984,No significant trend,False
02423555,peak_cfs_per_sqmi,31,1979,2025,-0.15698924731182795,0.22104956212356597,-0.0050247065725708695,-10.925594129205397,No significant trend,False
02423630,peak_cfs_per_sqmi,28,1979,2023,-0.16666666666666666,0.2205212215827932,-0.0026804719259513766,-5.985404734474098,No significant trend,False
02424000,peak_cfs_per_sqmi,47,1979,2025,-0.0037002775208140612,0.9780509563280678,-7.976043719634488e-05,-0.18348665074321424,No significant trend,True
02424590,peak_cfs_per_sqmi,24,1988,2011,0.03260869565217391,0.8426567819072817,0.001747075718450546,4.104800726282298,No significant trend,False
02425000,peak_cfs_per_sqmi,47,1979,2025,-0.16003700277520813,0.11466135865072392,-0.0024611253290706247,-5.509369537327191,No significant trend,True
02427250,peak_cfs_per_sqmi,36,1990,2025,0.012698412698412698,0.9240398006814219,0.0004401313695748441,1.018592624782877,No significant trend,False
02428400,peak_cfs_per_sqmi,39,1979,2017,-0.09446693657219973,0.4037923267613076,-0.0011740341839852984,-2.6671011343638917,No significant trend,False
02438000,peak_cfs_per_sqmi,43,1979,2025,-0.1539313399778516,0.14858587369541154,-0.0035086331019919268,-7.761194753648626,No significant trend,True
02442500,peak_cfs_per_sqmi,32,1979,2012,-0.08064516129032258,0.5270983110287552,-0.0025449381326440985,-5.691547485754322,No significant trend,False
